N	2gram	Nazirov_Tr	Mirosoze
1	и в	18	97
2	у достоевского	5	94
3	может быть	7	64
4	не только	8	63
5	в этом	9	55
6	но и	4	54
7	он не	2	53
8	в нем	4	49
9	не может	5	49
10	у него	6	47
11	и не	7	39
12	никогда не	2	38
13	потому что	2	37
14	не в	2	34
15	для него	3	31
16	прежде всего	4	29
17	как и	5	29
18	но в	6	27
19	и он	3	27
20	в мире	3	27
21	и это	2	25
22	он был	2	25
23	и все	4	24
24	в своем	3	23
25	что в	4	23
26	что он	6	22
27	в самом	2	21
28	в себе	4	20
29	достоевский не	4	20
30	отношение к	2	20
31	до конца	2	19
32	как бы	7	19
33	ивана карамазова	2	18
34	в его	3	18
35	достоевского в	3	16
36	в том	2	16
37	том что	4	16
38	то что	4	16
39	для достоевского	2	16
40	и его	6	16
41	не был	2	15
42	в этой	4	15
43	в конце	3	14
44	в русском	2	13
45	друг друга	2	13
46	и на	7	13
47	это не	5	12
48	к нему	3	12
49	все это	4	12
50	достоевский в	7	12
51	он сам	7	12
52	с тем	2	11
53	человеческой личности	2	11
54	но это	4	11
55	как в	3	11
56	уже не	2	11
57	не могут	2	10
58	так же	4	10
59	один из	3	10
60	то же	5	10
61	не имеет	2	10
62	бы и	2	9
63	к тому	2	9
64	что и	2	9
65	из самых	2	9
66	я не	4	9
67	должно быть	3	9
68	в бесах	9	9
69	то есть	3	9
70	с ним	3	9
71	не мог	2	9
72	вопрос о	2	8
73	ничего не	2	8
74	не так	2	8
75	сам достоевский	3	8
76	нет в	2	8
77	с его	2	8
78	тем что	2	8
79	о том	2	8
80	и с	7	8
81	еще в	2	8
82	уже в	3	8
83	что все	2	7
84	мог бы	3	7
85	что она	2	7
86	его в	2	6
87	личности и	2	6
88	в ее	2	6
89	что достоевский	4	6
90	в образе	6	6
91	что это	5	6
92	было в	2	6
93	русской литературы	2	6
94	жизнь и	3	6
95	к людям	3	6
96	веру в	2	6
97	и здесь	2	6
98	в то	5	5
99	отказывается от	2	5
100	так и	5	5
101	как у	2	5
102	и я	2	5
103	говорит что	2	5
104	достоевским в	2	5
105	и как	3	5
106	еще не	4	5
107	как будто	3	5
108	в самую	2	5
109	в силах	2	4
110	настасья филипповна	2	4
111	это очень	5	4
112	так что	2	4
113	зла в	2	4
114	и до	2	4
115	все эти	3	4
116	никто не	3	4
117	вряд ли	2	4
118	любви и	2	4
119	и даже	4	4
120	ни в	2	4
121	не случайно	2	4
122	петр верховенский	7	4
123	но достоевский	4	4
124	и что	4	4
125	о чем	3	3
126	все же	5	3
127	это уже	2	3
128	в записках	2	3
129	и то	2	3
130	в душе	2	3
131	об этом	4	3
132	записках из	3	3
133	и великий	2	3
134	в преступлении	2	3
135	в одном	2	3
136	это был	2	3
137	и за	2	3
138	ставрогина к	2	2
139	а как	2	2
140	смысл жизни	3	2
141	бросается в	2	2
142	тем самым	3	2
143	и сам	3	2
144	о жизни	2	2
145	к жизни	5	2
146	ставрогина и	3	2
147	и ее	2	2
148	столь же	2	2
149	устремлен к	2	2
150	петра верховенского	17	2
151	в глаза	2	2
152	но они	2	2
153	этими двумя	2	2
154	что я	4	2
155	он и	2	2
156	что за	3	2
157	романах достоевского	2	2
158	но эта	2	2
