N	2gram	Tiupa_Vved	UchenyiS
1	и в	23	14
2	не только	32	10
3	а не	31	10
4	и не	24	8
5	прежде всего	11	8
6	то что	9	7
7	не может	14	7
8	в этом	27	7
9	может быть	25	6
10	и только	2	5
11	то же	8	5
12	хотя бы	2	5
13	все это	3	5
14	в конечном	2	4
15	но и	31	4
16	в этой	2	4
17	конечном счете	2	4
18	что такое	23	4
19	с другой	10	4
20	в их	2	4
21	не о	2	3
22	у нас	4	3
23	в частности	19	3
24	для этого	2	3
25	и т.д	6	3
26	не следует	3	3
27	это не	7	3
28	очевидно что	2	3
29	в своей	10	3
30	все же	10	3
31	не как	2	3
32	как и	21	3
33	в то	5	3
34	но в	14	3
35	же время	4	3
36	или точнее	2	3
37	было бы	4	3
38	в области	5	3
39	другой стороны	3	3
40	для него	5	3
41	в самом	6	2
42	в себе	15	2
43	что мы	2	2
44	и у	2	2
45	мы и	2	2
46	о чем	4	2
47	же самое	2	2
48	что он	2	2
49	таким образом	6	2
50	но не	9	2
51	ни от	2	2
52	и для	8	2
53	если бы	10	2
54	противном случае	2	2
55	не все	2	2
56	между тем	3	2
57	самом деле	6	2
58	только в	9	2
59	одним из	5	2
60	в противовес	4	2
61	а его	3	2
62	не есть	2	2
63	что она	2	2
64	ничего не	3	2
65	и с	2	2
66	что и	6	2
67	при таком	2	2
68	могут быть	5	2
69	на первый	3	2
70	и через	2	2
71	по себе	2	2
72	тем что	2	2
73	том что	16	2
74	в его	9	2
75	это уже	2	2
76	сводится к	6	2
77	все они	2	2
78	в том	21	2
79	этом отношении	7	2
80	как раз	5	2
81	должна быть	3	2
82	но это	4	2
83	в противном	2	2
84	не в	12	2
85	бы и	4	2
86	словесного творчества	2	2
87	в конце	3	2
88	мы не	6	2
89	могли бы	3	2
90	в итоге	4	2
91	не столько	5	2
