N	2gram	Bakhtin_sl	VeschiIm
1	не есть	2	79
2	и не	32	57
3	не только	37	48
4	то что	2	48
5	не может	27	46
6	и в	69	45
7	и есть	2	40
8	может быть	40	39
9	и т	56	39
10	т д	7	38
11	а не	29	37
12	потому что	2	25
13	было бы	3	24
14	не просто	2	24
15	в себе	3	23
16	по себе	4	23
17	только в	9	23
18	сказать что	4	22
19	и что	2	22
20	в смысле	7	22
21	и следовательно	8	20
22	как бы	16	20
23	и ее	3	19
24	но и	37	19
25	все же	10	18
26	в этом	21	18
27	есть не	2	17
28	прежде всего	14	17
29	так как	7	17
30	того что	4	16
31	таким образом	16	16
32	как раз	3	16
33	в том	7	15
34	как и	8	15
35	в ней	7	15
36	уже не	5	15
37	не в	14	14
38	и то	2	14
39	но это	3	14
40	сущности и	2	14
41	том что	6	13
42	и для	7	13
43	в самом	6	13
44	в себя	3	13
45	ничего не	5	12
46	совершенно не	2	12
47	смысл и	3	12
48	что в	3	12
49	точки зрения	24	12
50	что и	2	12
51	что они	2	12
52	если она	2	12
53	и как	3	12
54	то же	17	12
55	ни было	2	12
56	еще не	9	12
57	и даже	11	12
58	о том	5	12
59	если мы	2	12
60	и с	10	12
61	не значит	2	12
62	в то	17	11
63	не менее	4	11
64	вовсе не	16	11
65	себя в	14	11
66	тем не	2	11
67	и их	6	11
68	также и	5	11
69	ни в	4	11
70	и только	2	11
71	в чем	2	10
72	что оно	4	10
73	с ее	6	10
74	это не	8	9
75	нисколько не	3	9
76	так что	2	9
77	в своем	9	9
78	она не	8	9
79	как вещь	4	9
80	бы и	6	9
81	должно быть	3	9
82	хотя бы	6	9
83	в результате	4	9
84	если оно	2	9
85	у нас	2	9
86	на то	2	9
87	но не	7	9
88	говорить о	2	9
89	и его	45	9
90	с ним	12	9
91	в отношении	9	8
92	его в	7	8
93	и потому	9	8
94	что он	2	8
95	но в	13	8
96	в ее	2	8
97	мы не	4	8
98	себя и	2	8
99	все это	14	8
100	должна быть	3	8
101	можно сказать	2	8
102	только и	3	8
103	смысла и	6	8
104	с другими	8	8
105	отличается от	3	8
106	в свете	3	8
107	для него	8	8
108	не с	5	8
109	с другой	8	8
110	как с	2	8
111	со своим	13	8
112	и тем	3	7
113	из них	3	7
114	а в	10	7
115	все эти	15	7
116	в сущности	18	7
117	сама по	2	7
118	слова и	21	7
119	вообще не	4	7
120	с этой	3	7
121	оно не	12	7
122	без всякого	2	7
123	никогда не	9	6
124	и все	9	6
125	в нем	44	6
126	между ними	2	6
127	в разных	3	6
128	и до	2	6
129	в своей	8	6
130	как мы	15	6
131	одно и	3	6
132	одна из	6	6
133	и вообще	2	6
134	в данном	5	6
135	можно было	2	6
136	дело в	2	6
137	быть только	3	6
138	на почве	6	6
139	или иначе	2	6
140	в сфере	2	6
141	из себя	3	6
142	несмотря на	2	6
143	в той	13	6
144	жизни и	5	6
145	с точки	11	6
146	как только	4	6
147	момент в	2	6
148	в одном	4	6
149	да и	2	5
150	как к	5	5
151	должен быть	3	5
152	свою очередь	3	5
153	вместе с	3	5
154	как это	3	5
155	того же	7	5
156	на себе	2	5
157	точка зрения	10	5
158	даже и	4	5
159	тогда когда	2	5
160	один из	9	5
161	мы видим	2	5
162	в его	19	5
163	хотя и	4	5
164	быть и	6	5
165	для этого	4	5
166	в чисто	4	5
167	во всех	25	5
168	в которой	4	5
169	и здесь	5	5
170	кроме того	6	5
171	как о	2	5
172	ее с	2	5
173	или как	4	5
174	в свою	4	5
175	только не	2	5
176	те или	4	5
177	оно и	4	4
178	нет никакой	2	4
179	так же	2	4
180	отношение к	8	4
181	и у	2	4
182	в их	6	4
183	так и	22	4
184	что все	2	4
185	и оно	2	4
186	более или	5	4
187	то время	2	4
188	не предполагает	3	4
189	переходит в	3	4
190	его на	2	4
191	в качестве	4	4
192	не было	4	4
193	во всяком	9	4
194	когда она	2	4
195	с ними	8	4
196	в основе	8	4
197	и от	5	4
198	слово и	5	4
199	то в	2	4
200	с этим	5	4
201	как оно	3	4
202	дело не	2	4
203	и эта	2	4
204	к ней	2	4
205	в особенности	10	4
206	по своей	2	4
207	его и	5	4
208	от всякого	2	4
209	и о	3	4
210	отношении к	9	4
211	и более	3	4
212	время как	2	4
213	в котором	2	4
214	точке зрения	2	4
215	на этом	4	4
216	явления и	2	4
217	или менее	5	4
218	может не	9	4
219	еще более	7	4
220	и чисто	5	4
221	же время	15	4
222	он не	5	4
223	и сам	4	4
224	собственном смысле	2	4
225	а следовательно	2	4
226	от его	4	3
227	ему не	2	3
228	перед нами	7	3
229	но как	2	3
230	не является	3	3
231	человека и	3	3
232	но она	2	3
233	в другом	4	3
234	и эти	2	3
235	но именно	5	3
236	ни о	2	3
237	в виде	4	3
238	только на	3	3
239	в частности	3	3
240	а с	2	3
241	по существу	3	3
242	мы видели	3	3
243	это может	2	3
244	к нему	7	3
245	но оно	5	3
246	только с	3	3
247	к тому	3	3
248	и само	2	3
249	одной стороны	7	3
250	другой стороны	5	3
251	себя как	2	3
252	в целом	3	3
253	же как	2	3
254	и во	3	3
255	той или	13	3
256	и может	4	3
257	в истории	6	3
258	из самых	2	3
259	не все	2	3
260	в собственном	2	3
261	от этого	2	3
262	и нет	3	3
263	и образ	2	3
264	но уже	2	3
265	и самое	3	3
266	жизни в	2	3
267	для того	2	3
268	как в	18	3
269	свое выражение	3	3
270	нас в	3	3
271	с одной	7	3
272	и кроме	2	3
273	понимание и	2	3
274	случае не	2	3
275	но все	2	3
276	у него	5	3
277	оно может	3	3
278	есть понимание	2	3
279	есть как	3	3
280	выражение в	4	3
281	и она	2	3
282	на язык	2	3
283	однако в	3	3
284	из этого	3	3
285	бы ни	3	3
286	перестает быть	2	3
287	или в	10	3
288	отношения к	3	3
289	мы уже	4	3
290	но он	4	3
291	абстрактный момент	2	2
292	данном случае	3	2
293	в свой	3	2
294	и заставляет	3	2
295	следовательно и	4	2
296	тому что	2	2
297	себя так	2	2
298	для всего	2	2
299	еще раз	3	2
300	здесь как	3	2
301	не как	4	2
302	то есть	46	2
303	и формы	4	2
304	не был	2	2
305	в одно	2	2
306	себе как	2	2
307	слово в	18	2
308	в виду	2	2
309	но эта	2	2
310	на все	3	2
311	как он	2	2
312	у них	2	2
313	следовательно в	3	2
314	в свое	3	2
315	и со	2	2
316	точку зрения	6	2
317	его от	2	2
318	языка как	10	2
319	но эти	3	2
320	социальная жизнь	2	2
321	зрения и	4	2
322	вне себя	5	2
323	с другом	2	2
324	и такой	2	2
325	уже в	2	2
326	не из	2	2
327	ту же	5	2
328	так в	2	2
329	всяком случае	7	2
330	к такому	2	2
331	и вне	3	2
332	между собой	3	2
333	не столько	4	2
334	нуждается в	3	2
335	себя от	2	2
336	и свои	2	2
337	при всем	3	2
338	связи с	4	2
339	действительность но	2	2
340	в связи	2	2
341	не на	6	2
342	в первом	3	2
343	мы сказали	6	2
344	бы только	2	2
345	осмысления и	2	2
346	них и	3	2
347	взаимного понимания	2	2
348	все то	2	2
349	первом случае	2	2
350	а также	5	2
351	существенно и	2	2
352	здесь не	6	2
