N	2gram	Tiupa_Narr	VLabPisa
1	таким образом	5	32
2	в этом	23	29
3	не только	50	26
4	и в	22	26
5	и т	3	25
6	может быть	24	23
7	во сне	4	21
8	хотя бы	4	20
9	и не	34	20
10	в процессе	2	17
11	не может	16	17
12	в том	20	15
13	в его	12	15
14	этом отношении	5	14
15	в силу	5	14
16	прежде всего	7	13
17	в частности	23	12
18	как это	7	12
19	в качестве	27	12
20	что в	6	11
21	с другой	6	11
22	из них	4	11
23	то же	12	10
24	но и	39	10
25	о том	5	10
26	к этому	2	9
27	об этом	8	9
28	т п	2	9
29	для него	8	9
30	в своем	7	8
31	том что	15	8
32	не следует	3	8
33	по словам	2	8
34	другой стороны	2	8
35	все эти	3	8
36	было бы	2	8
37	только в	23	8
38	вместе с	3	8
39	это не	6	7
40	из этих	6	7
41	во всех	2	7
42	по отношению	5	7
43	в году	2	7
44	то что	14	7
45	отношению к	5	7
46	тому что	4	7
47	как и	15	7
48	их в	4	7
49	в нем	9	7
50	в конечном	6	7
51	не было	3	7
52	говорит о	3	7
53	же в	6	7
54	а не	27	7
55	не в	12	6
56	в то	9	6
57	в себе	14	6
58	или менее	2	6
59	это и	2	6
60	все же	10	6
61	у него	13	6
62	так и	12	6
63	более или	2	6
64	приводит к	2	6
65	один из	8	6
66	в зависимости	3	6
67	и его	12	6
68	между тем	5	6
69	никогда не	8	5
70	сказать что	5	5
71	в одном	5	5
72	конечном счете	4	5
73	перед нами	9	5
74	в результате	4	5
75	в пределах	2	5
76	зависимости от	3	5
77	не является	7	5
78	одним из	2	5
79	действующих лиц	8	5
80	к тому	13	5
81	как бы	11	5
82	в целом	5	5
83	связи с	3	5
84	же время	7	5
85	по поводу	3	4
86	одна из	5	4
87	в сознании	6	4
88	и ее	3	4
89	различного рода	3	4
90	только что	4	4
91	роль в	4	4
92	в виду	2	4
93	что он	7	4
94	в романе	3	4
95	отнюдь не	6	4
96	в самом	8	4
97	как раз	9	4
98	в ее	4	4
99	с ними	5	4
100	в своей	8	4
101	в связи	3	4
102	во время	2	4
103	можно сказать	11	4
104	в этой	8	4
105	с его	6	4
106	не столь	2	3
107	и от	3	3
108	никак не	5	3
109	например в	2	3
110	и к	7	3
111	мы имеем	6	3
112	так же	2	3
113	но как	3	3
114	и он	8	3
115	том как	3	3
116	вслед за	4	3
117	бы в	2	3
118	в форме	7	3
119	в конце	4	3
120	и как	4	3
121	тому как	4	3
122	если бы	9	3
123	подобно тому	4	3
124	как он	3	3
125	как о	2	3
126	для того	4	3
127	у нас	4	3
128	как на	2	3
129	утверждает что	2	3
130	того что	7	3
131	далеко не	6	3
132	что у	6	3
133	она не	2	3
134	а в	19	3
135	всего лишь	8	3
136	в котором	3	3
137	именно в	5	3
138	точки зрения	8	3
139	мира и	2	3
140	со своим	2	3
141	между ними	3	3
142	большей или	2	3
143	что не	2	3
144	жизни и	7	3
145	того чтобы	7	3
146	что и	3	3
147	сводится к	10	3
148	у тургенева	2	3
149	и по	3	3
150	или в	7	3
151	в слове	4	3
152	вовсе не	2	3
153	не о	2	2
154	если в	2	2
155	от его	2	2
156	да и	5	2
157	или иной	6	2
158	меньшей степени	2	2
159	и потому	2	2
160	того или	3	2
161	не подлежит	3	2
162	так сказать	4	2
163	а к	3	2
164	о чем	6	2
165	одной стороны	5	2
166	можно было	2	2
167	вплоть до	5	2
168	при всей	5	2
169	что она	3	2
170	о своем	2	2
171	и через	2	2
172	начиная с	3	2
173	в другом	5	2
174	а о	2	2
175	этом и	5	2
176	и даже	4	2
177	и у	4	2
178	ли не	3	2
179	которая не	3	2
180	лица и	2	2
181	сознания субъекта	2	2
182	а как	2	2
183	в особенности	2	2
184	не всегда	4	2
185	в области	4	2
186	и наконец	2	2
187	достоевского и	2	2
188	по слову	3	2
189	еще не	6	2
190	как у	6	2
191	в которой	2	2
192	частности в	2	2
193	не по	5	2
194	всех его	2	2
195	а для	4	2
196	в чем	3	2
197	сих пор	3	2
198	с одной	5	2
199	же самое	3	2
200	из рассказа	2	2
201	часто не	3	2
202	как известно	3	2
203	одной из	2	2
204	в жизни	9	2
205	они и	2	2
206	к ним	2	2
207	но не	7	2
208	и для	4	2
209	также и	4	2
210	не менее	6	2
211	на него	4	2
212	только с	2	2
213	но в	10	2
214	они не	3	2
215	на то	4	2
216	могло бы	3	2
217	зависит от	3	2
218	все его	4	2
219	не вполне	3	2
220	в своих	2	2
221	пока еще	4	2
222	себе и	2	2
223	в ней	5	2
224	в сфере	2	2
225	будто бы	2	2
226	к его	5	2
227	но для	5	2
228	он и	2	2
229	не столько	2	2
230	что мы	2	2
231	с нею	2	2
232	только не	2	2
233	представить себе	3	2
234	по себе	4	2
235	всяком случае	2	2
236	ни одного	2	2
237	для них	2	2
238	внимание на	7	2
239	войны и	4	2
240	человека в	2	2
241	же как	2	2
242	он сам	4	2
243	о его	3	2
244	по его	3	2
245	он не	8	2
246	и сам	4	2
247	должна быть	2	2
248	персонажей и	2	2
249	который в	2	2
250	своих героев	2	2
251	хотя и	8	2
252	лишь в	3	2
253	во всяком	2	2
254	подчеркнуть что	2	2
255	до сих	3	2
