N	2gram	Berdyaev_N	VrazhdaK
1	не только	5	9
2	и что	2	8
3	в этом	7	8
4	и в	16	8
5	что в	9	7
6	но и	3	7
7	и все	4	7
8	то что	4	7
9	но в	2	6
10	как и	7	6
11	в нем	5	6
12	и с	2	6
13	и даже	2	6
14	и не	11	5
15	не было	4	5
16	в россии	3	5
17	в то	2	5
18	у него	2	5
19	это не	4	4
20	все это	5	4
21	о том	4	4
22	в ней	5	4
23	так же	2	4
24	в истории	3	4
25	может быть	7	4
26	в том	8	3
27	том что	2	3
28	он не	8	3
29	я не	2	3
30	наряду с	3	3
31	с его	6	3
32	никогда не	6	2
33	в одну	2	2
34	в них	4	2
35	уже не	2	2
36	в мире	3	2
37	одна из	2	2
38	к ним	3	2
39	и т.п	2	2
40	место в	2	2
41	нашего времени	2	2
42	и это	2	2
43	а в	2	2
44	в своей	3	2
45	в себе	2	2
46	еще не	3	2
47	же как	2	2
48	не может	16	2
49	права на	2	2
50	не менее	4	2
51	но это	6	2
52	вместе с	2	2
