N	2gram	Voloshinov	UchenyiS
1	и в	12	14
2	не только	4	10
3	а не	5	10
4	и не	10	8
5	прежде всего	8	8
6	то что	5	7
7	не может	16	7
8	в этом	4	7
9	может быть	14	6
10	перестает быть	2	5
11	то же	5	5
12	художественного творчества	3	5
13	хотя бы	5	5
14	все это	3	5
15	в художественном	3	5
16	художественное произведение	3	5
17	но и	3	4
18	с другой	4	4
19	конечно не	3	4
20	истории литературы	2	3
21	это не	2	3
22	и то	2	3
23	в своей	3	3
24	все же	4	3
25	как и	5	3
26	в то	2	3
27	но в	5	3
28	ни было	4	3
29	бы то	3	3
30	то ни	3	3
31	другой стороны	2	3
32	для него	3	3
33	в самом	4	2
34	в себе	3	2
35	что мы	5	2
36	материала и	4	2
37	форму и	2	2
38	же самое	2	2
39	литературы и	4	2
40	таким образом	12	2
41	теоретической поэтики	3	2
42	художественной формы	5	2
43	формы и	3	2
44	но не	2	2
45	и для	3	2
46	если бы	9	2
47	между тем	3	2
48	самом деле	3	2
49	только в	6	2
50	и является	4	2
51	не есть	2	2
52	ничего не	2	2
53	и с	3	2
54	но конечно	2	2
55	что и	2	2
56	могут быть	2	2
57	сих пор	3	2
58	по себе	3	2
59	том что	5	2
60	в его	2	2
61	все они	2	2
62	в том	6	2
63	художественного произведения	7	2
64	с его	2	2
65	должна быть	5	2
66	но это	2	2
67	не в	4	2
68	в некоторых	3	2
69	мы не	3	2
70	до сих	3	2
71	художественном произведении	3	2
