N	3gram	Tiupa_Hudo	KulturaY
1	для того чтобы	5	38
2	с точки зрения	3	36
3	в том что	8	33
4	в самом деле	2	29
5	тем не менее	3	19
6	с другой стороны	6	17
7	по отношению к	10	13
8	в связи с	3	12
9	и в самом	3	11
10	не может быть	4	11
11	в этом смысле	3	10
12	того или иного	4	9
13	а с другой	2	7
14	с одной стороны	3	7
15	в свою очередь	2	7
16	в то же	7	6
17	той или иной	5	6
18	этой точки зрения	2	6
19	то же время	7	6
20	в отличие от	7	6
21	более или менее	6	5
22	с этой точки	2	5
23	тот или иной	3	4
24	в конечном счете	5	4
25	одного и того	3	4
26	том что он	2	4
27	к тому что	2	4
28	состоит в том	5	4
29	в том и	2	4
30	так или иначе	4	4
31	и того же	3	4
32	в противном случае	2	3
33	в таком случае	2	3
34	в известном смысле	2	3
35	в виду не	3	3
36	тех или иных	2	3
37	сама по себе	2	3
38	и прежде всего	2	2
39	бы то ни	2	2
40	мы имеем в	3	2
41	и то же	3	2
42	тем или иным	2	2
43	так и не	4	2
44	но он не	2	2
45	может быть и	2	2
46	на наших глазах	2	2
47	в том числе	3	2
48	в стилистическом отношении	2	2
49	можно сказать что	3	2
50	и в то	2	2
51	в той или	2	2
52	в данный момент	2	2
53	по большей части	2	2
