N	2gram	Vinokur_Ku	FransuaR
1	и в	44	367
2	в этом	31	112
3	и не	23	101
4	таким образом	17	100
5	и его	8	99
6	в его	16	98
7	прежде всего	14	92
8	не только	29	87
9	но и	13	84
10	как бы	11	82
11	все эти	17	79
12	вовсе не	18	77
13	как и	3	76
14	в нем	7	75
15	но в	11	75
16	и на	8	72
17	в том	47	71
18	как мы	2	71
19	то же	12	66
20	и все	4	66
21	так и	10	65
22	в этой	8	65
23	в них	10	65
24	в сущности	11	64
25	и с	11	64
26	в то	4	63
27	все это	10	62
28	же время	4	55
29	что в	25	52
30	в своем	4	51
31	только в	15	48
32	так как	16	46
33	том что	30	45
34	в году	3	44
35	то что	14	41
36	у него	3	40
37	в самом	20	38
38	точки зрения	25	37
39	в ней	6	37
40	с его	4	36
41	может быть	25	35
42	о том	10	35
43	сказать что	5	34
44	и даже	5	34
45	в себе	4	34
46	рядом с	7	32
47	в конце	5	32
48	он не	4	32
49	мы видели	3	32
50	для него	2	32
51	в своей	4	31
52	до конца	3	31
53	так же	8	30
54	никогда не	2	30
55	и потому	6	30
56	той же	5	30
57	один из	8	30
58	потому что	40	30
59	но он	2	30
60	в духе	3	29
61	в этих	5	29
62	не может	13	29
63	еще не	10	29
64	не в	18	29
65	при этом	6	29
66	в одном	4	29
67	в особенности	6	29
68	связи с	8	29
69	что он	7	29
70	из них	4	28
71	всех этих	4	28
72	в той	6	28
73	также и	7	28
74	роль в	6	27
75	сих пор	5	27
76	до сих	5	27
77	и их	2	27
78	все же	17	27
79	кроме того	2	26
80	на самом	3	25
81	с помощью	12	25
82	в области	15	25
83	но это	4	25
84	отношение к	2	24
85	того чтобы	25	24
86	в ее	2	24
87	и от	2	24
88	в частности	6	24
89	например в	5	24
90	но не	11	24
91	в большинстве	3	24
92	как в	6	24
93	и у	3	24
94	своего рода	4	23
95	так сказать	5	23
96	и для	3	23
97	это не	13	23
98	в их	3	23
99	с ним	5	23
100	еще и	7	23
101	и здесь	8	23
102	большинстве случаев	3	23
103	и о	3	22
104	даже в	4	22
105	а в	7	22
106	что и	5	22
107	там где	7	22
108	тем что	9	22
109	вместе с	8	22
110	не было	6	22
111	именно в	7	21
112	в своих	2	21
113	в себя	2	21
114	в качестве	12	21
115	что это	11	21
116	в отношении	2	21
117	ни в	3	21
118	одним из	2	21
119	есть в	6	21
120	и как	3	21
121	уже в	5	21
122	а также	3	20
123	как раз	10	20
124	этом отношении	8	20
125	в виду	7	20
126	с точки	16	20
127	самом деле	17	20
128	и это	3	20
129	в связи	4	20
130	в форме	3	19
131	того же	6	19
132	хотя и	7	19
133	к этому	4	19
134	было бы	28	19
135	далеко не	2	19
136	с другой	14	19
137	связанные с	3	18
138	мы находим	2	18
139	на этом	4	18
140	здесь не	5	18
141	превращается в	4	18
142	это и	6	18
143	перед нами	4	18
144	связан с	2	18
145	конечно и	3	18
146	своего времени	2	17
147	связанных с	2	17
148	для того	23	17
149	но все	5	17
150	того что	11	17
151	можно было	14	17
152	в результате	8	17
153	на его	3	17
154	меньшей степени	2	17
155	и вот	4	17
156	конечно не	3	17
157	большей или	2	17
158	а не	17	17
159	в большей	2	17
160	между тем	11	16
161	или меньшей	2	16
162	тот же	7	16
163	ничего не	6	16
164	между ними	2	16
165	в другом	2	16
166	они не	4	16
167	дело в	2	16
168	с одной	3	16
169	одно из	3	15
170	в истории	3	15
171	в нашем	8	15
172	xix века	5	15
173	как на	4	15
174	с их	3	15
175	в которой	7	15
176	в самой	6	15
177	не мог	2	15
178	из этих	5	15
179	по существу	9	14
180	слов и	2	14
181	в данном	8	14
182	и он	4	14
183	в более	2	14
184	несмотря на	6	14
185	и по	4	14
186	в чем	2	14
187	в котором	4	14
188	здесь только	2	14
189	образом в	3	14
190	характер и	2	14
191	так в	2	13
192	отличие от	3	13
193	что все	6	13
194	на этой	4	13
195	это было	2	13
196	или в	5	13
197	с этим	6	13
198	и еще	4	13
199	бы в	8	13
200	и есть	3	13
201	более того	2	13
202	не на	4	13
203	во все	2	13
204	его к	5	13
205	о чем	2	13
206	на все	3	13
207	одной стороны	2	13
208	не знает	4	13
209	лишь в	6	12
210	только для	3	12
211	у нас	19	12
212	не могут	5	12
213	в пределах	8	12
214	главным образом	3	12
215	не был	2	12
216	в атмосфере	2	12
217	но здесь	2	12
218	можно сказать	6	12
219	о нем	2	12
220	другой стороны	12	12
221	об этом	4	12
222	так например	3	11
223	и более	3	11
224	на фоне	3	11
225	в свое	4	11
226	в общем	4	11
227	того как	6	11
228	уже не	13	11
229	и что	11	11
230	в системе	3	11
231	на эту	2	11
232	в узком	3	11
233	слова и	8	11
234	между собою	3	11
235	в ряде	2	11
236	время в	2	11
237	с ними	6	11
238	что они	5	11
239	очень часто	2	11
240	в отличие	3	11
241	данном случае	2	10
242	или иной	3	10
243	здесь как	3	10
244	по преимуществу	3	10
245	на этот	4	10
246	в таких	7	10
247	конце концов	3	10
248	к тому	8	10
249	ту же	6	10
250	выходит за	2	10
251	целый ряд	8	10
252	что для	3	10
253	выражение в	4	10
254	по отношению	9	10
255	к которому	3	10
256	даже и	5	10
257	в целом	5	10
258	да и	5	10
259	не просто	7	10
260	но оно	2	10
261	свое время	4	9
262	еще раз	2	9
263	что не	10	9
264	значение и	2	9
265	был в	2	9
266	относится к	3	9
267	но как	2	9
268	это как	2	9
269	как это	6	9
270	связано с	3	9
271	в разных	2	9
272	вся эта	2	9
273	и то	7	9
274	но дело	2	9
275	отношению к	9	9
276	для нас	6	9
277	в тех	4	9
278	как к	2	9
279	том же	3	9
280	для этой	2	9
281	что на	2	9
282	не имеет	6	9
283	в которых	8	9
284	же в	5	9
285	мы можем	2	9
286	о котором	4	9
287	к жизни	2	9
288	отношения к	2	9
289	с этой	4	8
290	следовательно и	2	8
291	так что	5	8
292	здесь мы	2	8
293	с тем	5	8
294	от этого	4	8
295	и без	2	8
296	языка и	16	8
297	под влиянием	3	8
298	для этого	6	8
299	если бы	21	8
300	после того	3	8
301	нуждается в	5	8
302	в это	3	8
303	ведь и	2	8
304	по поводу	2	8
305	мы увидим	3	8
306	нельзя было	2	8
307	как они	2	8
308	в совершенно	2	8
309	всякого рода	2	8
310	все те	3	8
311	и при	3	8
312	всего в	2	8
313	более или	3	8
314	но с	2	8
315	или менее	3	8
316	не менее	12	8
317	речи и	8	8
318	дело не	4	8
319	как о	2	8
320	тому же	2	8
321	и вовсе	7	8
322	точку зрения	2	7
323	большую роль	2	7
324	в целях	2	7
325	никак не	5	7
326	не как	2	7
327	себе и	3	7
328	что у	3	7
329	в свою	4	7
330	должен быть	8	7
331	взглянуть на	2	7
332	на том	4	7
333	во всяком	8	7
334	к ним	2	7
335	из области	4	7
336	из которых	3	7
337	в таком	3	7
338	в состоянии	2	7
339	том как	3	7
340	был бы	4	7
341	несколько слов	3	7
342	и если	4	7
343	что значит	2	7
344	к себе	4	7
345	в настоящее	2	7
346	а на	3	7
347	и там	2	7
348	настоящее время	2	7
349	связанная с	2	7
350	представление о	3	7
351	узком смысле	2	7
352	это конечно	2	7
353	же и	4	7
354	за этим	2	6
355	его так	2	6
356	тех кто	2	6
357	свою очередь	4	6
358	мы знаем	3	6
359	в искусстве	2	6
360	смысле слова	3	6
361	свидетельствует о	3	6
362	и под	3	6
363	переходит в	2	6
364	как у	2	6
365	вряд ли	5	6
366	или даже	2	6
367	ее в	2	6
368	казалось бы	5	6
369	как я	2	6
370	жизнь в	2	6
371	могут быть	5	6
372	для них	2	6
373	было в	2	6
374	что она	5	6
375	совершенно не	4	6
376	а именно	4	6
377	мы наблюдаем	2	6
378	и мысли	2	6
379	и следовательно	2	6
380	и эти	3	6
381	между прочим	4	6
382	до того	2	6
383	этого слова	8	6
384	уже и	3	6
385	хотя бы	19	6
386	в языке	16	6
387	от того	5	6
388	очень много	3	6
389	мысль и	2	6
390	находится в	2	6
391	как будто	2	6
392	тем же	2	6
393	которые в	2	6
394	за счет	2	6
395	во многом	2	6
396	тех же	2	6
397	себе в	3	6
398	видно что	2	6
399	не столько	2	6
400	в обычном	3	6
401	еще один	3	6
402	и пр	23	6
403	литературе и	2	6
404	говорить о	5	6
405	тем самым	5	5
406	язык в	7	5
407	тогда когда	7	5
408	к своему	2	5
409	в г	3	5
410	быть только	3	5
411	нисколько не	6	5
412	в первом	3	5
413	должна быть	6	5
414	их как	2	5
415	тем более	2	5
416	но только	5	5
417	можно говорить	4	5
418	когда он	4	5
419	не является	2	5
420	что мы	6	5
421	чем в	3	5
422	есть не	2	5
423	и когда	2	5
424	почти всегда	3	5
425	что слово	6	5
426	на язык	4	5
427	как например	3	5
428	этого процесса	2	5
429	должно быть	6	5
430	одного и	2	5
431	смысл и	5	5
432	слова в	7	5
433	если мы	5	5
434	бы и	6	5
435	всяком случае	8	5
436	что было	2	5
437	и только	2	5
438	в слове	3	5
439	а следовательно	2	5
440	на основе	2	5
441	но даже	3	5
442	во втором	2	5
443	во многих	3	5
444	по сравнению	3	5
445	в собственном	2	5
446	но уже	6	5
447	из одного	3	5
448	вообще не	2	5
449	подобного рода	4	5
450	слово в	2	5
451	же как	3	5
452	в числе	2	5
453	мы в	3	5
454	мы имеем	11	5
455	только то	2	5
456	форм в	2	5
457	традиции в	3	5
458	во введении	2	5
459	на то	6	5
460	в область	2	4
461	в каждом	3	4
462	он должен	2	4
463	что этот	2	4
464	в известном	2	4
465	в некоторой	2	4
466	это особенно	2	4
467	борьбы с	2	4
468	именно этот	3	4
469	но если	2	4
470	так называемые	5	4
471	что только	2	4
472	в день	2	4
473	где нет	2	4
474	что за	3	4
475	я не	5	4
476	слов о	2	4
477	в контексте	2	4
478	дело с	2	4
479	к этой	3	4
480	языка но	3	4
481	это есть	2	4
482	что эти	4	4
483	меньше чем	2	4
484	на это	3	4
485	но ведь	3	4
486	что касается	4	4
487	заключается в	3	4
488	к языку	6	4
489	слово это	11	4
490	и сейчас	3	4
491	учение о	4	4
492	труда и	2	4
493	но для	4	4
494	и именно	3	4
495	и где	2	4
496	и далее	3	4
497	не хочет	2	4
498	это действительно	2	4
499	о которых	2	4
500	что даже	2	4
501	также что	2	4
502	не так	2	4
503	ни одного	2	4
504	свидетельствуют о	2	4
505	только и	3	4
506	однако и	2	4
507	в наши	2	4
508	не случайно	7	4
509	которых мы	2	4
510	о таких	2	4
511	или же	3	4
512	оно не	5	4
513	этот вопрос	7	4
514	что между	2	4
515	внимание на	5	4
516	что я	4	4
517	и становится	3	4
518	без всякого	2	4
519	в действительности	2	4
520	если в	2	4
521	не раз	3	4
522	втором случае	2	4
523	есть нечто	2	4
524	и тем	7	4
525	когда в	4	4
526	всегда в	2	4
527	и значение	2	4
528	не должно	2	4
529	знаем что	3	4
530	в смысле	2	4
531	по себе	10	4
532	нашего анализа	2	4
533	свою речь	3	4
534	утверждение что	2	4
535	в каком	6	3
536	он есть	3	3
537	в речи	5	3
538	это определение	2	3
539	это только	5	3
540	смысле этого	5	3
541	на улице	2	3
542	именно с	3	3
543	устной речи	2	3
544	смысла и	2	3
545	не что	2	3
546	иной раз	2	3
547	что иное	2	3
548	мы говорим	4	3
549	которое в	2	3
550	как об	2	3
551	и того	2	3
552	это слово	7	3
553	указывает на	2	3
554	этого рода	6	3
555	не потому	6	3
556	со стороны	8	3
557	не всегда	4	3
558	в одно	2	3
559	в современной	3	3
560	смысл в	2	3
561	в буквальном	2	3
562	тому что	3	3
563	быть в	2	3
564	для обозначения	2	3
565	же это	2	3
566	такие же	2	3
567	в первый	2	3
568	что его	2	3
569	лишь как	3	3
570	новый тип	2	3
571	в живом	2	3
572	эта не	3	3
573	к одному	2	3
574	слова но	3	3
575	иное как	3	3
576	в силу	16	3
577	наряду с	2	3
578	что их	2	3
579	в следующем	2	3
580	особенности же	2	3
581	а с	3	3
582	а потому	6	3
583	как именно	2	3
584	то ни	2	3
585	именно поэтому	2	3
586	противоречии с	2	3
587	по своим	2	3
588	том чтобы	9	3
589	этой цели	2	3
590	но еще	4	3
591	ясно что	7	3
592	будто бы	3	3
593	все более	2	3
594	этом смысле	8	3
595	в последнем	2	3
596	но есть	2	3
597	что именно	2	3
598	подойти к	3	3
599	что с	2	3
600	и может	3	3
601	и свое	3	3
602	с него	2	3
603	и мы	2	3
604	могла бы	2	3
605	и уже	2	3
606	то это	3	3
607	и тогда	4	3
608	себя самого	2	3
609	указывает что	3	3
610	речи в	7	3
611	больше всего	3	3
612	не есть	4	3
613	именно это	2	3
614	приводит к	3	3
615	в устах	3	3
616	здесь совершенно	2	3
617	не для	2	3
618	чтобы показать	2	3
619	и сами	2	3
620	мы должны	2	2
621	действия и	2	2
622	различие между	2	2
623	предполагает что	2	2
624	ними и	2	2
625	то мы	4	2
626	свой язык	4	2
627	не надо	4	2
628	только тогда	4	2
629	в стороне	2	2
630	а только	10	2
631	и прочие	2	2
632	для самого	3	2
633	я уже	2	2
634	по мере	3	2
635	что нет	2	2
636	переход от	4	2
637	так называемой	2	2
638	понимать как	2	2
639	формы в	2	2
640	что такое	8	2
641	это так	2	2
642	соответствии с	5	2
643	если не	4	2
644	за собой	2	2
645	в язык	2	2
646	так называемая	2	2
647	этого не	5	2
