N	2gram	Losev_Prob	TeoriaLi
1	в качестве	3	33
2	не только	37	24
3	и в	64	24
4	в частности	5	23
5	то есть	61	22
6	может быть	29	22
7	в том	19	20
8	при этом	8	20
9	и не	63	17
10	а в	7	15
11	но и	23	14
12	так и	17	14
13	а не	21	14
14	в себе	16	14
15	такого рода	20	13
16	но не	13	13
17	представляет собой	2	13
18	в этом	30	12
19	то же	10	12
20	но в	19	12
21	сводится к	3	12
22	в его	12	12
23	том что	26	11
24	точки зрения	5	11
25	и его	3	11
26	лишь в	4	10
27	как это	7	10
28	что в	21	10
29	в данном	16	9
30	не в	6	9
31	в искусстве	3	9
32	с другой	8	9
33	в то	7	9
34	только в	19	9
35	не может	18	8
36	как бы	18	8
37	в своей	8	8
38	особого рода	3	7
39	или иной	8	7
40	в своем	7	7
41	а также	6	7
42	мы имеем	3	7
43	в области	8	7
44	в самом	10	7
45	однако в	2	7
46	место в	2	7
47	в нем	14	7
48	тем самым	11	6
49	или иного	6	6
50	того или	8	6
51	другой стороны	7	6
52	со стороны	2	6
53	не менее	26	6
54	еще не	18	6
55	то что	72	6
56	или менее	7	6
57	как и	7	6
58	более или	7	6
59	с другими	6	6
60	или иначе	7	6
61	уже не	9	6
62	в ее	3	6
63	в основе	4	6
64	с его	3	6
65	данном случае	10	5
66	по преимуществу	4	5
67	как в	5	5
68	знака к	7	5
69	ни в	13	5
70	в виду	10	5
71	и тем	16	5
72	не является	12	5
73	для того	10	5
74	и о	11	5
75	в пределах	2	5
76	для него	2	5
77	так или	7	5
78	на почве	2	5
79	между тем	3	5
80	могут быть	2	5
81	а а	6	5
82	того чтобы	10	5
83	того что	18	5
84	он не	5	5
85	можно сказать	9	5
86	никогда не	8	4
87	сказать что	33	4
88	в отношении	7	4
89	его в	9	4
90	это не	7	4
91	и ее	9	4
92	в другом	2	4
93	в силу	2	4
94	в их	7	4
95	одного и	2	4
96	в этих	7	4
97	что он	11	4
98	по своему	14	4
99	в литературе	4	4
100	далеко не	9	4
101	к тому	5	4
102	а только	9	4
103	того же	3	4
104	входит в	4	4
105	совпадает с	2	4
106	и того	5	4
107	и что	21	4
108	языка в	3	4
109	говорить о	14	4
110	или даже	3	4
111	не на	4	4
112	и сам	3	4
113	отношения к	2	4
114	в нашем	3	4
115	не знает	4	4
116	хотя и	8	4
117	но он	3	4
118	даже в	2	3
119	и то	15	3
120	перед нами	7	3
121	и притом	6	3
122	между которыми	2	3
123	мышления и	6	3
124	и потому	3	3
125	во всех	9	3
126	из этих	5	3
127	одной стороны	4	3
128	о чем	11	3
129	в которой	2	3
130	не все	4	3
131	и для	10	3
132	человека с	2	3
133	общения людей	3	3
134	тем не	25	3
135	и как	10	3
136	если бы	8	3
137	роль в	2	3
138	отношение знака	4	3
139	или в	5	3
140	мира в	2	3
141	он должен	2	3
142	подобно тому	2	3
143	тот или	4	3
144	в таком	18	3
145	слова как	2	3
146	одним из	2	3
147	а именно	16	3
148	в момент	2	3
149	была бы	2	3
150	никто не	2	3
151	между собой	5	3
152	с одной	4	3
153	текст и	2	3
154	и др	2	3
155	есть в	9	3
156	в жизни	3	3
157	искусства и	3	3
158	для себя	9	3
159	это отношение	3	3
160	или иных	2	3
161	их в	6	3
162	но их	2	3
163	именно в	5	3
164	потому что	24	3
165	все прочие	2	3
166	тому как	3	3
167	том числе	2	3
168	говорит и	3	3
169	прежде всего	17	3
170	к его	2	3
171	и к	2	3
172	этом смысле	8	3
173	отнюдь не	15	3
174	только не	4	3
175	не будет	11	3
176	с точки	3	3
177	все эти	15	3
178	не обязательно	3	3
179	той или	10	3
180	и по	3	3
181	связи с	8	3
182	в связи	7	3
183	таким образом	9	3
184	во всей	4	3
185	известной степени	2	3
186	например в	2	3
187	тех или	5	3
188	в этой	14	3
189	как раз	20	3
190	вовсе не	60	3
191	еще и	9	2
192	языкового знака	9	2
193	в каком	7	2
194	чтобы не	3	2
195	только и	5	2
196	но она	3	2
197	не могут	6	2
198	то в	6	2
199	для всех	3	2
200	так же	12	2
201	если в	2	2
202	но как	11	2
203	теории литературы	3	2
204	таких случаях	2	2
205	тем более	13	2
206	дело в	3	2
207	что она	8	2
208	за пределы	6	2
209	о своем	4	2
210	это было	3	2
211	отличается от	2	2
212	об этом	10	2
213	и даже	19	2
214	в конце	13	2
215	и здесь	8	2
216	сама по	6	2
217	таком случае	14	2
218	я и	2	2
219	это тоже	4	2
220	казалось бы	11	2
221	в значительной	2	2
222	определенным образом	4	2
223	к нашему	2	2
224	у нас	31	2
225	к своему	2	2
226	только на	13	2
227	самом деле	10	2
228	может и	3	2
229	в чем	3	2
230	вместе с	4	2
231	в одно	5	2
232	для понимания	2	2
233	к нему	5	2
234	для такого	2	2
235	чем и	2	2
236	и является	9	2
237	тот кто	2	2
238	числе и	2	2
239	и это	13	2
240	ее в	2	2
241	тому что	6	2
242	от всех	2	2
243	о том	25	2
244	в самой	3	2
245	знаков в	2	2
246	что такое	23	2
247	могли бы	2	2
248	таковы например	2	2
249	не вполне	4	2
250	есть как	2	2
251	если мы	16	2
252	образом и	3	2
253	оно не	6	2
254	известного рода	3	2
255	и на	11	2
256	на себя	2	2
257	однако все	2	2
258	значения и	11	2
259	из которых	2	2
260	для обозначения	4	2
261	он и	8	2
262	один из	7	2
263	собственно говоря	4	2
264	в них	8	2
265	по себе	20	2
266	что может	4	2
267	речь идет	2	2
268	вопрос что	2	2
269	несмотря на	6	2
270	здесь не	9	2
271	в той	2	2
272	мы в	4	2
273	что и	2	2
274	тем или	4	2
275	в случае	5	2
276	и больше	2	2
277	о его	2	2
278	то ни	3	2
279	заключается в	2	2
280	и особенно	4	2
281	не просто	30	2
282	все это	11	2
283	только о	8	2
284	что они	5	2
285	времени в	2	2
286	делает его	2	2
287	как будто	6	2
288	в первом	2	2
289	случае не	6	2
290	значение знака	2	2
291	пушкина что	2	2
292	бы то	2	2
293	этих двух	2	2
294	и который	3	2
295	тем же	2	2
296	быть и	5	2
297	при условии	5	2
298	в системе	3	2
