N	2gram	Trubetskoy	VrazhdaK
1	не только	9	9
2	и что	2	8
3	в этом	17	8
4	и в	14	8
5	что в	4	7
6	но и	10	7
7	то что	13	7
8	но в	2	6
9	как и	4	6
10	в котором	2	6
11	в начале	2	6
12	в нем	5	6
13	и с	7	6
14	все же	4	6
15	и даже	2	6
16	и не	19	5
17	не было	3	5
18	в россии	6	5
19	то же	11	5
20	в то	10	5
21	же время	10	5
22	у него	2	5
23	между тем	5	5
24	для нас	2	4
25	целый ряд	2	4
26	несмотря на	3	4
27	в своих	6	4
28	в россию	2	4
29	все это	6	4
30	при этом	5	4
31	о том	7	4
32	в ней	2	4
33	как бы	4	4
34	так же	2	4
35	что он	6	4
36	с ним	2	4
37	может быть	9	4
38	в том	17	3
39	его в	4	3
40	и во	3	3
41	в своем	6	3
42	том что	9	3
43	в его	4	3
44	и о	2	3
45	и как	3	3
46	он не	5	3
47	речь идет	2	3
48	связи с	3	3
49	на то	5	3
50	в конце	3	3
51	тем что	3	3
52	никогда не	5	2
53	с нею	3	2
54	и то	4	2
55	уже не	2	2
56	в мире	4	2
57	одна из	3	2
58	место в	2	2
59	для него	6	2
60	с точки	9	2
61	а в	5	2
62	он сам	3	2
63	в этой	4	2
64	тогда как	2	2
65	том же	2	2
66	в своей	5	2
67	в себе	9	2
68	еще не	3	2
69	точки зрения	11	2
70	это в	2	2
71	таким образом	11	2
72	россии в	7	2
73	во время	2	2
74	его и	2	2
75	отношения к	2	2
76	на это	2	2
77	их в	2	2
78	не может	22	2
79	из них	3	2
80	этот человек	2	2
81	но это	2	2
82	в глазах	2	2
83	к себе	2	2
84	отнюдь не	7	2
85	а с	2	2
86	вместе с	4	2
