N	2gram	Medvedev_U	Dialekti
1	не есть	2	181
2	и не	8	120
3	по себе	2	79
4	а не	10	78
5	и в	14	77
6	может быть	6	71
7	не только	10	66
8	то что	7	59
9	ничего не	2	54
10	не может	7	53
11	в том	2	40
12	что такое	4	39
13	в этом	7	39
14	то же	5	39
15	в себе	2	38
16	что она	2	38
17	том что	2	37
18	что он	2	37
19	прежде всего	8	37
20	это не	3	36
21	но и	4	32
22	все это	5	31
23	было бы	3	29
24	как и	3	28
25	крайней мере	2	26
26	по крайней	2	26
27	не в	2	26
28	и то	3	25
29	если бы	2	24
30	но это	2	24
31	в то	3	23
32	таким образом	2	23
33	должна быть	2	21
34	что все	2	20
35	только в	2	20
36	как раз	2	20
37	что и	2	20
38	и с	2	20
39	что мы	2	19
40	в самом	2	19
41	с другой	4	18
42	хотя бы	5	18
43	же время	3	18
44	в своей	3	16
45	мы не	2	16
46	конечно не	4	16
47	как таковой	2	15
48	все же	3	15
49	самом деле	2	15
50	даже и	2	14
51	и только	5	14
52	но в	3	13
53	другой стороны	3	13
54	могут быть	2	12
55	не могут	2	12
56	но не	2	12
57	не о	3	11
58	тех или	2	11
59	в его	2	10
60	это было	2	10
61	и для	2	10
62	в их	4	10
63	в частности	3	10
64	превращается в	2	9
65	не как	3	9
66	всех этих	2	9
67	в этой	4	8
68	у нас	3	8
69	ни от	2	8
70	вот почему	7	8
71	бы и	2	8
72	этом смысле	2	8
73	в конце	2	7
74	на первый	2	7
75	тем что	2	7
76	мы получаем	2	7
77	мы и	2	7
78	с его	2	7
79	то ни	3	7
80	для этого	3	6
81	о чем	2	6
82	по существу	2	6
83	именно как	2	6
84	для него	3	6
85	надо было	2	5
86	же не	2	5
87	но даже	2	5
88	только к	3	5
89	сих пор	2	5
90	конце концов	2	5
91	и у	2	5
92	в области	3	5
93	до сих	2	5
94	а как	2	4
95	это уже	2	4
96	нас в	2	4
97	если не	2	4
98	бы то	3	4
99	этом отношении	2	4
100	и является	2	4
101	же самое	2	4
102	очевидно что	3	3
103	в искусстве	6	3
104	при таком	2	3
105	фактов и	2	3
106	все они	2	3
107	или точнее	3	3
108	или иных	2	3
109	как принцип	2	3
110	еще ничего	2	3
111	для всех	2	3
112	не приходится	2	3
113	ни было	3	3
114	форму и	2	3
115	в некоторых	2	3
116	между тем	2	3
117	и формы	3	2
118	как такового	3	2
119	к сожалению	3	2
120	очевидно не	2	2
121	в сторону	2	2
122	в широком	2	2
123	вопроса о	2	2
124	интереса к	2	2
125	но конечно	2	2
126	этого термина	2	2
127	а о	2	2
128	перестает быть	5	2
129	художественное произведение	5	2
130	его и	2	2
131	а между	2	2
132	их и	2	2
133	сколько угодно	2	2
134	в системе	2	2
