N	3gram	Losev_Vesc	DiskursI
1	в том что	9	28
2	с одной стороны	3	14
3	не может быть	22	12
4	в данном случае	2	12
5	то же время	4	10
6	по природе своей	2	10
7	о том что	4	9
8	в то же	5	8
9	в этом отношении	2	8
10	по крайней мере	10	6
11	в основе своей	2	6
12	с точки зрения	6	6
13	подобно тому как	5	5
14	не только в	5	5
15	с другой стороны	3	5
16	дело в том	4	5
17	в свою очередь	5	5
18	в свое время	2	4
19	тем не менее	11	4
20	можно сказать что	3	4
21	одно и то	5	3
22	можно говорить о	2	3
23	и то же	5	3
24	и в частности	2	3
25	содержит в себе	11	3
26	более или менее	4	3
27	мы имеем дело	2	3
28	а не в	2	3
29	во всяком случае	2	3
30	то ни было	12	2
31	бы то ни	12	2
32	принципиально не может	2	2
33	а не только	2	2
34	сами по себе	3	2
35	все то что	2	2
36	дело не с	2	2
37	если бы я	3	2
38	и не только	6	2
39	только то что	3	2
40	имеем дело не	2	2
41	и в то	3	2
42	все же не	3	2
43	и то что	5	2
44	в том чтобы	2	2
