N	2gram	Nazirov_Tr	Problemy
1	и в	18	106
2	и не	7	90
3	как бы	7	70
4	может быть	7	66
5	в его	3	56
6	в этом	9	52
7	в нем	4	51
8	не может	5	49
9	что он	6	44
10	как и	5	44
11	у достоевского	5	43
12	но и	4	40
13	для него	3	39
14	и его	6	39
15	не только	8	36
16	то же	5	36
17	то что	4	33
18	но в	6	33
19	прежде всего	4	32
20	в то	5	29
21	все это	4	29
22	он не	2	29
23	и все	4	28
24	не в	2	27
25	в одном	2	27
26	же время	6	26
27	к нему	3	25
28	в самом	2	25
29	и с	7	25
30	и на	7	23
31	что я	4	22
32	никогда не	2	20
33	все же	5	20
34	потому что	2	20
35	что в	4	19
36	достоевского в	3	19
37	с его	2	19
38	в себе	4	18
39	все эти	3	18
40	уже не	2	18
41	еще не	4	18
42	это не	5	17
43	в том	2	17
44	так и	5	17
45	с ним	3	17
46	так же	4	16
47	до конца	2	15
48	у него	6	15
49	по замыслу	2	14
50	в своем	3	14
51	в конце	3	14
52	я не	4	14
53	и сам	3	14
54	он и	2	14
55	а как	2	14
56	его в	2	13
57	перед нами	2	13
58	в романе	10	13
59	романа достоевского	2	13
60	и это	2	13
61	роман достоевского	2	13
62	в целом	4	13
63	в мире	3	13
64	но все	2	13
65	том что	4	12
66	ничего не	2	12
67	так что	2	12
68	к тому	2	12
69	что и	2	12
70	при этом	3	12
71	но это	4	12
72	и даже	4	12
73	и как	3	12
74	как в	3	12
75	для достоевского	2	12
76	и что	4	12
77	не могут	2	11
78	бы и	2	11
79	он сам	7	11
80	должно быть	3	11
81	а я	5	11
82	тем что	2	11
83	как будто	3	11
84	отношение к	2	10
85	достоевский в	7	10
86	романах достоевского	2	10
87	ивана карамазова	2	9
88	раз и	2	9
89	я ведь	2	9
90	ни в	2	9
91	замыслу достоевского	2	9
92	уже в	3	8
93	несмотря на	5	8
94	а что	2	8
95	и до	2	8
96	что это	5	8
97	и он	3	8
98	о том	2	8
99	вопрос о	2	7
100	но эта	2	7
101	в виде	2	7
102	что все	2	7
103	и ее	2	7
104	что она	2	7
105	я все	2	7
106	достоевский не	4	6
107	знает что	2	6
108	отличие от	2	6
109	и здесь	2	6
110	одна из	2	6
111	как же	2	6
112	друг друга	2	6
113	в отличие	2	6
114	на меня	2	6
115	в этой	4	6
116	не мог	2	6
117	и то	2	5
118	если б	2	5
119	с тем	2	5
120	один из	3	5
121	настасья филипповна	2	5
122	в ее	2	5
123	но при	2	5
124	в глаза	2	5
125	то есть	3	5
126	под влиянием	2	4
127	он был	2	4
128	в первом	2	4
129	нет в	2	4
130	что с	3	4
131	то и	2	4
132	с ее	3	4
133	его за	2	4
134	об этом	4	4
135	в рассказе	2	4
136	жизнь и	3	4
137	еще в	2	4
138	данном случае	2	3
139	в записках	2	3
140	о чем	3	3
141	что вы	3	3
142	что говорит	2	3
143	в основном	3	3
144	ненависть к	2	3
145	своего рода	3	3
146	что этот	2	3
147	ставрогина и	3	3
148	не за	2	3
149	в данном	2	3
150	мог бы	3	3
151	это очень	5	3
152	но они	2	3
153	этими двумя	2	3
154	автора но	2	3
155	я к	2	3
156	с иваном	2	3
157	романа и	3	3
158	говорит о	2	3
159	в таком	2	3
160	в силах	2	2
161	записках из	3	2
162	на суде	3	2
163	что же?	2	2
164	очень важно	2	2
165	не был	2	2
166	ставрогина к	2	2
167	николай всеволодович	3	2
168	одном из	2	2
169	в образе	6	2
170	не так	2	2
171	в душе	2	2
172	это уже	2	2
173	что достоевский	4	2
174	отнюдь не	3	2
175	между этими	2	2
176	впечатление что	2	2
177	петра верховенского	17	2
178	но этого	2	2
179	другим в	2	2
180	было в	2	2
181	эпизод с	3	2
182	один в	3	2
183	не имеет	2	2
184	не случайно	2	2
185	столь же	2	2
186	ничем не	2	2
187	в преступлении	2	2
188	чем он	2	2
