N	3gram	Losev_Vesc	slovoVRo
1	не может быть	22	19
2	в то же	5	18
3	то же время	4	18
4	с точки зрения	6	15
5	в той или	2	13
6	в отношении к	2	12
7	с одной стороны	3	11
8	и т д	36	10
9	более или менее	4	9
10	во всяком случае	2	8
11	не может не	3	6
12	с другой стороны	3	6
13	и в то	3	6
14	но все же	2	6
15	в том что	9	5
16	в этом отношении	2	5
17	не только в	5	5
18	хотя бы и	2	5
19	для того чтобы	2	4
20	друг с другом	2	4
21	можно сказать что	3	4
22	в свою очередь	5	4
23	одно и то	5	3
24	к тому что	2	3
25	а затем и	2	3
26	и то же	5	3
27	в собственном смысле	3	3
28	может быть только	6	3
29	в данном случае	2	3
30	и не в	3	3
31	тех или иных	2	3
32	сама по себе	7	3
33	а не только	2	2
34	и в частности	2	2
35	если она не	2	2
36	не только не	4	2
37	мы не можем	3	2
38	в первом случае	2	2
39	дело не с	2	2
40	а следовательно и	2	2
41	и кроме того	2	2
42	нужно сказать что	2	2
43	о том что	4	2
44	можно было бы	3	2
45	и не только	6	2
46	в то время	4	2
47	как бы ни	2	2
48	и с другой	2	2
49	этой точки зрения	3	2
50	то время как	4	2
51	и в этом	2	2
52	с этой точки	3	2
53	тем не менее	11	2
