N	2gram	Medvedev_S	Psycholo
1	то что	2	193
2	и в	3	190
3	в том	5	163
4	что в	2	123
5	том что	2	113
6	и что	2	108
7	может быть	2	107
8	таким образом	2	102
9	в этом	5	100
10	как бы	2	80
11	не только	3	75
12	было бы	2	56
13	и мы	2	54
14	то же	2	54
15	только в	2	46
16	не в	3	45
17	но и	2	40
18	все это	7	32
19	в его	3	31
20	для нас	3	31
21	как будто	2	30
22	в конце	2	21
23	и только	3	21
24	еще не	2	15
25	далеко не	2	15
26	в частности	2	15
27	в результате	2	15
28	очевидно что	2	14
29	должна быть	2	14
30	главным образом	2	14
31	по существу	2	14
32	это и	2	14
33	конце концов	2	12
34	как только	2	12
35	и заключается	2	11
36	за пределы	2	6
37	только как	2	6
38	к которому	2	5
39	дело не	2	5
40	она может	2	5
41	в смысле	2	5
42	по отношению	2	4
43	литературы и	2	4
44	заключается что	2	4
45	как же	3	3
46	но ведь	3	3
47	тем более	2	3
48	отношению к	2	3
49	им не	2	2
50	ведь это	2	2
51	истории литературы	10	2
52	нужно было	2	2
53	идей и	2	2
54	более чем	3	2
