N	2gram	Medvedev_F	UchenyiS
1	и в	54	14
2	формальный метод	19	11
3	не только	14	10
4	а не	11	10
5	формального метода	29	9
6	и не	34	8
7	прежде всего	34	8
8	то что	14	7
9	не может	26	7
10	в этом	39	7
11	в искусстве	6	6
12	может быть	30	6
13	перестает быть	3	5
14	и только	5	5
15	то же	16	5
16	хотя бы	10	5
17	все это	11	5
18	в художественном	5	5
19	художественное произведение	8	5
20	но и	18	4
21	в этой	10	4
22	что такое	2	4
23	с другой	8	4
24	в россии	4	4
25	в их	16	4
26	литературной науки	3	4
27	конечно не	5	4
28	не о	7	3
29	о формальном	3	3
30	у нас	6	3
31	в частности	4	3
32	истории литературы	18	3
33	для этого	6	3
34	не следует	5	3
35	это не	4	3
36	вряд ли	2	3
37	очевидно что	2	3
38	как такового	8	3
39	в своей	16	3
40	все же	8	3
41	не как	7	3
42	как и	18	3
43	в то	14	3
44	но в	9	3
45	же время	13	3
46	к сожалению	2	3
47	произведения искусства	4	3
48	ни было	2	3
49	было бы	10	3
50	в области	6	3
51	бы то	4	3
52	то ни	5	3
53	другой стороны	5	3
54	для него	9	3
55	в самом	17	2
56	в себе	4	2
57	материала и	7	2
58	в широком	5	2
59	как прием	2	2
60	является в	2	2
61	что он	8	2
62	литературы и	6	2
63	таким образом	28	2
64	предмет изучения	2	2
65	теоретической поэтики	4	2
66	художественной формы	2	2
67	формы и	7	2
68	но не	5	2
69	и для	5	2
70	если бы	8	2
71	поэтики на	3	2
72	противном случае	2	2
73	между тем	4	2
74	самом деле	12	2
75	только в	6	2
76	этом смысле	3	2
77	в противовес	2	2
78	и является	3	2
79	не есть	4	2
80	ничего не	5	2
81	всех этих	6	2
82	даже и	5	2
83	и с	17	2
84	должна была	2	2
85	но конечно	2	2
86	в шкловский	8	2
87	что и	10	2
88	искусства как	2	2
89	вопроса о	2	2
90	при таком	5	2
91	могут быть	7	2
92	не приходится	4	2
93	но даже	2	2
94	и через	2	2
95	не могут	8	2
96	смысле этого	4	2
97	это было	3	2
98	превращается в	2	2
99	сих пор	7	2
100	по себе	10	2
101	тем что	6	2
102	том что	3	2
103	а как	5	2
104	в сторону	4	2
105	в его	30	2
106	сводится к	6	2
107	в том	17	2
108	этом отношении	7	2
109	этого термина	2	2
110	как таковой	8	2
111	художественного произведения	27	2
112	с его	12	2
113	как раз	8	2
114	должна быть	11	2
115	фактов и	3	2
116	конце концов	2	2
117	его и	2	2
118	а о	4	2
119	но это	4	2
120	для всех	2	2
121	по существу	8	2
122	в противном	2	2
123	не в	16	2
124	художественных произведений	5	2
125	в шкловского	3	2
126	в конце	2	2
127	в системе	3	2
128	в некоторых	2	2
129	мы не	6	2
130	до сих	7	2
131	художественном произведении	4	2
132	не столько	5	2
133	именно как	14	2
