N	2gram	Tiupa_Disk	PoTuStor
1	может быть	29	17
2	и в	27	16
3	в этом	29	9
4	таким образом	4	9
5	прежде всего	17	9
6	и с	2	8
7	точки зрения	6	8
8	не может	17	8
9	и его	4	8
10	сказать что	4	7
11	не только	36	7
12	с его	9	7
13	и это	3	6
14	с точки	3	6
15	самом деле	2	6
16	я и	3	6
17	и к	4	6
18	для него	9	6
19	при этом	22	6
20	ни в	7	5
21	все эти	2	5
22	как бы	9	5
23	еще не	20	5
24	в чем	2	5
25	отношение к	6	5
26	как мы	2	4
27	и на	8	4
28	все это	2	4
29	в его	9	4
30	и ее	5	4
31	но и	22	4
32	и не	25	4
33	и все	5	4
34	но в	15	4
35	с самого	2	4
36	в этой	5	4
37	с ее	3	4
38	и наконец	2	4
39	и может	3	4
40	только в	9	4
41	в нем	16	4
42	хотя бы	3	4
43	можно сказать	7	4
44	так и	14	4
45	для всех	2	4
46	мысли и	2	4
47	самого начала	2	4
48	отнюдь не	11	4
49	и даже	4	4
50	едва ли	2	3
51	что в	8	3
52	жизни и	2	3
53	и как	9	3
54	и потому	3	3
55	а в	5	3
56	в том	29	3
57	их в	2	3
58	в области	3	3
59	только на	2	3
60	крайней мере	3	3
61	и есть	2	3
62	большинстве случаев	2	3
63	в большинстве	3	3
64	в этих	4	3
65	чем не	3	3
66	в конечном	2	3
67	отношения к	2	3
68	с их	3	3
69	как это	2	3
70	то что	10	3
71	реальности и	2	3
72	во всех	6	3
73	по крайней	3	3
74	мира и	3	3
75	могут быть	5	3
76	всяком случае	2	3
77	вместе с	3	3
78	в одном	5	3
79	к себе	2	3
80	и др	3	3
81	на этом	3	3
82	во всяком	3	3
83	том что	27	3
84	в основе	11	3
85	один из	3	2
86	никогда не	3	2
87	можно определить	2	2
88	по своему	3	2
89	в них	6	2
90	определить как	2	2
91	в жизни	2	2
92	к ним	3	2
93	в одно	2	2
94	и вообще	2	2
95	что не	4	2
96	нашего времени	2	2
97	аналогии с	2	2
98	и по	2	2
99	что и	5	2
100	не менее	6	2
101	не могут	2	2
102	как не	3	2
103	сводится к	7	2
104	но отнюдь	2	2
105	о том	12	2
106	можно назвать	2	2
107	то же	12	2
108	они не	2	2
109	с этим	3	2
110	как и	27	2
111	что он	6	2
112	говорить о	3	2
113	того же	5	2
114	в науке	2	2
115	в своей	10	2
116	мы не	2	2
117	себя и	2	2
118	из этих	3	2
119	но как	2	2
120	в самом	4	2
121	в начале	2	2
122	с этой	2	2
123	по аналогии	2	2
124	в свое	3	2
125	не на	3	2
126	в частности	18	2
127	он не	4	2
128	в голову	2	2
129	при всей	9	2
130	и о	4	2
131	оно не	2	2
132	не есть	3	2
133	к другим	3	2
134	за пределы	2	2
135	к этому	4	2
136	что на	3	2
137	конечном счете	2	2
138	не знает	4	2
139	в пределах	4	2
140	и т.п	18	2
141	момент в	3	2
142	есть в	3	2
143	на ранних	2	2
144	только то	2	2
145	на протяжении	2	2
146	между собой	2	2
147	но это	3	2
148	но зато	2	2
