N	2gram	Berdyaev_M	slovoVRo
1	и в	61	92
2	то есть	3	64
3	в нем	26	59
4	может быть	42	59
5	и его	13	59
6	и не	26	51
7	не только	42	44
8	не может	39	41
9	но и	34	39
10	до конца	16	37
11	в этом	34	36
12	а не	36	34
13	во всех	3	32
14	так и	5	30
15	точки зрения	6	30
16	могут быть	2	29
17	в его	10	27
18	все это	6	25
19	как бы	10	24
20	то же	4	23
21	и на	9	22
22	не в	16	21
23	в сущности	2	21
24	как в	9	21
25	в то	2	20
26	прежде всего	18	19
27	как и	14	18
28	себя в	6	18
29	с ним	5	18
30	все же	2	17
31	оно не	3	17
32	все эти	3	17
33	в истории	2	17
34	в основе	4	17
35	к своему	2	16
36	в них	5	16
37	но в	12	16
38	и с	6	15
39	со своим	2	15
40	в той	3	15
41	человек и	7	15
42	только в	7	14
43	это не	10	13
44	с его	6	13
45	отношении к	4	13
46	и для	7	13
47	никогда не	30	12
48	в отношении	6	12
49	и потому	17	12
50	отношение к	9	12
51	а в	4	12
52	и к	9	12
53	один из	9	11
54	в этих	6	11
55	для него	28	11
56	в своем	17	10
57	и их	3	10
58	в том	9	10
59	и все	13	10
60	она не	9	10
61	в себе	12	10
62	в него	3	10
63	лишь в	8	10
64	уже не	8	10
65	может не	3	10
66	его в	6	9
67	и от	3	9
68	одним из	2	9
69	и других	2	9
70	к нему	8	9
71	в их	4	9
72	и мир	2	9
73	в своей	18	9
74	сказать что	5	9
75	так как	10	9
76	но не	8	9
77	на почве	3	9
78	конечно не	3	9
79	он не	34	9
80	быть и	2	9
81	не могут	6	8
82	человека и	19	8
83	в ней	23	8
84	все время	3	8
85	с этим	4	8
86	в значительной	2	8
87	и часто	2	8
88	человека в	26	8
89	в самом	15	8
90	входит в	3	8
91	для нас	3	8
92	том что	7	7
93	от него	4	7
94	друг друга	12	7
95	по преимуществу	4	7
96	его не	5	7
97	о нем	2	7
98	у него	38	7
99	значительной степени	2	7
100	за пределы	5	7
101	также и	6	7
102	еще более	3	7
103	в романах	2	7
104	с которым	2	7
105	жизни и	6	7
106	на своем	4	7
107	не было	25	7
108	же и	2	7
109	во всем	5	7
110	ничего не	4	6
111	которые в	2	6
112	как к	2	6
113	роль в	2	6
114	на этом	5	6
115	бы и	8	6
116	xix века	4	6
117	что в	12	6
118	ни в	3	6
119	темы о	2	6
120	лежит в	2	6
121	и там	10	6
122	и здесь	6	6
123	хотя бы	8	6
124	он в	4	6
125	человек в	12	6
126	в свою	5	6
127	себя и	6	6
128	по себе	2	6
129	мира и	6	6
130	между тем	2	6
131	в каждом	4	5
132	не как	4	5
133	а как	2	5
134	не знает	12	5
135	отношению к	4	5
136	мы не	2	5
137	и по	4	5
138	должен быть	4	5
139	хотя и	2	5
140	особенно в	3	5
141	для этого	3	5
142	по отношению	4	5
143	с их	2	5
144	для того	4	5
145	его и	2	5
146	должна быть	7	5
147	и более	2	5
148	на протяжении	2	5
149	они не	4	5
150	о том	5	5
151	и этим	2	5
152	него нет	6	5
153	той же	3	5
154	уже в	6	5
155	но он	17	5
156	вместе с	7	5
157	литературы и	2	4
158	в свой	2	4
159	так же	5	4
160	его на	4	4
161	и ее	2	4
162	что и	6	4
163	в виду	2	4
164	что он	16	4
165	он должен	4	4
166	связано с	5	4
167	в атмосфере	3	4
168	того что	13	4
169	до сих	5	4
170	все его	3	4
171	те же	5	4
172	даже и	2	4
173	в чем	3	4
174	тогда когда	2	4
175	момент его	2	4
176	не были	2	4
177	того чтобы	4	4
178	ли он	2	4
179	и во	5	4
180	только и	7	4
181	но это	8	4
182	бы ни	2	4
183	его как	2	4
184	в которой	8	4
185	и как	3	4
186	если бы	5	4
187	вообще не	2	4
188	с этой	4	4
189	смысле в	2	4
190	сих пор	5	4
191	к тому	6	4
192	от его	3	4
193	эти слова	2	4
194	которая не	2	4
195	о себе	3	4
196	его романах	2	4
197	отношения к	6	4
198	в иных	3	3
199	или к	4	3
200	в духе	6	3
201	но она	3	3
202	не был	8	3
203	а лишь	3	3
204	но эта	2	3
205	людей и	5	3
206	в такой	4	3
207	в разных	3	3
208	отношением к	2	3
209	они были	2	3
210	в свете	3	3
211	тому что	2	3
212	только с	3	3
213	на том	3	3
214	в более	4	3
215	его с	4	3
216	и без	2	3
217	и те	4	3
218	человеке и	8	3
219	от этой	2	3
220	смысле слова	7	3
221	на все	3	3
222	переходит в	23	3
223	не была	4	3
224	было бы	11	3
225	как для	2	3
226	интерес к	5	3
227	и то	2	3
228	к этому	3	3
229	от этого	4	3
230	не все	3	3
231	этот процесс	5	3
232	должно быть	5	3
233	менее всего	10	3
234	отличается от	2	3
235	и самое	3	3
236	тем что	7	3
237	сознания в	2	3
238	жизни в	3	3
239	нас в	3	3
240	лишь как	3	3
241	этими двумя	2	3
242	ни с	4	3
243	не есть	21	3
244	мир и	3	3
245	в этой	12	3
246	к новому	2	3
247	потому что	25	3
248	все что	5	3
249	целый ряд	2	3
250	и это	16	3
251	из себя	2	3
252	личности и	3	3
253	с таким	2	3
254	связана с	9	3
255	и нет	3	3
256	чем в	3	3
257	на самом	2	2
258	тема о	5	2
259	она может	2	2
260	есть только	2	2
261	к себе	3	2
262	по своей	4	2
263	он также	2	2
264	и у	3	2
265	и есть	21	2
266	есть не	9	2
267	его отношение	2	2
268	на пути	4	2
269	это и	7	2
270	как он	4	2
271	не остается	2	2
272	у них	4	2
273	так что	3	2
274	и за	2	2
275	тем как	2	2
276	есть в	3	2
277	бы его	2	2
278	нем не	2	2
279	то что	10	2
280	по своему	3	2
281	что все	5	2
282	друг для	2	2
283	жизнь в	4	2
284	в образе	4	2
285	достоевский был	13	2
286	и та	2	2
287	что не	3	2
288	место в	4	2
289	для них	3	2
290	в ее	3	2
291	соединяется с	2	2
292	мы видим	4	2
293	и самый	2	2
294	что они	4	2
295	был бы	11	2
296	в социальном	2	2
297	из самых	9	2
298	от всякого	2	2
299	проникает в	3	2
300	он никогда	3	2
301	того как	3	2
302	это очень	3	2
303	время как	2	2
304	то в	2	2
305	к которой	4	2
306	и что	4	2
307	человеческой личности	11	2
308	и эта	3	2
309	что она	5	2
310	с ней	3	2
311	та же	4	2
312	но этот	3	2
313	он был	18	2
314	и той	2	2
315	к одному	2	2
316	мира в	2	2
317	об этом	2	2
318	в новых	2	2
319	его художественного	2	2
320	человека как	3	2
321	в жизни	7	2
322	у нас	13	2
323	как у	2	2
324	за его	2	2
325	чем не	3	2
326	ни к	2	2
327	к ней	6	2
328	образ человека	8	2
329	с человеком	2	2
330	культуры и	2	2
331	нет и	6	2
332	в самых	2	2
333	от всех	2	2
334	мы увидим	4	2
335	века в	2	2
336	в котором	9	2
337	знает только	2	2
338	в своих	4	2
339	в сфере	2	2
340	приводит к	2	2
341	в начале	2	2
342	момент в	5	2
343	во власти	5	2
344	и она	5	2
345	не знают	4	2
346	не для	2	2
347	он весь	8	2
348	то время	2	2
349	для друга	2	2
350	не к	6	2
351	в нашем	2	2
352	не значит	2	2
353	такой степени	2	2
