N	2gram	Nazirov_Tv	Analitik
1	не только	16	71
2	тогда как	3	67
3	и в	40	66
4	в качестве	2	61
5	но и	10	57
6	в том	13	52
7	может быть	11	52
8	в частности	4	51
9	в этом	11	51
10	как и	16	50
11	и не	12	48
12	а не	9	42
13	том что	14	40
14	при этом	14	40
15	так и	5	35
16	то есть	16	35
17	в мире	8	31
18	своего рода	7	30
19	представляет собой	4	30
20	не может	9	29
21	как бы	26	29
22	отнюдь не	9	29
23	а в	10	28
24	в его	19	27
25	и его	14	27
26	не в	3	26
27	но не	7	26
28	в себе	3	24
29	не случайно	6	24
30	к тому	2	22
31	и даже	8	22
32	в этой	7	22
33	что в	17	22
34	о том	9	20
35	по отношению	3	19
36	но в	11	19
37	в своей	8	19
38	то же	19	19
39	в самом	6	19
40	с его	12	19
41	в то	23	18
42	в данном	2	18
43	отношению к	3	18
44	тем самым	10	17
45	с другой	4	17
46	в целом	7	17
47	только в	7	17
48	могут быть	4	16
49	то что	9	16
50	что и	3	16
51	не есть	2	15
52	в их	5	15
53	прежде всего	10	15
54	уже не	6	15
55	и на	12	15
56	между тем	2	15
57	данном случае	2	14
58	в принципе	5	14
59	отличие от	3	14
60	не менее	8	14
61	того же	2	14
62	себя в	3	14
63	я и	3	14
64	в отличие	3	14
65	далеко не	3	14
66	столь же	2	14
67	же время	18	14
68	в себя	3	14
69	по себе	2	13
70	ничего не	3	13
71	в начале	2	13
72	как раз	2	13
73	для него	9	13
74	как правило	3	13
75	он не	10	13
76	тому же	2	13
77	никогда не	13	12
78	есть не	2	12
79	как это	2	12
80	в первой	4	12
81	еще не	5	12
82	как в	10	12
83	в конечном	4	12
84	сводится к	2	12
85	и сам	5	12
86	даже в	4	11
87	в свою	8	11
88	это не	9	11
89	во второй	3	11
90	нуждается в	2	11
91	конечном счете	4	11
92	и как	5	11
93	можно сказать	2	11
94	той же	4	11
95	в конце	5	10
96	едва ли	2	10
97	все же	9	10
98	на себя	2	10
99	однако в	3	10
100	один из	5	10
101	было бы	2	10
102	особенно в	3	10
103	с одной	2	10
104	именно в	6	10
105	в своем	4	9
106	того что	3	9
107	не столько	4	9
108	как уже	2	9
109	крайней мере	4	9
110	свою очередь	2	9
111	другой стороны	2	9
112	во всех	2	9
113	по крайней	4	9
114	в русской	5	9
115	личности в	3	9
116	и того	2	9
117	говорит о	3	9
118	таким образом	14	9
119	вместе с	4	9
120	перед нами	3	8
121	роль в	2	8
122	что он	11	8
123	одной из	7	8
124	и все	6	8
125	одного из	3	8
126	хотя и	5	8
127	в основе	3	8
128	дело не	3	8
129	если бы	4	8
130	не является	3	8
131	времени и	4	8
132	как известно	3	8
133	с ним	4	8
134	во времени	3	7
135	вплоть до	2	7
136	в литературе	4	7
137	в соответствии	7	7
138	и тем	2	7
139	в году	22	7
140	по природе	6	7
141	место в	6	7
142	на его	4	7
143	в ее	3	7
144	все это	14	7
145	который в	4	7
146	во всяком	2	7
147	одна из	5	7
148	по преимуществу	4	7
149	как будто	5	7
150	героя и	4	7
151	в глазах	2	7
152	у него	11	7
153	личности и	2	7
154	приводит к	4	7
155	со своим	2	7
156	в одном	3	7
157	таком случае	2	7
158	всяком случае	2	7
159	времени в	13	7
160	в таком	4	7
161	в финале	4	7
162	жизни но	2	7
163	не мог	3	7
164	его в	2	6
165	если в	3	6
166	что не	5	6
167	с другим	3	6
168	ли не	3	6
169	казалось бы	4	6
170	не знает	2	6
171	в нем	4	6
172	самим собой	4	6
173	что на	3	6
174	не будет	2	6
175	или в	2	6
176	он был	2	6
177	хотя бы	5	6
178	то в	2	6
179	его как	2	6
180	превращается в	2	6
181	тем не	2	6
182	русской литературе	4	6
183	и более	2	6
184	восходит к	2	6
185	из них	4	6
186	уже в	5	6
187	соответствии с	7	6
188	вовсе не	5	6
189	и потому	4	5
190	не могут	2	5
191	жизни в	9	5
192	на смену	2	5
193	так что	4	5
194	самом деле	4	5
195	в романе	24	5
196	в один	3	5
197	в искусстве	3	5
198	а с	4	5
199	может служить	2	5
200	не так	5	5
201	а а	4	5
202	а затем	5	5
203	и по	5	5
204	и до	2	5
205	все эти	3	5
206	мы не	3	5
207	человека к	2	5
208	в первом	3	5
209	тот же	3	5
210	я не	5	5
211	и здесь	2	5
212	к этому	4	5
213	по выражению	2	5
214	и он	4	5
215	с ее	3	5
216	мысль о	3	5
217	мира в	2	5
218	и их	2	5
219	в этих	2	5
220	этого персонажа	2	5
221	такой же	4	5
222	ведет к	3	5
223	тем что	2	5
224	ни в	2	5
225	в котором	8	5
226	главного героя	3	5
227	еще в	3	5
228	к жизни	4	5
229	его к	2	4
230	вслед за	2	4
231	в каждом	4	4
232	как к	2	4
233	одним из	6	4
234	нам представляется	2	4
235	а как	2	4
236	как у	3	4
237	только на	2	4
238	была бы	2	4
239	известном смысле	2	4
240	его и	2	4
241	о нем	2	4
242	и о	2	4
243	более того	2	4
244	указывает на	2	4
245	и что	2	4
246	потому что	10	4
247	свидетельствует о	2	4
248	связь с	3	4
249	в чем	4	4
250	в известном	2	4
251	с ними	3	4
252	воли и	3	4
253	и тогда	2	4
254	жизнь и	2	4
255	и т	14	4
256	сказать что	3	4
257	и от	8	4
258	с этим	2	4
259	но это	10	4
260	не все	2	4
261	что она	5	4
262	в которой	5	4
263	представляют собой	2	4
264	в двух	2	4
265	об этом	4	4
266	на него	2	4
267	человека в	9	4
268	ее в	3	4
269	мы уже	2	4
270	в своих	8	4
271	и если	3	4
272	в диалоге	2	4
273	в устах	2	4
274	подхода к	3	4
275	не было	3	4
276	или даже	2	4
277	это и	4	4
278	и есть	2	4
279	первой части	7	4
280	на самом	3	3
281	в таких	2	3
282	означает что	2	3
283	о жизни	4	3
284	от него	2	3
285	когда же	2	3
286	человека и	6	3
287	и далее	4	3
288	не был	4	3
289	он же	2	3
290	в виду	3	3
291	которого он	2	3
292	героя в	4	3
293	т п	4	3
294	в момент	5	3
295	в такой	2	3
296	на первом	2	3
297	же не	2	3
298	она не	2	3
299	мы узнаем	3	3
300	гораздо более	2	3
301	в творческом	4	3
302	в ней	2	3
303	у пушкина	5	3
304	быть может	3	3
305	войне и	2	3
306	между собой	2	3
307	этой связи	2	3
308	что все	4	3
309	свободу от	2	3
310	связи с	2	3
311	и я	2	3
312	в связи	2	3
313	что они	3	3
314	во время	2	3
315	к миру	2	3
316	например в	3	3
317	авторской позиции	3	3
318	х годов	3	3
319	так как	6	3
320	так сказать	4	3
321	дело в	4	3
322	до этого	2	3
323	о котором	2	3
324	о своих	2	3
325	что как	2	3
326	неотделима от	2	3
327	только для	2	3
328	и наконец	3	3
329	в жизни	3	3
330	с этой	4	3
331	себе не	3	3
332	где он	2	3
