N	2gram	Medvedev_V	PoTuStor
1	может быть	23	17
2	и в	26	16
3	в этом	29	9
4	таким образом	32	9
5	прежде всего	13	9
6	точки зрения	3	8
7	не может	17	8
8	и его	6	8
9	сказать что	5	7
10	не только	26	7
11	с его	4	7
12	и к	3	6
13	для него	9	6
14	все эти	8	5
15	что такое	2	5
16	как бы	5	5
17	только для	2	5
18	еще не	2	5
19	в чем	2	5
20	все это	13	4
21	его в	3	4
22	в его	15	4
23	и ее	4	4
24	но и	10	4
25	и не	20	4
26	но в	2	4
27	в этой	4	4
28	и наконец	2	4
29	и их	3	4
30	и может	2	4
31	только в	8	4
32	в нем	7	4
33	хотя бы	20	4
34	с ними	4	4
35	можно сказать	4	4
36	так и	6	4
37	отнюдь не	4	4
38	и даже	2	4
39	художественного творчества	19	4
40	что в	11	3
41	даже не	2	3
42	представлений и	2	3
43	жизни и	3	3
44	и художественного	3	3
45	и как	3	3
46	и потому	2	3
47	а в	3	3
48	в том	15	3
49	их в	7	3
50	никаких оснований	2	3
51	в общем	2	3
52	с другими	2	3
53	между ними	3	3
54	в области	2	3
55	до сих	2	3
56	в основном	7	3
57	крайней мере	2	3
58	и есть	5	3
59	во время	4	3
60	в конечном	7	3
61	как это	12	3
62	то что	7	3
63	и бессознательное	2	3
64	во всех	7	3
65	по крайней	2	3
66	мира и	3	3
67	могут быть	8	3
68	сих пор	2	3
69	на язык	2	3
70	всяком случае	2	3
71	вместе с	8	3
72	в одном	5	3
73	и др	10	3
74	на этом	2	3
75	мы знаем	3	3
76	во всяком	2	3
77	том что	8	3
78	один из	6	2
79	никогда не	5	2
80	можно определить	2	2
81	что мы	2	2
82	с нею	2	2
83	в них	5	2
84	определить как	2	2
85	в жизни	2	2
86	к ним	2	2
87	же как	2	2
88	и для	2	2
89	и этот	2	2
90	что не	3	2
91	и по	3	2
92	что и	3	2
93	не менее	2	2
94	ее в	4	2
95	нет никаких	2	2
96	во сне	21	2
97	сновидения и	2	2
98	было бы	8	2
99	не могут	10	2
100	сводится к	3	2
101	о том	10	2
102	то же	10	2
103	они не	2	2
104	с этим	3	2
105	как и	7	2
106	что он	4	2
107	так же	3	2
108	говорить о	2	2
109	образов и	4	2
110	в науке	2	2
111	в своей	4	2
112	это делает	3	2
113	из этих	7	2
114	но как	3	2
115	в самом	4	2
116	знаем что	2	2
117	в частности	12	2
118	он не	2	2
119	у него	6	2
120	ту же	2	2
121	между собою	2	2
122	во всей	2	2
123	при всей	2	2
124	всех его	2	2
125	к этому	9	2
126	конечном счете	5	2
127	и образы	3	2
128	нет и	3	2
129	и через	2	2
130	в пределах	5	2
131	что оно	3	2
132	момент в	3	2
133	всех других	3	2
134	только то	2	2
135	на основе	5	2
