N	2gram	Bakhtin_KF	Russkaja
1	не может	29	22
2	и не	28	19
3	в том	6	17
4	в этом	15	17
5	и в	28	14
6	то что	7	13
7	точки зрения	13	11
8	то же	5	11
9	в то	3	10
10	но и	9	10
11	же время	2	10
12	не только	5	9
13	том что	4	9
14	может быть	45	9
15	в себе	21	9
16	с точки	10	9
17	того чтобы	2	8
18	прежде всего	4	8
19	о том	3	7
20	в данном	2	7
21	не будет	2	7
22	отнюдь не	7	7
23	ни к	2	7
24	самом деле	3	7
25	с тем	2	6
26	на самом	3	6
27	и для	10	6
28	к которой	2	6
29	в своих	4	6
30	если бы	8	6
31	все это	10	6
32	для того	3	6
33	что он	2	6
34	в своем	17	6
35	для него	13	6
36	вопрос о	2	5
37	или иной	2	5
38	а в	5	5
39	было бы	8	5
40	хотя бы	5	5
41	из которых	2	5
42	и на	3	5
43	потому что	2	5
44	лишь при	3	5
45	при этом	4	5
46	в нем	32	5
47	жизни в	5	5
48	в своей	11	5
49	себя и	5	5
50	конечно не	7	5
51	только в	18	5
52	никогда не	5	5
53	и только	7	5
54	он не	6	5
55	между тем	4	5
56	во всех	11	5
57	и то	2	4
58	что в	4	4
59	но не	12	4
60	его в	5	4
61	все же	5	4
62	себя в	8	4
63	не в	13	4
64	как и	5	4
65	ли это	2	4
66	в мире	8	4
67	как бы	9	4
68	а лишь	3	4
69	тогда когда	3	4
70	и т.д	4	4
71	которой он	2	4
72	жизни и	8	4
73	в его	42	4
74	со стороны	8	4
75	в их	9	4
76	то ни	2	4
77	отказаться от	2	4
78	во всем	7	4
79	в этой	2	4
80	себе и	3	4
81	от того	3	4
82	бы то	2	4
83	в корне	3	4
84	все они	2	3
85	для этого	2	3
86	и этот	3	3
87	что это	4	3
88	в сознании	2	3
89	именно в	5	3
90	ни одна	2	3
91	должно быть	6	3
92	не есть	22	3
93	всех этих	3	3
94	и потому	2	3
95	при условии	2	3
96	в другом	3	3
97	и как	2	3
98	можно ли	2	3
99	может не	2	3
100	что и	7	3
101	сводится к	2	3
102	лишь в	8	3
103	говорить о	2	3
104	той или	3	3
105	еще не	5	3
106	в виде	2	3
107	того что	3	3
108	в качестве	2	3
109	не было	8	3
110	и ни	3	3
111	тем что	3	3
112	а следовательно	3	3
113	не о	2	2
114	что только	2	2
115	тем самым	4	2
116	были бы	2	2
117	или иного	3	2
118	для себя	7	2
119	значило бы	2	2
120	тому что	2	2
121	к нему	12	2
122	она не	2	2
123	только с	3	2
124	но в	5	2
125	того или	3	2
126	ни в	12	2
127	в котором	24	2
128	для нее	9	2
129	людей и	3	2
130	в ней	3	2
131	в единое	2	2
132	уже не	7	2
133	по отношению	26	2
134	но для	3	2
135	деятельности и	2	2
136	отношении к	2	2
137	во главе	2	2
138	если не	2	2
139	а не	17	2
140	и тот	3	2
141	для нас	4	2
142	себя как	2	2
143	по себе	2	2
144	от него	3	2
145	нисколько не	4	2
146	место в	6	2
147	к себе	2	2
148	от своей	5	2
149	и тем	3	2
150	к чему	3	2
151	но это	6	2
152	это только	2	2
153	все эти	11	2
154	совершенно не	7	2
155	а с	2	2
156	и есть	10	2
157	именно на	2	2
158	должна быть	4	2
159	его и	2	2
160	в области	2	2
161	это есть	2	2
162	вся эта	2	2
163	с ним	5	2
164	быть и	3	2
165	не должен	3	2
166	культуры и	5	2
167	будет ли	2	2
168	ясно что	3	2
