N	3gram	Tiupa_Vved	Formalny
1	не может быть	6	29
2	на самом деле	4	21
3	то же время	4	20
4	в то же	5	20
5	во всяком случае	3	16
6	по отношению к	11	12
7	в самом деле	2	11
8	в этом отношении	7	11
9	с другой стороны	2	9
10	как мы видели	3	8
11	с одной стороны	9	8
12	более или менее	2	7
13	в свою очередь	5	7
14	в высшей степени	2	7
15	в данном случае	15	6
16	в том что	10	6
17	в значительной степени	2	5
18	одной стороны и	3	5
19	в отличие от	11	5
20	не входит в	2	4
21	тем не менее	3	4
22	подобно тому как	3	4
23	не в том	3	4
24	но и в	3	4
25	по аналогии с	2	4
26	то же самое	2	3
27	что же касается	2	3
28	с установкой на	2	3
29	не сводится к	6	3
30	в противном случае	2	3
31	при этом не	2	3
32	в том чтобы	2	3
33	но при этом	3	2
34	в той мере	2	2
35	не было и	2	2
36	как и в	2	2
37	той мере в	2	2
38	так и не	4	2
39	друг от друга	2	2
40	не только в	3	2
41	и все же	6	2
42	и тем самым	2	2
43	мере в какой	2	2
