N	2gram	Vinokur_Ku	slovoVRo
1	и в	44	92
2	и т	62	82
3	т п	39	72
4	в нем	7	59
5	может быть	25	59
6	и его	8	59
7	и не	23	51
8	не только	29	44
9	не может	13	41
10	но и	13	39
11	до конца	3	37
12	в этом	31	36
13	а не	17	34
14	так и	10	30
15	точки зрения	25	30
16	могут быть	5	29
17	языка и	16	29
18	в пределах	8	29
19	в его	16	27
20	слова в	7	26
21	все это	10	25
22	языка в	14	25
23	слово в	2	24
24	слова и	8	24
25	как бы	11	24
26	то же	12	23
27	и на	8	22
28	не в	18	21
29	в сущности	11	21
30	как в	6	21
31	вовсе не	18	21
32	в то	4	20
33	прежде всего	14	19
34	как мы	2	19
35	или иной	3	18
36	как и	3	18
37	же время	4	18
38	с ним	5	18
39	все же	17	17
40	оно не	5	17
41	все эти	17	17
42	в истории	3	17
43	и даже	5	17
44	в большинстве	3	17
45	таким образом	17	17
46	к своему	2	16
47	отличие от	3	16
48	при этом	6	16
49	в них	10	16
50	но в	11	16
51	там где	7	15
52	и с	11	15
53	в той	6	15
54	с точки	16	15
55	в отличие	3	14
56	узком смысле	2	14
57	в узком	3	14
58	так сказать	5	14
59	только в	15	14
60	это не	13	13
61	и следовательно	2	13
62	рядом с	7	13
63	с его	4	13
64	в особенности	6	13
65	и для	3	13
66	с другой	14	13
67	на фоне	3	13
68	в слове	3	13
69	никогда не	2	12
70	в отношении	2	12
71	и потому	6	12
72	отношение к	2	12
73	а в	7	12
74	или в	5	12
75	во всяком	8	12
76	еще не	10	12
77	один из	8	11
78	языка как	7	11
79	большинстве случаев	3	11
80	на его	3	11
81	с ними	6	11
82	одной стороны	2	11
83	слова как	5	11
84	в этих	5	11
85	язык в	7	11
86	с одной	3	11
87	для него	2	11
88	в своем	4	10
89	и их	2	10
90	в том	47	10
91	и все	4	10
92	в себе	4	10
93	всех этих	4	10
94	т д	21	10
95	лишь в	6	10
96	в языке	16	10
97	далеко не	2	10
98	уже не	13	10
99	и от	2	9
100	одним из	2	9
101	или менее	3	9
102	более того	2	9
103	более или	3	9
104	в их	3	9
105	в своей	4	9
106	этом случае	4	9
107	сказать что	5	9
108	так как	16	9
109	но не	11	9
110	в смысле	2	9
111	на почве	2	9
112	конечно не	3	9
113	он не	4	9
114	язык не	2	8
115	не могут	5	8
116	свой язык	4	8
117	п в	3	8
118	в зависимости	7	8
119	в ней	6	8
120	языка но	3	8
121	не на	4	8
122	с этим	6	8
123	зависимости от	9	8
124	в самом	20	8
125	для нас	6	8
126	всяком случае	8	8
127	перед нами	4	7
128	том что	30	7
129	о слове	2	7
130	язык как	9	7
131	по преимуществу	3	7
132	о нем	2	7
133	того же	6	7
134	ту же	6	7
135	но здесь	2	7
136	в целом	5	7
137	связи с	8	7
138	например в	5	7
139	у него	3	7
140	смысла и	2	7
141	здесь не	5	7
142	но все	5	7
143	также и	7	7
144	связанные с	3	7
145	не было	6	7
146	в таком	3	7
147	кроме того	2	7
148	же и	4	7
149	даже в	4	6
150	ничего не	6	6
151	которые в	2	6
152	как к	2	6
153	роль в	6	6
154	на этом	4	6
155	точку зрения	2	6
156	бы и	6	6
157	языка то	3	6
158	а также	3	6
159	xix века	5	6
160	что в	25	6
161	ни в	3	6
162	в контексте	2	6
163	дело с	2	6
164	большей или	2	6
165	или меньшей	2	6
166	в качестве	12	6
167	можно сказать	6	6
168	другой стороны	12	6
169	говорить о	5	6
170	и там	2	6
171	и здесь	8	6
172	хотя бы	19	6
173	конечно и	3	6
174	к языку	6	6
175	связан с	2	6
176	именно в	7	6
177	в свою	4	6
178	по себе	10	6
179	в одном	4	6
180	слов и	2	6
181	по своим	2	6
182	между тем	11	6
183	языка не	5	5
184	слова не	2	5
185	в каждом	3	5
186	не как	2	5
187	меньшей степени	2	5
188	слова с	2	5
189	не знает	4	5
190	не менее	12	5
191	но оно	2	5
192	отношению к	9	5
193	и по	4	5
194	почти всегда	3	5
195	должен быть	8	5
196	хотя и	7	5
197	для этого	6	5
198	в данном	8	5
199	и при	3	5
200	по отношению	9	5
201	с их	3	5
202	в результате	8	5
203	связанных с	2	5
204	и может	3	5
205	этом отношении	8	5
206	не является	2	5
207	для того	23	5
208	должна быть	6	5
209	и более	3	5
210	не с	4	5
211	как такового	2	5
212	они не	4	5
213	речи в	7	5
214	о том	10	5
215	той же	5	5
216	уже в	5	5
217	или даже	2	5
218	данный момент	3	5
219	в противовес	3	5
220	но он	2	5
221	слов о	2	5
222	со словом	3	5
223	с помощью	12	5
224	вместе с	8	5
225	следовательно и	2	4
226	так же	8	4
227	но как	2	4
228	образом в	3	4
229	а на	3	4
230	в другом	2	4
231	самого языка	4	4
232	что и	5	4
233	ни были	3	4
234	в виду	7	4
235	что он	7	4
236	он должен	2	4
237	том же	3	4
238	не всегда	4	4
239	эти категории	2	4
240	однако в	2	4
241	здесь как	3	4
242	свою очередь	4	4
243	в частности	6	4
244	связано с	3	4
245	в атмосфере	2	4
246	того что	11	4
247	может иметь	3	4
248	мы видели	3	4
249	до сих	5	4
250	речи и	8	4
251	даже и	5	4
252	так в	2	4
253	языка это	5	4
254	в чем	2	4
255	что оно	6	4
256	тогда когда	7	4
257	языку как	4	4
258	не столько	2	4
259	с языком	2	4
260	того чтобы	25	4
261	несколько слов	3	4
262	всегда в	2	4
263	из одного	3	4
264	же как	3	4
265	те или	2	4
266	это слово	7	4
267	или иные	2	4
268	в прямой	2	4
269	только и	3	4
270	характер и	2	4
271	но это	4	4
272	дело не	4	4
273	в которой	7	4
274	и как	3	4
275	если бы	21	4
276	вообще не	2	4
277	языковой системы	2	4
278	с этой	4	4
279	и о	3	4
280	сих пор	5	4
281	быть только	3	4
282	к тому	8	4
283	слова на	2	4
284	выражение в	4	4
285	из них	4	4
286	и уже	2	4
287	как только	2	4
288	отношения к	2	4
289	в себя	2	4
290	по существу	9	4
291	в большей	2	4
292	как раз	10	4
293	языка так	2	4
294	в системе	3	4
295	данном случае	2	3
296	в широком	2	3
297	в иных	3	3
298	языке как	5	3
299	нисколько не	6	3
300	нуждается в	5	3
301	его так	2	3
302	еще раз	2	3
303	в духе	3	3
304	не был	2	3
305	в одно	2	3
306	в свое	4	3
307	как это	6	3
308	может и	2	3
309	и где	2	3
310	в такой	2	3
311	в разных	2	3
312	тому что	3	3
313	не приходится	2	3
314	на том	4	3
315	в более	2	3
316	широком смысле	5	3
317	и без	2	3
318	и социальной	2	3
319	к слову	2	3
320	смысле слова	3	3
321	на все	3	3
322	переходит в	2	3
323	было бы	28	3
324	в первом	3	3
325	этого слова	8	3
326	ведь и	2	3
327	выходит за	2	3
328	свое выражение	2	3
329	и то	7	3
330	или иного	5	3
331	к этому	4	3
332	того или	6	3
333	языка если	2	3
334	из этих	5	3
335	однако и	2	3
336	в собственном	2	3
337	от этого	4	3
338	не все	4	3
339	дело в	2	3
340	должно быть	6	3
341	это было	2	3
342	отличается от	2	3
343	речи но	2	3
344	борьбы с	2	3
345	свой предмет	2	3
346	но уже	6	3
347	тем что	9	3
348	в связи	4	3
349	данном языке	2	3
