N	2gram	Vygotskiy_	formyVre
1	и в	47	148
2	в этом	47	73
3	в нем	6	51
4	прежде всего	9	46
5	и не	27	37
6	в его	7	36
7	и его	14	36
8	вовсе не	3	35
9	но и	19	33
10	то же	16	32
11	не только	36	32
12	но в	9	31
13	так и	8	29
14	может быть	20	27
15	не в	7	26
16	как мы	24	26
17	как и	19	25
18	как бы	13	25
19	мы уже	5	24
20	точки зрения	39	24
21	в то	10	23
22	только в	24	23
23	то что	40	22
24	в том	38	22
25	все эти	7	21
26	связи с	4	21
27	во всех	9	21
28	в основном	4	19
29	в своем	3	19
30	и для	5	19
31	и на	4	19
32	у него	2	18
33	и все	5	18
34	по существу	2	18
35	еще не	5	18
36	таким образом	38	18
37	с этим	5	17
38	при этом	4	17
39	так как	25	17
40	в пределах	3	17
41	все же	7	16
42	того же	7	16
43	и во	5	16
44	в основе	5	16
45	не может	23	16
46	и их	7	16
47	никогда не	7	15
48	в разных	6	15
49	в них	3	15
50	лишь в	3	15
51	в одном	4	15
52	с точки	31	15
53	вместе с	19	15
54	так же	26	14
55	все это	5	14
56	и как	7	14
57	в конце	5	14
58	и с	5	14
59	как раз	6	14
60	а не	7	14
61	в их	4	13
62	в частности	4	13
63	а в	3	13
64	с другом	6	13
65	здесь в	2	13
66	того чтобы	26	13
67	во время	2	13
68	друг с	6	13
69	для того	24	13
70	как в	7	13
71	в котором	6	13
72	в самом	15	13
73	с ним	5	13
74	ничего не	2	12
75	отнюдь не	2	12
76	значение и	2	12
77	время в	3	12
78	и до	3	12
79	конечно не	2	12
80	и наконец	4	12
81	но не	13	12
82	потому что	26	12
83	он не	5	12
84	что в	23	12
85	его в	7	11
86	между ними	8	11
87	в ней	5	11
88	хотя и	4	11
89	ни в	3	11
90	из них	2	11
91	уже в	3	11
92	в ее	7	10
93	сих пор	6	10
94	также и	2	10
95	входит в	3	10
96	в большинстве	2	10
97	и того	3	10
98	уже говорили	2	10
99	на основе	5	10
100	до сих	6	10
101	могут быть	7	9
102	одного и	3	9
103	и других	5	9
104	всего в	2	9
105	на этой	7	9
106	в других	2	9
107	и следовательно	8	9
108	наряду с	2	9
109	том что	28	9
110	должно быть	3	9
111	и даже	3	9
112	та же	2	9
113	и это	2	9
114	с другой	7	9
115	для него	6	9
116	но все	2	9
117	есть в	5	9
118	в самой	3	9
119	их в	2	9
120	оно не	3	9
121	отношения к	5	9
122	до конца	8	8
123	это не	6	8
124	или иной	2	8
125	ступени развития	7	8
126	для себя	24	8
127	и потому	3	8
128	к тому	13	8
129	отношение к	8	8
130	том числе	2	8
131	в целом	7	8
132	большинстве случаев	2	8
133	один из	3	8
134	что и	4	8
135	во всяком	2	8
136	здесь мы	2	8
137	и то	10	8
138	время как	7	8
139	но эти	2	8
140	в результате	3	8
141	в этот	3	8
142	и по	6	8
143	если бы	8	8
144	в этих	2	8
145	со всеми	2	8
146	отношению к	9	8
147	с одной	7	8
148	значение в	3	8
149	связанные с	3	8
150	рядом с	2	8
151	и к	11	8
152	в виду	5	8
153	на фоне	3	8
154	для всех	2	7
155	в процессе	12	7
156	в себе	14	7
157	связанных с	2	7
158	за счет	4	7
159	для других	15	7
160	том же	7	7
161	у них	2	7
162	отличие от	4	7
163	не знает	3	7
164	того что	27	7
165	между собой	15	7
166	в той	7	7
167	было бы	12	7
168	себя и	2	7
169	например в	5	7
170	имеет место	4	7
171	к этому	2	7
172	из этих	6	7
173	и он	4	7
174	в которой	16	7
175	с ее	2	7
176	этом отношении	7	7
177	не могло	3	7
178	ее в	11	7
179	в отличие	4	7
180	то время	8	7
181	в себя	4	7
182	но он	3	7
183	в отношении	9	6
184	не могут	9	6
185	и ее	3	6
186	есть не	3	6
187	но эта	2	6
188	здесь как	2	6
189	друг от	3	6
190	одной из	4	6
191	с тем	8	6
192	более того	2	6
193	ту же	4	6
194	одной стороны	7	6
195	между двумя	5	6
196	мы видим	10	6
197	в качестве	9	6
198	во всей	3	6
199	входят в	2	6
200	по вертикали	3	6
201	сказать что	18	6
202	только и	5	6
203	в начале	6	6
204	за пределы	2	6
205	мы не	10	6
206	мы можем	7	6
207	мы находим	3	6
208	и самое	2	6
209	в сущности	16	6
210	не является	4	6
211	нет и	4	6
212	о том	5	6
213	именно в	9	6
214	все что	7	6
215	в которых	3	6
216	от друга	3	6
217	что было	2	6
218	в таком	2	6
219	слова и	10	6
220	в совершенно	3	6
221	и речи	19	6
222	не оставляет	2	6
223	с помощью	18	6
224	стороны и	6	5
225	о чем	8	5
226	и вообще	3	5
227	по своей	12	5
228	понятно что	3	5
229	только на	5	5
230	так что	8	5
231	одно из	6	5
232	от этого	3	5
233	они не	2	5
234	с другими	5	5
235	что все	6	5
236	там где	7	5
237	в ряду	3	5
238	той или	2	5
239	что они	11	5
240	в этой	7	5
241	одно и	3	5
242	и от	6	5
243	числе и	2	5
244	мы имеем	3	5
245	в своей	4	5
246	об этом	4	5
247	в порядке	3	5
248	тем что	14	5
249	всем этим	3	5
250	с этой	5	5
251	не имеет	6	5
252	и является	5	5
253	вообще не	6	5
254	мы встречаем	2	5
255	в смысле	9	5
256	но на	3	5
257	точка зрения	2	5
258	или в	2	5
259	и только	7	5
260	той же	13	5
261	мы и	5	5
262	даже в	2	4
263	перед нами	3	4
264	не для	2	4
265	из того	7	4
266	мы должны	7	4
267	в одной	6	4
268	по себе	5	4
269	по отношению	10	4
270	в другом	3	4
271	которых мы	5	4
272	друг друга	9	4
273	и т.д	4	4
274	и при	2	4
275	что он	13	4
276	и о	4	4
277	между этими	3	4
278	о которых	3	4
279	которыми он	2	4
280	на друга	2	4
281	его от	2	4
282	в чем	5	4
283	что не	2	4
284	другой стороны	3	4
285	вещи и	2	4
286	на его	3	4
287	совсем не	2	4
288	языка и	6	4
289	а затем	2	4
290	принадлежит к	2	4
291	своей собственной	2	4
292	на ней	2	4
293	в данном	7	4
294	включает в	2	4
295	только что	7	4
296	находятся в	2	4
297	у нас	3	4
298	все равно	2	4
299	себе и	2	4
300	друг на	2	4
301	и более	2	4
302	раз в	4	4
303	прежде чем	3	4
304	этом случае	15	4
305	в своих	2	4
306	момент в	3	4
307	как она	6	4
308	несмотря на	2	4
309	к ряду	2	4
310	это и	7	4
311	друг другу	5	4
312	же самое	12	4
313	во всем	4	4
314	в нашем	6	4
315	чем в	5	4
316	и развития	3	3
317	все более	2	3
318	вопрос о	9	3
319	и которые	3	3
320	которые в	5	3
321	его к	2	3
322	но мы	5	3
323	том как	2	3
324	в сферу	3	3
325	есть только	3	3
326	до известной	2	3
327	что здесь	2	3
328	наконец в	3	3
329	связи между	11	3
330	в новом	2	3
331	точку зрения	4	3
332	как это	7	3
333	в другую	3	3
334	самого начала	13	3
335	почти всегда	3	3
336	значение для	2	3
337	по сравнению	23	3
338	тому что	14	3
339	она не	7	3
340	не могла	2	3
341	на одной	2	3
342	в чисто	2	3
343	что на	5	3
344	в определенном	2	3
345	но это	4	3
346	над ними	2	3
347	же как	14	3
348	для развития	3	3
349	из всех	5	3
350	в зависимости	6	3
351	на этом	4	3
352	того и	2	3
353	в центре	2	3
354	известной степени	2	3
355	с самого	13	3
356	в двух	2	3
357	вот почему	3	3
358	очень часто	2	3
359	одна из	2	3
360	с которыми	3	3
361	не могли	5	3
362	бы в	7	3
363	все время	3	3
364	эти особенности	4	3
365	к новой	2	3
366	происходит в	2	3
367	только к	4	3
368	менее всего	3	3
369	это было	2	3
370	к ней	2	3
371	в значительной	3	3
372	по мере	10	3
373	и здесь	5	3
374	целый ряд	6	3
375	к другу	4	3
376	зависимости от	6	3
377	и ничего	2	3
378	и весь	3	3
379	в заключение	2	3
380	совершенно не	2	3
381	как на	8	3
382	его и	2	3
383	которой мы	2	3
384	но только	5	3
385	нас в	4	3
386	что есть	2	3
387	по своему	11	3
388	можно говорить	2	3
389	можно сказать	9	3
390	если мы	6	3
391	в свою	3	3
392	выражение в	6	3
393	что мы	14	3
394	резко и	2	3
395	внимание на	4	3
396	которой он	2	3
397	находится в	3	3
398	друг к	3	3
399	к другому	5	3
400	мы в	3	3
401	и есть	4	3
402	сравнению с	21	3
403	в слове	11	3
404	мы говорили	3	3
405	самых основных	2	3
406	однако не	2	3
407	без всякого	2	3
408	не мог	2	3
409	по самому	2	3
410	тем же	8	3
411	находим в	2	2
412	данном случае	5	2
413	в каком	2	2
414	что их	2	2
415	самим собой	2	2
416	в плане	3	2
417	идет о	3	2
418	действия и	4	2
419	особенности в	2	2
420	случае в	4	2
421	одну из	2	2
422	для всего	2	2
423	если в	6	2
424	само собой	2	2
425	оказывается что	2	2
426	в каждом	3	2
427	и притом	4	2
428	в иной	2	2
429	свою очередь	3	2
430	остановиться на	4	2
431	к более	3	2
432	в наших	8	2
433	язык в	2	2
434	ведь это	2	2
435	в новой	4	2
436	возникает в	3	2
437	начинается с	2	2
438	самом деле	6	2
439	слова но	3	2
440	новой ступени	3	2
441	друга и	2	2
442	и вместе	2	2
443	образом в	5	2
444	связей и	3	2
445	больше и	2	2
446	в зоне	2	2
447	к нему	5	2
448	с необходимостью	2	2
449	а только	2	2
450	они и	2	2
451	была бы	3	2
452	и непосредственно	3	2
453	во втором	5	2
454	отношении к	4	2
455	но как	3	2
456	процесс в	2	2
457	и против	2	2
458	на ее	2	2
459	по этому	4	2
460	своей природе	8	2
461	о его	3	2
462	и всей	3	2
463	связь между	10	2
464	что уже	2	2
465	на котором	4	2
466	значительной мере	2	2
467	до того	2	2
468	из одного	2	2
469	никто не	2	2
470	этого слова	5	2
471	на этих	2	2
472	как для	2	2
473	должны быть	5	2
474	исторического развития	3	2
475	с их	2	2
476	мы видели	10	2
477	имеет в	4	2
478	когда мы	2	2
479	то в	4	2
480	то и	5	2
481	его с	3	2
482	как оно	2	2
483	ступенях развития	2	2
484	необходимо чтобы	2	2
485	и тогда	3	2
486	словом и	10	2
487	этой стадии	2	2
488	которое мы	4	2
489	отличается от	6	2
490	речи в	31	2
491	но этот	2	2
492	и может	2	2
493	как они	2	2
494	как по	5	2
495	для нас	4	2
496	опирается на	2	2
497	нами в	6	2
498	по степени	2	2
499	но если	5	2
500	которые мы	4	2
501	в пределе	3	2
502	моментов в	2	2
503	не можем	4	2
504	к определенному	2	2
505	которого мы	2	2
506	должны были	2	2
507	про себя	2	2
508	что у	4	2
509	с собой	3	2
510	значения в	2	2
511	этот вопрос	2	2
512	но для	2	2
513	мы говорим	2	2
514	тогда когда	12	2
515	еще в	3	2
516	и она	2	2
517	по природе	2	2
518	действительность в	2	2
519	я не	3	2
520	от нее	3	2
521	выражается в	2	2
522	он сам	2	2
523	и том	3	2
524	и особенно	2	2
525	является не	4	2
526	только о	3	2
527	мы остановимся	4	2
528	тому же	2	2
529	если же	2	2
530	представление о	8	2
531	нам в	2	2
532	жить и	2	2
533	ясно что	4	2
