N	2gram	Bakhtin_Pr	TeoriaLi
1	в мире	3	26
2	не только	9	24
3	и в	38	24
4	в частности	2	23
5	то есть	46	22
6	может быть	26	22
7	в том	8	20
8	при этом	5	20
9	и не	42	17
10	а в	6	15
11	но и	9	14
12	так и	5	14
13	а не	5	14
14	в себе	4	14
15	но не	12	13
16	в этом	15	12
17	то же	5	12
18	но в	4	12
19	в его	43	12
20	том что	3	11
21	точки зрения	8	11
22	и его	16	11
23	по отношению	21	10
24	лишь в	2	10
25	отношению к	19	10
26	как это	2	10
27	что в	7	10
28	в данном	4	9
29	не в	7	9
30	в искусстве	12	9
31	с другой	7	9
32	в то	4	9
33	только в	13	9
34	не может	27	8
35	как бы	22	8
36	в своей	7	8
37	же время	3	8
38	или иной	2	7
39	в своем	5	7
40	мы имеем	2	7
41	себя в	2	7
42	отношение к	10	7
43	в области	11	7
44	отличие от	5	7
45	в самом	7	7
46	в отличие	5	7
47	место в	8	7
48	в нем	15	7
49	тем самым	4	6
50	или иного	2	6
51	того или	2	6
52	другой стороны	4	6
53	конечном счете	4	6
54	в конечном	4	6
55	эстетическая деятельность	2	6
56	не менее	4	6
57	еще не	7	6
58	то что	8	6
59	художественного впечатления	2	6
60	как и	7	6
61	с другими	3	6
62	приводит к	3	6
63	между ними	4	6
64	в ее	4	6
65	в основе	5	6
66	с его	2	6
67	данном случае	4	5
68	художественного произведения	11	5
69	как в	4	5
70	как к	2	5
71	ни в	11	5
72	в виду	4	5
73	и тем	3	5
74	не является	3	5
75	для того	2	5
76	и о	5	5
77	в пределах	6	5
78	искусства в	2	5
79	на почве	3	5
80	между тем	7	5
81	могут быть	5	5
82	в художественном	20	5
83	того чтобы	2	5
84	того что	2	5
85	он не	3	5
86	композиционных форм	3	5
87	в себя	2	5
88	можно сказать	2	5
89	художественного творчества	12	5
90	никогда не	5	4
91	сказать что	4	4
92	его в	9	4
93	это не	5	4
94	и ее	2	4
95	искусства но	4	4
96	в форме	4	4
97	в другом	2	4
98	художественного восприятия	2	4
99	в их	10	4
100	в этих	2	4
101	что он	2	4
102	эстетический объект	37	4
103	далеко не	5	4
104	а только	2	4
105	слова в	7	4
106	входит в	8	4
107	в свою	2	4
108	в целом	3	4
109	совпадает с	2	4
110	и что	2	4
111	языка в	3	4
112	говорить о	3	4
113	не на	5	4
114	не следует	2	4
115	отношения к	6	4
116	в нашем	4	4
117	не знает	3	4
118	в слове	3	4
119	хотя и	3	4
120	направленной на	4	3
121	эстетического объекта	37	3
122	и потому	4	3
123	во всех	11	3
124	одной стороны	3	3
125	не все	2	3
126	и для	11	3
127	тем не	3	3
128	и как	8	3
129	если бы	3	3
130	к которому	4	3
131	в лирике	2	3
132	или в	2	3
133	он должен	2	3
134	художественное произведение	8	3
135	в культуре	2	3
136	в таком	3	3
137	эстетического созерцания	3	3
138	объекта и	7	3
139	ни к	2	3
140	была бы	2	3
141	в романе	4	3
142	с одной	3	3
143	и др	8	3
144	не с	4	3
145	в эстетический	12	3
146	искусства и	3	3
147	в произведении	4	3
148	это отношение	2	3
149	столь же	2	3
150	прежде всего	13	3
151	к его	2	3
152	к действительности	3	3
153	и к	3	3
154	к содержанию	17	3
155	этом смысле	3	3
156	отнюдь не	19	3
157	с точки	6	3
158	все эти	5	3
159	той или	2	3
160	в равной	2	3
161	связи с	2	3
162	в связи	2	3
163	таким образом	10	3
164	известной степени	4	3
165	например в	3	3
166	имеет место	5	3
167	вовсе не	2	3
168	но она	2	2
169	не могли	2	2
170	не могут	2	2
171	слова не	3	2
172	но как	2	2
173	в коем	2	2
174	не всегда	6	2
175	дело в	2	2
176	за пределы	12	2
177	эстетической деятельности	2	2
178	искусства как	2	2
179	композиционная форма	4	2
180	отличается от	2	2
181	и даже	3	2
182	и здесь	2	2
183	противном случае	3	2
184	и прежде	5	2
185	в значительной	2	2
186	ни было	3	2
187	у нас	2	2
188	к своему	2	2
189	и другие	2	2
190	вследствие этого	3	2
191	самом деле	6	2
192	может и	4	2
193	в чем	2	2
194	в какой	2	2
195	на фоне	3	2
196	здесь мы	2	2
197	самим собою	2	2
198	одной из	3	2
199	для понимания	2	2
200	к нему	10	2
201	и это	3	2
202	от всех	4	2
203	о том	4	2
204	в самой	2	2
205	не вполне	2	2
206	оно не	3	2
207	должен быть	2	2
208	коем случае	2	2
209	и на	3	2
210	не входит	10	2
211	об искусстве	3	2
212	на этом	2	2
213	к чему	2	2
214	из которых	2	2
215	в них	5	2
216	в поэзии	9	2
217	материала в	10	2
218	несмотря на	3	2
219	здесь не	4	2
220	на мир	2	2
221	мы в	3	2
222	что и	2	2
223	с ними	4	2
224	в противном	3	2
225	то ни	3	2
226	имеет дело	9	2
227	себя и	3	2
228	все это	3	2
229	в большинстве	5	2
230	случае не	2	2
231	бы то	3	2
232	я не	2	2
233	имеем дело	3	2
234	основе своей	3	2
235	на основе	6	2
