N	2gram	Berdyaev_N	Istorich
1	и в	16	181
2	может быть	7	115
3	не только	5	114
4	что в	9	90
5	но и	3	85
6	в этом	7	81
7	то что	4	73
8	вместе с	2	71
9	и не	11	67
10	еще не	3	63
11	не может	16	61
12	так же	2	57
13	никогда не	6	56
14	в том	8	53
15	том что	2	53
16	с другой	3	52
17	а в	2	52
18	потому что	4	52
19	и что	2	51
20	о том	4	48
21	а не	17	48
22	не в	6	47
23	другой стороны	2	46
24	но в	2	44
25	и пр	3	44
26	это не	4	43
27	в нем	5	42
28	как в	3	42
29	и на	2	38
30	так и	2	37
31	он не	8	37
32	уже не	2	37
33	как и	7	37
34	с тем	3	35
35	все эти	2	35
36	мы не	2	35
37	но не	2	34
38	у него	2	34
39	же как	2	33
40	прежде всего	4	31
41	с этим	2	30
42	с одной	2	30
43	одной стороны	2	29
44	но это	6	29
45	что она	2	28
46	и с	2	28
47	могут быть	2	27
48	в ней	5	26
49	как это	2	26
50	вопрос о	3	25
51	не менее	4	24
52	все это	5	23
53	и это	2	23
54	сказать что	3	21
55	к тому	3	21
56	она не	3	20
57	одна из	2	20
58	наряду с	3	20
59	в то	2	18
60	по существу	2	17
61	в них	4	17
62	связана с	2	16
63	и все	4	16
64	во всех	3	16
65	в своей	3	15
66	и даже	2	15
67	как будто	2	15
68	должна быть	3	14
69	можно было	2	14
70	и есть	10	14
71	и для	4	13
72	и от	2	13
73	время как	2	13
74	не имеет	4	13
75	в себе	2	13
76	хотя бы	2	12
77	не знает	6	12
78	должно было	2	11
79	хотя и	2	11
80	я не	2	11
81	такой же	2	11
82	в ее	3	10
83	к ним	3	10
84	связаны с	2	10
85	ни в	6	10
86	не было	4	10
87	себя в	2	10
88	и к	5	10
89	в истории	3	9
90	в основе	3	9
91	это и	2	9
92	зависит от	2	9
93	но для	2	9
94	жизни и	8	9
95	не будет	7	9
96	том чтобы	2	9
97	вот почему	2	9
98	с его	6	9
99	не имеют	2	8
100	должен быть	5	8
101	роль в	2	8
102	для этого	2	8
103	что такое	3	8
104	тому как	3	8
105	в жизни	5	8
106	подобно тому	3	8
107	но она	2	8
108	и потому	4	8
109	значит что	4	8
110	конечно не	3	8
111	большую роль	4	7
112	того чтобы	2	7
113	когда мы	2	7
114	ли это	2	7
115	эти формы	3	7
116	думать что	2	7
117	не есть	3	7
118	не знал	2	7
119	равно как	2	6
120	что все	2	6
121	формы и	2	6
122	в русском	2	6
123	не могла	2	6
124	в одну	2	6
125	к жизни	3	6
126	со всех	4	6
127	такого рода	2	5
128	это было	3	5
129	xix века	5	5
130	по своему	4	5
131	мира и	2	5
132	для чего	2	5
133	с ее	5	5
134	не означает	3	5
135	в религии	2	5
136	и мы	4	5
137	всех сторон	4	5
138	можно назвать	2	5
139	все время	2	4
140	все они	2	4
141	люди не	2	4
142	не будут	2	4
143	силы и	2	4
144	не существует	3	4
145	человека и	3	4
146	и формы	2	4
147	который в	2	4
148	и должно	2	4
149	в наше	3	4
150	в свои	2	4
151	как не	8	4
152	ни к	2	4
153	есть в	2	4
154	перейти к	3	4
155	не хотят	2	3
156	не могли	2	3
157	через женщину	2	3
158	еще до	2	3
159	и весь	2	3
160	духа и	3	3
161	и было	2	3
162	совсем не	12	3
163	должно быть	4	3
164	средние века	7	3
165	бога и	3	3
166	центр тяжести	2	3
167	в наши	3	3
168	в эпоху	9	3
169	в средние	3	3
170	хозяйственной жизни	2	2
171	к более	2	2
172	к ее	3	2
173	в новой	7	2
174	стремление к	2	2
175	и начинается	2	2
176	приобщиться к	2	2
177	в центре	2	2
178	лишь в	6	2
179	к богу	2	2
180	но я	2	2
181	помнить что	2	2
182	в прошлом	3	2
183	быть в	2	2
184	мира а	2	2
185	в мире	3	2
186	перестает быть	4	2
187	не к	2	2
188	века и	2	2
189	к новому	7	2
190	истории не	3	2
191	которых не	2	2
192	духа в	2	2
193	место в	2	2
194	вернуться к	2	2
195	стоят на	2	2
196	нет и	2	2
197	не значит	3	2
