N	2gram	Propp_Russ	DiskursI
1	в качестве	5	72
2	а не	3	60
3	может быть	14	56
4	не только	28	49
5	и в	59	49
6	как и	19	47
7	тогда как	4	47
8	при этом	11	46
9	в том	33	44
10	и не	6	44
11	то есть	3	41
12	представляет собой	5	41
13	том что	33	40
14	в этом	18	38
15	состоит в	18	37
16	в частности	2	36
17	но и	20	35
18	своего рода	3	32
19	но не	7	31
20	так и	8	28
21	отличие от	4	28
22	но в	5	28
23	не может	6	27
24	в отличие	4	27
25	как в	10	25
26	еще не	7	23
27	отнюдь не	3	23
28	а также	6	20
29	все же	7	19
30	прежде всего	2	19
31	в нем	3	19
32	далеко не	5	18
33	в данном	7	17
34	то же	6	17
35	точки зрения	3	16
36	только в	4	16
37	в его	3	15
38	то что	10	15
39	о том	14	15
40	это не	14	14
41	не в	2	14
42	не менее	3	14
43	не является	2	14
44	в целом	2	13
45	как бы	18	13
46	данном случае	8	12
47	в своем	3	12
48	и все	4	12
49	в своих	3	12
50	и на	14	12
51	что в	35	11
52	и как	2	11
53	как правило	4	11
54	не было	3	11
55	а в	16	10
56	а с	6	10
57	не столько	3	10
58	в то	3	9
59	в силу	2	9
60	между тем	9	9
61	в них	10	9
62	уже не	9	9
63	еще в	6	9
64	и о	4	8
65	как уже	6	8
66	к тому	4	8
67	потому что	15	8
68	не на	2	8
69	хотя и	3	8
70	если в	3	8
71	в этих	3	8
72	не с	5	8
73	в котором	2	8
74	в одном	4	8
75	из них	12	8
76	перед нами	2	7
77	его в	9	7
78	о чем	7	7
79	могут быть	3	7
80	и ее	3	7
81	приводит к	4	7
82	и для	3	7
83	но это	5	7
84	что и	8	7
85	например в	3	7
86	в этой	4	7
87	к этому	7	7
88	в пределах	2	7
89	и его	2	7
90	таким образом	10	7
91	что он	2	6
92	одно из	6	6
93	именно в	3	6
94	тому как	3	6
95	имеет место	3	6
96	и то	2	6
97	одна из	12	6
98	во всех	6	6
99	в особенности	3	6
100	в которых	8	6
101	с точки	3	6
102	в период	2	6
103	ничего не	4	5
104	в виду	3	5
105	в их	5	5
106	не всегда	4	5
107	свою очередь	2	5
108	и потому	3	5
109	того что	6	5
110	к ним	4	5
111	в прошлом	2	5
112	несмотря на	4	5
113	один из	10	5
114	исходя из	2	5
115	представляют собой	13	5
116	того как	6	5
117	как будто	6	5
118	но она	3	5
119	из этих	6	5
120	переход от	3	5
121	но они	4	5
122	в свою	3	5
123	подобно тому	3	5
124	можно говорить	2	5
125	оно не	2	5
126	следует признать	2	5
127	на этом	6	5
128	говорить о	2	5
129	не к	3	5
130	в ней	3	5
131	тем что	7	5
132	до конца	5	4
133	а на	8	4
134	с той	2	4
135	у них	2	4
136	и др	4	4
137	по своему	2	4
138	как это	11	4
139	и это	2	4
140	только на	4	4
141	ни одна	2	4
142	в году	5	4
143	к жизни	3	4
144	между двумя	2	4
145	и до	3	4
146	и во	2	4
147	что они	8	4
148	по свидетельству	2	4
149	для обозначения	2	4
150	мы имеем	7	4
151	с ней	7	4
152	а к	3	4
153	в равной	2	4
154	этом случае	9	4
155	тем не	3	4
156	связи с	6	4
157	одним из	2	4
158	в какой	3	4
159	или на	11	4
160	есть в	2	4
161	в жизни	2	4
162	в е	2	4
163	будто бы	10	4
164	и к	3	4
165	привело к	2	4
166	к другому	2	4
167	говорит о	3	4
168	не более	2	4
169	или в	7	4
170	с ним	2	4
171	вопрос о	4	3
172	в тех	5	3
173	вплоть до	4	3
174	виду что	2	3
175	в форме	3	3
176	там же	15	3
177	в иных	2	3
178	в области	3	3
179	в одно	2	3
180	как на	2	3
181	они и	2	3
182	она не	4	3
183	об этом	11	3
184	заметить что	3	3
185	что на	5	3
186	на себя	4	3
187	между собой	4	3
188	ней в	2	3
189	них в	2	3
190	для этого	6	3
191	все эти	5	3
192	было бы	3	3
193	мы не	11	3
194	дело не	2	3
195	как мы	11	3
196	и от	2	3
197	или не	2	3
198	тут же	2	3
199	с этим	4	3
200	его как	2	3
201	в которой	3	3
202	к ней	4	3
203	и по	10	3
204	не просто	3	3
205	как не	2	3
206	на первый	3	3
207	и наконец	2	3
208	как у	2	3
209	и более	3	3
210	но все	3	3
211	не имеет	9	3
212	не случайно	2	3
213	их в	7	3
214	когда он	3	3
215	входит в	4	3
216	уже в	2	3
217	к числу	2	3
218	слова в	3	3
219	или даже	3	3
220	место в	2	3
221	в большинстве	2	3
222	собой как	2	3
223	и что	8	3
224	равной степени	2	3
225	вместе с	16	3
226	очевидно что	2	2
227	своему происхождению	2	2
228	как можно	3	2
229	его к	3	2
230	мы должны	3	2
231	этого момента	3	2
232	они были	2	2
233	каждый из	3	2
234	в каждом	2	2
235	должно было	5	2
236	также не	2	2
237	друг друга	3	2
238	за счет	2	2
239	он видел	2	2
240	быть и	3	2
241	ни одно	2	2
242	и при	2	2
243	в основном	4	2
244	с таким	2	2
245	представления о	2	2
246	по существу	7	2
247	в россии	4	2
248	мы видели	3	2
249	так например	7	2
250	е годы	2	2
251	в него	2	2
252	теория не	3	2
253	к нему	3	2
254	только с	2	2
255	в г	6	2
256	собой и	2	2
257	можно предположить	2	2
258	в различных	3	2
259	тех случаях	2	2
260	так в	5	2
261	ответ на	2	2
262	большинстве случаев	2	2
263	же не	2	2
264	иметь в	2	2
265	что с	2	2
266	себя и	2	2
267	все это	12	2
268	который в	2	2
269	этого слова	3	2
270	же как	5	2
271	в честь	5	2
272	интерес к	2	2
273	совпадают с	3	2
274	и и	2	2
275	представление о	5	2
276	некоторые из	2	2
277	в разные	4	2
278	право на	2	2
279	том чтобы	3	2
280	с другими	3	2
281	его с	4	2
282	в круг	3	2
283	должно быть	2	2
284	что она	4	2
285	мы можем	2	2
286	за ним	3	2
287	связаны с	6	2
288	в первый	5	2
289	в xix	13	2
290	чем у	2	2
291	для того	6	2
292	и их	4	2
293	с этой	2	2
294	такой же	3	2
295	состояло в	3	2
296	нас в	2	2
297	случаях когда	2	2
298	не был	3	2
299	на этот	3	2
300	у него	2	2
301	из наиболее	2	2
302	значение в	2	2
303	ее в	7	2
304	на то	2	2
305	и другой	5	2
306	в и	19	2
307	под названием	3	2
308	и с	12	2
309	о них	2	2
310	из которых	2	2
311	в некоторых	11	2
312	по его	2	2
313	он есть	2	2
314	во всем	2	2
315	в различные	2	2
316	в нашем	2	2
317	народного творчества	2	2
318	в лесу	9	2
