N	2gram	Propp_Isto	Marksizm
1	точки зрения	3	69
2	может быть	31	64
3	и в	44	63
4	и не	19	55
5	как бы	4	53
6	не может	10	47
7	и пр	6	42
8	и его	15	41
9	в этом	20	39
10	таким образом	21	38
11	как мы	9	32
12	в пределах	5	31
13	лишь в	2	30
14	не только	17	29
15	в нем	10	28
16	то же	9	28
17	но и	16	27
18	самом деле	2	25
19	связи с	10	25
20	прежде всего	7	24
21	как и	12	24
22	так и	9	23
23	только в	8	23
24	в том	13	22
25	то что	16	22
26	а не	5	22
27	при этом	4	20
28	для него	2	20
29	том что	12	19
30	не в	11	19
31	в его	16	19
32	если бы	5	19
33	но в	7	18
34	в ее	4	18
35	и для	3	18
36	вовсе не	6	18
37	все же	17	17
38	в то	5	16
39	по отношению	2	16
40	и как	5	16
41	что он	29	15
42	в связи	6	15
43	во всех	3	15
44	отношению к	2	15
45	в данном	3	14
46	хотя бы	2	14
47	ничего не	4	13
48	так же	14	13
49	мы не	6	13
50	того чтобы	3	13
51	было бы	2	13
52	в своей	3	13
53	и здесь	12	13
54	что в	18	13
55	а в	9	12
56	того же	3	12
57	в основе	3	12
58	для того	3	12
59	он не	5	12
60	друг друга	5	11
61	как в	11	11
62	и все	4	11
63	к нему	5	11
64	и на	11	11
65	в ней	8	11
66	сих пор	7	11
67	все эти	11	11
68	так как	19	11
69	еще не	16	11
70	и что	13	11
71	мы уже	6	11
72	до сих	7	11
73	никогда не	5	10
74	его в	17	10
75	и потому	2	10
76	в основном	5	10
77	здесь мы	7	10
78	с его	3	10
79	сказать что	2	10
80	одна из	6	10
81	к этому	5	10
82	в своем	3	10
83	совершенно не	2	10
84	с другой	11	10
85	в таком	2	10
86	а как	3	9
87	это не	8	9
88	только на	2	9
89	мы видели	9	9
90	одной из	3	9
91	и это	5	9
92	в истории	7	9
93	что это	8	9
94	не имеет	4	9
95	и более	3	9
96	ни в	2	9
97	перед нами	2	8
98	не как	5	8
99	в форме	5	8
100	или же	6	8
101	мы знаем	12	8
102	с этим	7	8
103	на этой	5	8
104	что не	3	8
105	что и	11	8
106	другой стороны	10	8
107	и даже	4	8
108	мы можем	6	8
109	на то	3	8
110	в свою	3	8
111	и с	8	8
112	не было	2	8
113	у него	7	8
114	ясно что	5	8
115	от него	2	7
116	в формах	2	7
117	того что	3	7
118	по себе	2	7
119	могут быть	9	7
120	там где	11	7
121	с ними	4	7
122	в качестве	13	7
123	в этой	5	7
124	в этих	7	7
125	о том	11	7
126	в котором	2	7
127	той же	2	7
128	вопрос о	5	6
129	мы должны	7	6
130	не имеют	2	6
131	в другом	2	6
132	характерно что	2	6
133	в различных	3	6
134	одной стороны	7	6
135	здесь же	2	6
136	должны быть	2	6
137	все это	4	6
138	должна быть	3	6
139	с другими	4	6
140	из этих	5	6
141	по мере	4	6
142	же в	3	6
143	с одной	7	6
144	между ними	2	6
145	входит в	5	6
146	уже не	14	6
147	этот вопрос	2	6
148	но как	2	5
149	о чем	6	5
150	и у	3	5
151	то мы	3	5
152	и тем	7	5
153	из него	3	5
154	связано с	7	5
155	и вот	4	5
156	то в	2	5
157	в особенности	6	5
158	от этого	6	5
159	не менее	6	5
160	или в	7	5
161	в более	6	5
162	же он	2	5
163	этом случае	13	5
164	себя в	6	5
165	ее в	8	5
166	в целях	3	5
167	она не	7	5
168	формы и	3	5
169	но не	8	5
170	в одном	2	5
171	как на	3	5
172	вместе с	26	5
173	другими словами	4	4
174	не могут	2	4
175	к этим	3	4
176	его к	3	4
177	в одной	5	4
178	как он	6	4
179	в тех	4	4
180	эти два	2	4
181	что здесь	9	4
182	к своему	2	4
183	так что	2	4
184	и к	3	4
185	что все	4	4
186	можно сказать	2	4
187	и действительно	6	4
188	связь с	20	4
189	одного из	3	4
190	и он	9	4
191	в них	3	4
192	к пониманию	2	4
193	между двумя	7	4
194	он был	2	4
195	что они	3	4
196	не будем	6	4
197	относится к	3	4
198	и то	5	4
199	к его	2	4
200	но при	2	4
201	к другой	2	4
202	в которой	4	4
203	что она	3	4
204	переход от	2	4
205	целый ряд	4	4
206	только что	3	4
207	одним из	4	4
208	она и	2	4
209	не хватает	2	4
210	он является	2	4
211	но все	8	4
212	но для	4	4
213	из них	4	4
214	мог бы	2	4
215	уже в	4	4
216	несмотря на	3	4
217	жизни и	4	4
218	в других	4	4
219	из этого	3	4
220	это и	3	4
221	именно на	2	4
222	не дает	2	4
223	тем что	12	4
224	перейдем к	3	4
225	в чужую	2	4
226	даже в	4	3
227	еще и	2	3
228	находятся в	2	3
229	иногда и	4	3
230	к себе	3	3
231	но если	2	3
232	социальной жизни	3	3
233	должен быть	2	3
234	роль в	3	3
235	на пути	2	3
236	у них	2	3
237	тогда когда	3	3
238	и при	3	3
239	в виде	13	3
240	в целом	4	3
241	главным образом	2	3
242	с тем	9	3
243	как это	5	3
244	мы узнаем	2	3
245	они не	5	3
246	все его	2	3
247	потому что	18	3
248	этот случай	7	3
249	том числе	3	3
250	даже и	2	3
251	так в	5	3
252	что оно	4	3
253	на них	2	3
254	и др	6	3
255	мы видим	12	3
256	и по	3	3
257	и тогда	2	3
258	связаны с	3	3
259	они дают	2	3
260	а иногда	2	3
261	но вот	2	3
262	и они	5	3
263	и вообще	3	3
264	числе и	2	3
265	к которым	4	3
266	одно и	2	3
267	оно уже	2	3
268	ли это	2	3
269	в нашей	2	3
270	здесь не	3	3
271	но это	10	3
272	что во	2	3
273	в этот	2	3
274	тем не	6	3
275	друг с	2	3
276	мы увидим	6	3
277	человека в	5	3
278	в последнем	2	3
279	его и	2	3
280	и о	2	3
281	или как	3	3
282	одновременно с	2	3
283	не могло	2	3
284	на нее	3	3
285	на этот	2	3
286	то он	2	3
287	в дальнейшем	6	3
288	также и	2	3
289	со своими	3	3
290	он может	4	3
291	с другом	2	3
292	со стороны	6	3
293	в своих	4	3
294	в русской	8	3
295	когда он	7	3
296	в другой	5	3
297	в которых	4	3
298	а по	3	3
299	приводит к	2	3
300	из которых	7	3
301	еще в	2	3
302	здесь нет	3	3
303	если он	2	3
304	находится в	2	3
305	что эта	2	3
306	и есть	3	3
307	с ним	9	3
308	на все	2	3
309	того как	8	3
310	и других	5	3
311	в нее	7	2
312	он должен	2	2
313	тем самым	2	2
314	ее и	3	2
315	также не	2	2
316	мы пока	2	2
317	его на	5	2
318	так например	3	2
319	в голове	2	2
320	образом в	3	2
321	одну из	5	2
322	его так	2	2
323	после этого	3	2
324	это явление	4	2
325	должно было	3	2
326	с той	2	2
327	мы рассмотрим	4	2
328	есть и	3	2
329	он же	2	2
330	превращаются в	2	2
331	от себя	2	2
332	здесь как	3	2
333	мы здесь	4	2
334	в частности	9	2
335	например у	2	2
336	а с	2	2
337	видели как	2	2
338	мы перейдем	2	2
339	явление в	2	2
340	о нем	3	2
341	от них	2	2
342	к ним	2	2
343	об одном	2	2
344	находит в	3	2
345	одна и	2	2
346	к этой	3	2
347	очень распространен	3	2
348	мира и	2	2
349	между прочим	2	2
350	выражения как	2	2
351	или вообще	2	2
352	они уже	2	2
353	он делает	2	2
354	с переходом	3	2
355	же как	12	2
356	его не	3	2
357	что с	2	2
358	они сами	2	2
359	это значит	2	2
360	никто не	4	2
361	к формам	2	2
362	данном случае	2	2
363	этот момент	2	2
364	к каким	2	2
365	нем и	3	2
366	например в	11	2
367	нет в	2	2
368	переносится в	2	2
369	фигурирует в	3	2
370	всех этих	2	2
