N	3gram	Bakhtin_Fr	Narrotol
1	в том что	6	18
2	не только в	5	13
3	по отношению к	2	11
4	в отличие от	4	11
5	о том что	3	9
6	в то же	5	8
7	той или иной	5	8
8	в этом отношении	5	8
9	то же время	5	8
10	не может быть	5	8
11	можно сказать что	3	6
12	с одной стороны	2	6
13	на самом деле	2	5
14	подобно тому как	2	5
15	для того чтобы	2	5
16	но и в	5	5
17	начало и конец	2	4
18	во всяком случае	2	4
19	к себе самому	2	3
20	так и не	3	3
21	и не может	2	3
22	существенную роль в	3	3
23	с точки зрения	6	3
24	до сих пор	7	3
25	дело в том	2	3
26	но все же	3	2
27	прежде всего на	3	2
28	не входит в	2	2
29	в отрыве от	2	2
30	но и на	2	2
31	и в то	2	2
32	в той или	5	2
