N	3gram	Propp_Russ	Narrotol
1	в том что	27	18
2	в данном случае	7	17
3	в отличие от	4	11
4	о том что	6	9
5	тем не менее	3	8
6	состоит в том	16	6
7	подобно тому как	3	5
8	для того чтобы	6	5
9	в свою очередь	2	5
10	на другой день	2	4
11	к тому что	4	4
12	в равной степени	2	4
13	иметь в виду	2	3
14	в связи с	4	3
15	на себя внимание	2	3
16	с точки зрения	3	3
17	на то что	2	3
18	и потому что	2	2
19	но все же	2	2
20	в е годы	2	2
21	здесь мы имеем	2	2
22	можно было бы	2	2
23	не только на	3	2
24	так же как	5	2
25	что иное как	3	2
26	и у нас	2	2
27	но и на	2	2
28	между тем это	3	2
29	все же не	2	2
