N	3gram	Potebnia_M	Problema
1	тем не менее	10	56
2	в том что	18	37
3	и т д	6	33
4	в связи с	2	29
5	по крайней мере	6	26
6	во всяком случае	7	25
7	с точки зрения	3	25
8	с другой стороны	7	25
9	в таком случае	4	23
10	сама по себе	4	21
11	сам по себе	5	21
12	на то что	3	19
13	в этом смысле	4	19
14	для того чтобы	4	17
15	в то же	3	17
16	то что мы	2	15
17	до сих пор	5	14
18	не что иное	2	14
19	что иное как	2	14
20	на самом деле	2	13
21	сами по себе	8	13
22	не может быть	11	12
23	в то время	3	12
24	и в этом	7	12
25	бы то ни	2	11
26	или по крайней	2	11
27	дело в том	3	11
28	с одной стороны	6	11
29	более или менее	6	10
30	не только не	2	10
31	не только в	3	10
32	и тем самым	2	10
33	то и другое	6	9
34	в сравнении с	4	9
35	только тогда когда	5	8
36	может быть только	2	8
37	только в том	7	8
38	с самого начала	5	7
39	но и в	4	7
40	обратить внимание на	2	7
41	только потому что	3	7
42	то есть не	3	6
43	так и в	5	6
44	то что в	2	6
45	само по себе	6	6
46	в том смысле	7	6
47	и как бы	4	6
48	хотя бы даже	2	6
49	не менее в	2	5
50	в собственном смысле	2	5
51	по себе и	2	5
52	том смысле что	2	5
53	и независимо от	2	4
54	так что в	2	4
55	уже с самого	2	4
56	и потому что	2	4
57	друг от друга	3	4
58	не было бы	3	4
59	но все же	2	4
60	это было бы	2	4
61	подобно тому как	7	4
62	что не только	3	3
63	от того что	5	3
64	после того как	3	3
65	к тому что	2	3
66	но это не	2	3
67	с этой точки	2	3
68	если бы не	3	3
69	как и в	3	3
70	то тем самым	2	3
71	что и в	4	3
72	одного и того	6	3
73	не есть нечто	2	3
74	и может быть	4	3
75	таким образом что	2	3
76	одной стороны и	2	3
77	и того же	6	3
78	с тем что	4	3
79	не может обойтись	2	3
80	и то и	2	2
81	не во всех	2	2
82	все более и	2	2
83	по отношению к	13	2
84	то это не	2	2
85	потому что не	5	2
86	одной и той	3	2
87	и не имеет	2	2
88	как и во	3	2
89	но с другой	3	2
90	а не есть	3	2
91	и в том	3	2
92	и что в	3	2
93	более и более	2	2
94	в свою очередь	8	2
95	друг на друга	2	2
96	мы не можем	2	2
97	это не так	2	2
98	но тем не	6	2
99	таким образом в	3	2
100	до такой степени	2	2
101	в том и	2	2
102	и т п	4	2
103	а потому что	2	2
104	и той же	3	2
105	а так как	3	2
106	потому что мы	3	2
107	не только для	2	2
108	а в том	4	2
109	то есть если	2	2
