N	2gram	Losev_Prob	Sovremen
1	не может	6	17
2	точки зрения	17	12
3	может быть	11	12
4	таким образом	20	11
5	мы не	7	9
6	в каждом	2	8
7	и в	48	7
8	в этом	31	7
9	и не	29	6
10	ничего не	3	6
11	как и	10	6
12	в результате	11	6
13	каждый раз	2	6
14	мы можем	5	6
15	с точки	13	5
16	все эти	12	5
17	и наконец	4	5
18	прежде всего	15	5
19	нет и	3	4
20	вопрос о	2	4
21	мы видели	2	4
22	это не	8	4
23	не только	28	4
24	в том	25	4
25	как бы	10	4
26	так как	10	4
27	если мы	2	4
28	в дальнейшем	7	4
29	жизни и	7	4
30	вместе с	15	4
31	а в	8	4
32	из них	4	4
33	с помощью	2	4
34	для нас	14	3
35	к действию	2	3
36	в два	2	3
37	и потому	4	3
38	на этой	2	3
39	но в	17	3
40	с самого	3	3
41	при этом	6	3
42	не в	16	3
43	все же	12	3
44	он в	5	3
45	как он	2	3
46	было бы	12	3
47	в области	3	3
48	уже в	4	3
49	в себе	7	3
50	еще не	4	3
51	у нас	17	3
52	и все	12	3
53	все это	8	3
54	в нем	8	3
55	а не	7	3
56	и к	9	3
57	что она	2	3
58	в этой	14	3
59	то же	6	3
60	в одном	6	3
61	самого начала	3	3
62	отнюдь не	14	3
63	в конце	10	3
64	ясно что	11	3
65	но все	6	2
66	на его	4	2
67	и по	2	2
68	который как	2	2
69	же самое	2	2
70	всяком случае	6	2
71	можно назвать	2	2
72	не менее	8	2
73	не могут	3	2
74	в новых	2	2
75	в его	19	2
76	он должен	2	2
77	с этим	3	2
78	и что	9	2
79	то и	7	2
80	во всяком	7	2
81	и во	2	2
82	в науке	2	2
83	такого рода	4	2
84	свою очередь	2	2
85	из этих	2	2
86	в самом	7	2
87	и есть	4	2
88	или же	2	2
89	в виде	25	2
90	еще более	4	2
91	что в	12	2
92	в настоящее	7	2
93	в таком	4	2
94	в которой	7	2
95	у него	13	2
96	самом деле	3	2
97	со всеми	5	2
98	уже не	12	2
99	в свою	4	2
100	по мнению	3	2
101	то ни	4	2
102	в нашем	5	2
103	не будем	3	2
104	и они	3	2
105	могут быть	2	2
106	только один	2	2
107	настоящее время	7	2
108	тот же	6	2
109	с одной	5	2
110	как мы	5	2
111	что это	4	2
112	или иной	4	2
113	тем не	8	2
114	из которых	2	2
115	и даже	24	2
116	тем же	4	2
