N	3gram	Vygotskiy_	FransuaR
1	мы уже говорили	4	43
2	до сих пор	6	27
3	в том что	20	27
4	с точки зрения	11	20
5	для того чтобы	17	17
6	о том что	8	17
7	как мы видели	2	16
8	на самом деле	3	13
9	не может быть	3	13
10	с одной стороны	6	13
11	в той же	2	13
12	с другой стороны	5	12
13	все то что	13	11
14	в данном случае	5	10
15	мы видим что	7	9
16	мы видели что	2	8
17	можно было бы	6	7
18	в самом деле	29	7
19	о том как	3	7
20	в то время	4	7
21	с самого начала	10	6
22	к тому же	2	6
23	в свою очередь	3	6
24	имеем в виду	2	6
25	и во всех	2	6
26	во всяком случае	6	5
27	то же самое	12	5
28	вместо того чтобы	3	5
29	все же в	2	5
30	как раз в	3	5
31	это и есть	2	5
32	друг с другом	2	5
33	только то что	3	5
34	потому что он	3	5
35	одной и той	3	4
36	так например в	2	4
37	и в самом	15	4
38	как мы увидим	2	4
39	то что в	5	4
40	вовсе не в	2	4
41	так же как	2	4
42	и той же	3	4
43	и то что	3	4
44	потому что в	2	3
45	не только не	3	3
46	заключается в том	10	3
47	вместе с тем	3	3
48	и как бы	2	3
49	что в нем	3	3
50	в предисловии к	2	3
51	смысле этого слова	5	3
52	и в этом	6	3
53	в своем роде	2	2
54	сам по себе	2	2
55	таким образом что	2	2
56	или во всяком	2	2
57	ничего общего с	2	2
58	с ним в	2	2
59	он не мог	2	2
60	в первый раз	2	2
61	каждый из них	3	2
62	мы знаем что	2	2
63	потому что они	2	2
64	никак не может	3	2
65	это не просто	3	2
66	что одна из	2	2
67	все более и	4	2
68	мы не можем	2	2
69	мы уже знаем	2	2
70	том что он	3	2
71	никогда не может	2	2
72	то что он	3	2
73	и когда она	2	2
74	так много в	2	2
75	и вместе с	3	2
76	и та же	3	2
77	одна и та	2	2
78	мы все время	3	2
79	и может быть	3	2
80	и в другом	2	2
81	и в сущности	2	2
82	более и более	4	2
83	смысл и значение	2	2
84	что у него	2	2
85	в том чтобы	2	2
