N	3gram	Potebnia_M	Literetu
1	в то же	3	21
2	то же время	3	21
3	в том что	18	21
4	по отношению к	13	12
5	с одной стороны	6	12
6	не может быть	11	11
7	с точки зрения	3	8
8	с другой стороны	7	7
9	из того что	2	6
10	подобно тому как	7	6
11	не только в	3	6
12	тем не менее	10	5
13	с этой точки	2	5
14	в связи с	2	5
15	бы то ни	2	4
16	и тем самым	2	4
17	и т п	4	3
18	во всяком случае	7	3
19	на самом деле	2	3
20	по крайней мере	6	3
21	только в том	7	3
22	на то что	3	3
23	быть не может	2	3
24	одной стороны и	2	3
25	но с другой	3	3
26	в одном из	2	3
27	в свою очередь	8	3
28	для того чтобы	4	2
29	потому что не	5	2
30	при этом не	2	2
31	не только не	2	2
32	к тому что	2	2
33	но и в	4	2
34	дело в том	3	2
35	в сравнении с	4	2
