N	3gram	Berdyaev_M	Problemy
1	по отношению к	4	18
2	с самим собою	2	14
3	не может быть	22	14
4	в конце концов	3	11
5	до сих пор	5	10
6	в отношении к	3	10
7	в романах достоевского	2	10
8	в творчестве достоевского	7	9
9	и не может	2	8
10	в том что	3	8
11	между тем как	2	6
12	подобно тому как	2	5
13	и в нем	3	5
14	хотя бы и	2	5
15	в высшей степени	4	5
16	записок из подполья	5	5
17	его отношение к	2	4
18	друг к другу	6	4
19	он не может	2	4
20	может быть и	2	4
21	о том что	3	4
22	как и в	2	4
23	к тому чтобы	2	4
24	в то время	2	3
25	никогда не бывает	2	3
26	и в самом	3	3
27	ивана карамазова и	2	3
28	в братьях карамазовых	5	3
29	то время как	2	3
30	потому что она	2	3
31	это не значит	2	3
32	у достоевского нет	6	3
33	мы увидим что	4	3
34	тем что он	2	3
35	своей записной книжке	2	2
36	прежде всего в	2	2
37	что и в	3	2
38	у него нет	4	2
39	к нему все	2	2
40	записках из подполья	2	2
41	никогда не может	2	2
42	одна и та	2	2
43	достоевский прежде всего	2	2
44	но это не	3	2
45	для него и	2	2
46	он не только	2	2
47	а не в	4	2
48	и та же	2	2
49	что он не	3	2
50	у достоевского никогда	2	2
51	в чем не	2	2
52	для него не	2	2
53	для него нет	2	2
54	достоевского никогда не	2	2
55	не только в	2	2
56	в нем не	2	2
57	в записках из	2	2
58	как бы не	2	2
59	для этого необходимо	2	2
60	вместе с тем	5	2
61	ни в чем	2	2
62	для того чтобы	4	2
63	в себе и	2	2
64	и иван карамазов	2	2
65	как и всегда	2	2
66	в значительной степени	2	2
67	в своей записной	2	2
68	как будто бы	2	2
