N	2gram	Berdyaev_N	formyVre
1	и в	16	148
2	в этом	7	73
3	в нем	5	51
4	прежде всего	4	46
5	и не	11	37
6	но и	3	33
7	не только	5	32
8	но в	2	31
9	жизни и	8	31
10	так и	2	29
11	времени в	2	27
12	может быть	7	27
13	не в	6	26
14	как и	7	25
15	в то	2	23
16	времени и	2	23
17	то что	4	22
18	в том	8	22
19	жизни в	3	21
20	все эти	2	21
21	во всех	3	21
22	и для	4	19
23	и на	2	19
24	у него	2	18
25	и все	4	18
26	по существу	2	18
27	еще не	3	18
28	человека и	3	17
29	с этим	2	17
30	в основе	3	16
31	не может	16	16
32	никогда не	6	15
33	в них	4	15
34	лишь в	6	15
35	с его	6	15
36	вместе с	2	15
37	так же	2	14
38	все это	5	14
39	и с	2	14
40	а не	17	14
41	роль в	2	13
42	а в	2	13
43	того чтобы	2	13
44	как в	3	13
45	в истории	3	12
46	не было	4	12
47	конечно не	3	12
48	но не	2	12
49	потому что	4	12
50	он не	8	12
51	что в	9	12
52	в ней	5	11
53	хотя и	2	11
54	ни в	6	11
55	мира и	2	11
56	в ее	3	10
57	уже не	2	10
58	могут быть	2	9
59	наряду с	3	9
60	том что	2	9
61	должно быть	4	9
62	и даже	2	9
63	и это	2	9
64	с другой	3	9
65	на протяжении	2	9
66	есть в	2	9
67	это не	4	8
68	и потому	4	8
69	к тому	3	8
70	и т.п	2	8
71	время как	2	8
72	с одной	2	8
73	в жизни	5	8
74	в мире	3	8
75	и к	5	8
76	в себе	2	7
77	не знает	6	7
78	место в	2	7
79	с ее	5	7
80	к ним	3	7
81	все они	2	6
82	самой жизни	2	6
83	с тем	3	6
84	одной стороны	2	6
85	xviii века	2	6
86	сказать что	3	6
87	за пределы	3	6
88	мы не	2	6
89	смысле слова	3	6
90	нет и	2	6
91	о том	4	6
92	в эпоху	9	6
93	не имеют	2	5
94	xix века	5	5
95	что все	2	5
96	и от	2	5
97	хотя бы	2	5
98	в своей	3	5
99	в средние	3	5
100	не имеет	4	5
101	в смысле	2	5
102	общества и	2	5
103	нового времени	12	5
104	века и	2	4
105	и было	2	4
106	большую роль	4	4
107	другой стороны	2	4
108	формы и	2	4
109	совсем не	12	4
110	связаны с	2	4
111	в новое	3	4
112	нем нет	2	4
113	средние века	7	4
114	мир и	2	4
115	жизни как	2	4
116	равно как	2	4
117	к жизни	3	4
118	это и	2	4
119	вопрос о	3	3
120	жизни все	2	3
121	в новом	2	3
122	как это	2	3
123	она не	3	3
124	не могла	2	3
125	культуры в	5	3
126	но это	6	3
127	для чего	2	3
128	же как	2	3
129	жизни которые	3	3
130	в центре	2	3
131	вот почему	2	3
132	одна из	2	3
133	но она	2	3
134	не могли	2	3
135	все время	2	3
136	это было	3	3
137	в прошлом	3	3
138	и весь	2	3
139	ни к	2	3
140	по своему	4	3
141	жизни не	3	3
142	к реальному	3	3
143	и есть	10	3
144	не к	2	3
145	борьба и	2	2
146	в духе	3	2
147	бога и	3	2
148	к более	2	2
149	должен быть	5	2
150	в новой	7	2
151	со всех	4	2
152	значит что	4	2
153	в обществе	2	2
154	в русском	2	2
155	нового типа	2	2
156	можно назвать	2	2
157	средневековья и	2	2
158	и пр	3	2
159	не знал	2	2
160	с их	2	2
161	мира а	2	2
162	когда мы	2	2
163	стремится к	3	2
164	перестает быть	4	2
165	вернуться к	2	2
166	себя в	2	2
167	всех сторон	4	2
168	xix и	4	2
169	этот мир	2	2
170	должна быть	3	2
171	культуры и	7	2
172	и должно	2	2
173	для нового	2	2
174	эти формы	3	2
175	в мировой	2	2
176	но для	2	2
177	мы говорим	2	2
178	в час	4	2
179	не существует	3	2
180	я не	2	2
181	эпохи и	4	2
182	высшей степени	6	2
