N	2gram	Propp_Morf	Hudozhes
1	в качестве	8	31
2	и в	17	23
3	не только	8	20
4	состоит в	3	20
5	в том	10	20
6	может быть	61	19
7	в частности	2	18
8	и не	16	16
9	тогда как	2	15
10	но и	9	14
11	а в	8	13
12	но не	8	13
13	а не	11	13
14	то же	10	12
15	в этом	18	12
16	и его	3	12
17	так и	10	12
18	как бы	6	11
19	точки зрения	7	11
20	представляет собой	17	11
21	но в	4	10
22	по отношению	7	10
23	отношению к	7	10
24	не в	3	9
25	том что	7	9
26	не может	19	9
27	с другой	9	9
28	в то	4	8
29	себя в	2	8
30	только в	3	7
31	как это	7	7
32	что в	10	7
33	в основе	2	7
34	более или	2	6
35	мы имеем	19	6
36	уже не	4	6
37	другой стороны	5	6
38	приводит к	3	6
39	а также	7	6
40	можно сказать	2	6
41	с его	3	6
42	или менее	2	6
43	ни в	3	5
44	с другими	2	5
45	могут быть	21	5
46	для того	3	5
47	того чтобы	4	5
48	в ходе	5	5
49	а на	3	5
50	со стороны	5	5
51	не является	4	5
52	героя и	3	5
53	что он	5	5
54	не на	2	5
55	то что	10	5
56	не менее	7	5
57	прежде всего	14	5
58	того что	3	5
59	для него	2	5
60	сказать что	4	4
61	его в	4	4
62	далеко не	5	4
63	это не	6	4
64	к тому	5	4
65	между тем	5	4
66	входит в	4	4
67	в данном	2	4
68	во втором	7	4
69	в форме	6	4
70	в другом	2	4
71	не знает	2	4
72	однако в	2	4
73	и как	6	4
74	еще не	4	4
75	и тем	3	4
76	и что	3	4
77	говорить о	4	4
78	в этих	17	4
79	он не	5	4
80	например в	2	4
81	хотя и	5	4
82	к нему	3	3
83	и для	4	3
84	по своему	2	3
85	как уже	3	3
86	и ее	5	3
87	герой не	2	3
88	как и	4	3
89	их в	2	3
90	потому что	7	3
91	одной стороны	2	3
92	в целом	5	3
93	имеем в	8	3
94	и к	4	3
95	во всех	6	3
96	тем не	7	3
97	из этих	2	3
98	связи с	12	3
99	тому как	5	3
100	если бы	3	3
101	с точки	6	3
102	он должен	3	3
103	подобно тому	6	3
104	себя и	2	3
105	с этой	3	3
106	в связи	10	3
107	таким образом	26	3
108	в которой	3	3
109	никто не	4	3
110	в пределах	3	3
111	в одном	2	3
112	с одной	2	3
113	о том	6	2
114	одной из	2	2
115	в каком	2	2
116	вытекает из	2	2
117	одна из	5	2
118	как в	5	2
119	и др	12	2
120	право на	2	2
121	и наоборот	4	2
122	не от	2	2
123	ее в	3	2
124	могла бы	4	2
125	тому что	5	2
126	то в	3	2
127	в чем	2	2
128	что такое	3	2
129	или в	6	2
130	но как	3	2
131	к герою	3	2
132	все эти	5	2
133	таких случаях	2	2
134	не всегда	10	2
135	не все	6	2
136	вслед за	5	2
137	оно не	2	2
138	что она	2	2
139	быть и	2	2
140	не входит	2	2
141	дело не	2	2
142	однако все	2	2
143	в глаза	2	2
144	так же	4	2
145	об этом	5	2
146	из которых	5	2
147	и по	3	2
148	между собой	5	2
149	в итоге	2	2
150	один из	7	2
151	на котором	4	2
152	подобных случаях	4	2
153	вопрос что	3	2
154	несмотря на	4	2
155	роль в	2	2
156	на этом	4	2
157	это и	3	2
158	и больше	2	2
159	все это	2	2
160	быть названо	4	2
161	к другому	2	2
162	о его	4	2
163	что и	10	2
164	то ни	3	2
165	ни было	2	2
166	одним из	2	2
167	и другие	6	2
168	а затем	10	2
169	самом деле	4	2
170	случае не	4	2
171	и более	2	2
172	в нашем	6	2
173	в этой	3	2
174	ни к	2	2
175	а с	2	2
176	превращается в	2	2
177	который в	2	2
178	в какой	3	2
179	вовсе не	6	2
180	чем это	2	2
181	если мы	6	2
182	у него	2	2
183	бы то	3	2
184	не с	2	2
185	здесь не	3	2
