N	2gram	Tiupa_Narr	SlovoVZh
1	не может	16	16
2	точки зрения	8	14
3	может быть	24	14
4	и его	12	13
5	как бы	11	13
6	и в	22	12
7	таким образом	5	12
8	в нашем	4	11
9	отношению к	5	11
10	по отношению	5	11
11	и не	34	10
12	если бы	9	9
13	прежде всего	7	8
14	для нас	2	7
15	сказать что	5	7
16	все время	2	6
17	при этом	31	6
18	в том	20	6
19	в нем	9	6
20	только в	23	6
21	в процессе	2	6
22	с помощью	2	6
23	в ней	5	6
24	никогда не	8	5
25	как в	9	5
26	что мы	2	5
27	в жизни	9	5
28	в виду	2	5
29	можно сказать	11	5
30	но в	10	5
31	том что	15	5
32	то же	12	5
33	как и	15	5
34	героя и	4	5
35	должна быть	2	5
36	хотя бы	4	5
37	а не	27	5
38	то что	14	5
39	отнюдь не	6	5
40	в самом	8	4
41	в этом	23	4
42	не только	50	4
43	в литературе	8	4
44	что не	2	4
45	как если	2	4
46	и является	2	4
47	зависимости от	3	4
48	жизни и	7	4
49	не в	12	4
50	с другой	6	4
51	все же	10	4
52	дело в	2	4
53	к нему	5	4
54	и к	7	4
55	так и	12	4
56	и на	5	4
57	уже не	11	4
58	отношение к	2	4
59	как к	3	3
60	по себе	4	3
61	о том	5	3
62	и для	4	3
63	или не	5	3
64	да и	5	3
65	внутренней речи	3	3
66	не к	4	3
67	и уже	4	3
68	все эти	3	3
69	в котором	3	3
70	к герою	2	3
71	и наконец	2	3
72	так же	2	3
73	в своей	8	3
74	мы не	5	3
75	точка зрения	5	3
76	в себе	14	3
77	еще не	6	3
78	здесь не	4	3
79	только на	4	3
80	и ее	3	3
81	между тем	5	3
82	и с	3	3
83	но для	5	3
84	точек зрения	2	3
85	не менее	6	3
86	сих пор	3	3
87	с ним	6	3
88	до сих	3	3
89	быть и	3	3
90	в пределах	2	3
91	и по	3	3
92	самом деле	4	3
93	того что	7	3
94	тем не	7	3
95	и более	2	3
96	но и	39	3
97	для него	8	3
98	ясно что	2	3
99	едва ли	5	2
100	в особенности	2	2
101	одно и	2	2
102	и то	3	2
103	в его	12	2
104	данном случае	12	2
105	к его	5	2
106	имеет место	4	2
107	до конца	2	2
108	и здесь	3	2
109	что в	6	2
110	к ним	2	2
111	а к	3	2
112	в душе	3	2
113	кругозора и	3	2
114	и притом	3	2
115	место в	3	2
116	для других	3	2
117	ничего не	8	2
118	с его	6	2
119	что и	3	2
120	это не	6	2
121	и все	7	2
122	с точки	2	2
123	она не	2	2
124	тому же	9	2
125	в своем	7	2
126	дело с	4	2
127	в зависимости	3	2
128	в данном	17	2
129	слово это	2	2
130	зависит от	3	2
131	мы имеем	6	2
132	в то	9	2
133	в событии	3	2
134	с этой	3	2
135	в этих	3	2
136	одной стороны	5	2
137	еще раз	3	2
138	но это	2	2
139	он не	8	2
140	в какой	2	2
141	в формах	2	2
142	подчеркнуть что	2	2
143	точку зрения	3	2
144	как на	2	2
145	и потому	2	2
146	его как	2	2
147	оно не	4	2
148	но не	7	2
149	как это	7	2
150	автора и	2	2
151	если же	2	2
152	в себя	3	2
153	мы можем	2	2
154	в чем	3	2
155	между собой	3	2
156	в форме	7	2
157	значения и	2	2
158	с одной	5	2
159	к этому	2	2
160	же самое	3	2
161	между ними	3	2
162	этих двух	2	2
163	другой стороны	2	2
164	вместе с	3	2
165	но зато	4	2
166	на него	4	2
