N	2gram	Bakhtin_Fr	Tragedij
1	и в	68	18
2	в романе	24	10
3	в году	11	9
4	в этом	28	9
5	не только	21	8
6	и не	25	7
7	и на	16	7
8	как бы	7	7
9	и с	15	7
10	может быть	10	7
11	же время	13	6
12	что он	7	6
13	но в	20	6
14	и его	26	6
15	у него	14	6
16	что это	4	5
17	к жизни	2	5
18	все же	6	5
19	это не	5	5
20	то же	14	5
21	как и	17	5
22	в дальнейшем	4	5
23	так и	8	5
24	не может	5	5
25	в то	14	5
26	что в	14	4
27	еще не	3	4
28	в целом	3	4
29	но и	17	4
30	прежде всего	23	4
31	об этом	3	4
32	том что	6	4
33	в этой	15	4
34	и что	2	4
35	так же	3	4
36	и все	16	4
37	все это	6	4
38	в нем	12	4
39	что я	2	4
40	то что	11	4
41	но это	5	4
42	и даже	7	4
43	в себе	5	4
44	этот образ	11	4
45	один из	9	3
46	своего рода	5	3
47	и как	5	3
48	в мире	6	3
49	уже в	4	3
50	к нему	4	3
51	в своем	11	3
52	при этом	5	3
53	в его	21	3
54	эпизод с	3	3
55	все эти	16	3
56	и он	2	3
57	о чем	3	3
58	в основном	7	3
59	и сам	5	3
60	как будто	2	3
61	как в	4	3
62	жизнь и	2	3
63	для него	7	3
64	то есть	31	3
65	в конце	8	3
66	с ним	3	3
67	никогда не	2	2
68	в самом	6	2
69	и то	2	2
70	но все	5	2
71	данном случае	3	2
72	до конца	10	2
73	одна из	3	2
74	друг друга	2	2
75	тем что	6	2
76	перед нами	4	2
77	в одном	7	2
78	и детей	2	2
79	его в	7	2
80	в виде	2	2
81	раз и	2	2
82	ничего не	4	2
83	имеет в	2	2
84	в данном	5	2
85	в ее	5	2
86	что все	2	2
87	вряд ли	3	2
88	говорит о	2	2
89	о том	5	2
90	о его	2	2
91	что и	3	2
92	ни в	6	2
93	тут же	3	2
94	не в	2	2
95	и здесь	5	2
96	это уже	2	2
97	потому что	3	2
98	жизнью и	4	2
99	одном из	2	2
100	было в	2	2
101	по словам	2	2
102	в частности	4	2
103	в таком	2	2
104	еще раз	2	2
105	он не	11	2
106	и ее	3	2
107	под влиянием	2	2
108	и за	3	2
109	уже не	2	2
110	из самых	2	2
111	и это	5	2
112	этого романа	2	2
113	но они	4	2
114	не так	3	2
115	отличие от	3	2
116	xix веке	3	2
117	в том	12	2
118	и до	14	2
119	чем он	2	2
120	который в	2	2
121	в отличие	3	2
122	не был	4	2
123	еще в	4	2
124	его за	2	2
125	он и	10	2
126	с его	6	2
127	он был	5	2
128	в это	2	2
129	отношение к	11	2
