N	2gram	Potebnia_M	EvropaiE
1	и в	48	37
2	точки зрения	4	23
3	что в	30	21
4	не только	32	18
5	с точки	3	17
6	в то	16	16
7	отношении к	3	15
8	хотя бы	3	15
9	то же	35	15
10	в своем	6	14
11	но в	8	14
12	но и	30	14
13	и не	28	14
14	же время	8	14
15	в этом	19	12
16	в том	47	11
17	в их	2	11
18	в области	3	11
19	так и	17	10
20	с и	3	10
21	все более	2	9
22	так же	6	9
23	в смысле	4	9
24	не может	18	9
25	в себе	26	9
26	прежде всего	6	9
27	только в	29	9
28	одной стороны	4	8
29	между тем	19	8
30	в ее	3	8
31	думать что	6	8
32	было бы	16	8
33	в своей	2	8
34	с одной	8	8
35	к тому	9	8
36	по своему	2	7
37	нам кажется	7	7
38	с другой	8	7
39	как и	22	7
40	так как	20	7
41	между прочим	5	7
42	того что	24	7
43	том что	28	6
44	вслед за	6	6
45	то есть	53	6
46	и даже	3	6
47	может быть	46	6
48	и на	5	6
49	с этой	2	6
50	того чтобы	5	6
51	для того	8	6
52	на то	6	6
53	то что	37	6
54	как бы	10	6
55	вовсе не	13	6
56	к которым	2	5
57	но не	8	5
58	от этого	2	5
59	тем самым	11	5
60	и по	5	5
61	и потому	9	5
62	столь же	8	5
63	но если	2	5
64	в той	2	5
65	как мы	8	5
66	со стороны	4	5
67	не в	24	5
68	в виде	3	5
69	в течение	2	5
70	одной из	3	5
71	даже в	3	4
72	сказать что	8	4
73	в каком	8	4
74	вопрос о	2	4
75	и притом	3	4
76	не имеет	10	4
77	во многих	3	4
78	само по	6	4
79	можно сказать	4	4
80	независимо от	10	4
81	именно в	5	4
82	в процессе	2	4
83	в самом	11	4
84	но даже	3	4
85	мы не	17	4
86	в ней	11	4
87	для нас	40	4
88	как совокупность	2	4
89	по себе	26	4
90	несмотря на	2	4
91	в некотором	2	4
92	тем более	9	4
93	к ней	7	4
94	ни было	2	4
95	бы то	2	4
96	чем в	2	4
97	никогда не	2	3
98	с тем	9	3
99	и от	5	3
100	и только	5	3
101	о том	7	3
102	очевидно что	9	3
103	к ним	3	3
104	в данном	3	3
105	того же	5	3
106	время в	3	3
107	в которых	5	3
108	не из	4	3
109	этом смысле	2	3
110	бы и	4	3
111	бы ни	6	3
112	в свою	6	3
113	и к	5	3
114	мы можем	13	3
115	это так	2	3
116	но на	2	3
117	от них	4	3
118	не будет	4	3
119	из них	11	3
120	в них	9	3
121	всяком случае	3	3
122	место в	4	3
123	мы видели	5	3
124	что и	16	3
125	некотором смысле	2	3
126	там где	6	3
127	и мы	3	3
128	и тем	8	3
129	не дает	2	3
130	тем что	13	3
131	этом отношении	2	3
132	потому что	82	3
133	можно думать	3	3
134	себе не	6	3
135	в таком	6	3
136	себе в	2	3
137	заключает в	10	3
138	как в	17	3
139	связано с	2	3
140	как на	6	3
141	в известной	3	3
142	большинстве случаев	2	3
143	ее в	2	3
144	во всяком	4	3
145	есть в	6	2
146	данном случае	3	2
147	для понимания	5	2
148	и если	4	2
149	в мире	3	2
150	кажется что	3	2
151	если в	2	2
152	в его	6	2
153	отношений между	2	2
154	не есть	24	2
155	чем больше	3	2
156	что это	6	2
157	рано или	2	2
158	в эту	4	2
159	одна и	2	2
160	что к	2	2
161	при помощи	2	2
162	и то	13	2
163	другой и	2	2
164	что если	5	2
165	к нему	7	2
166	не могут	7	2
167	она не	4	2
168	а в	14	2
169	с этим	12	2
170	из того	2	2
171	мы должны	6	2
172	или по	2	2
173	с другими	9	2
174	в котором	7	2
175	и человеческой	2	2
176	его на	3	2
177	заметить что	7	2
178	но как	2	2
179	как оно	2	2
180	и другая	2	2
181	далеко не	5	2
182	в своих	2	2
183	от друга	2	2
184	с в	4	2
185	или поздно	2	2
186	в большинстве	2	2
187	во многом	3	2
188	и с	4	2
189	бы в	3	2
190	в другой	3	2
191	что на	3	2
192	могут быть	6	2
193	не говоря	3	2
194	другой стороны	4	2
195	что все	5	2
196	между ними	4	2
197	тогда когда	20	2
198	и та	5	2
199	в одном	4	2
200	течением времени	2	2
201	сказанному выше	2	2
202	на них	2	2
203	и как	8	2
204	не можем	8	2
205	с т	2	2
206	что же	3	2
207	целый ряд	2	2
208	есть не	9	2
209	если бы	20	2
210	которое в	2	2
211	ее от	2	2
212	в этих	2	2
213	жизни и	3	2
214	в силу	7	2
215	и теперь	6	2
216	более чем	2	2
217	и того	2	2
218	в других	3	2
219	а не	22	2
220	большей части	2	2
221	и других	3	2
222	за тем	3	2
223	с а	2	2
224	мы видим	3	2
225	с течением	3	2
226	и что	13	2
227	значение только	2	2
228	происходит в	2	2
229	и наконец	3	2
230	то не	3	2
231	свою очередь	6	2
232	же в	3	2
233	одном из	4	2
234	и чем	3	2
235	и все	5	2
236	влияние на	3	2
237	или в	4	2
238	друг от	2	2
239	таким образом	24	2
240	в истории	2	2
241	он не	4	2
242	следовало бы	2	2
243	относятся к	2	2
244	и эта	2	2
245	что эти	3	2
246	не к	4	2
247	же мало	2	2
248	в этой	3	2
249	а тем	3	2
250	хотя и	3	2
251	в какой	3	2
252	должна быть	2	2
253	эти последние	3	2
254	вместе с	22	2
255	заключается в	2	2
256	он сам	2	2
257	будет ли	3	2
258	и более	4	2
