N	3gram	Medvedev_F	Myshleni
1	в том что	3	133
2	с точки зрения	17	89
3	для того чтобы	3	78
4	по отношению к	4	42
5	с одной стороны	5	39
6	с самого начала	2	36
7	в этом отношении	7	30
8	с другой стороны	4	26
9	вместе с тем	5	26
10	не может быть	11	23
11	к тому что	3	22
12	смысле этого слова	4	22
13	в высшей степени	4	22
14	в зависимости от	4	22
15	не только не	2	21
16	и тем самым	2	19
17	в самом деле	5	19
18	в отличие от	2	18
19	во всяком случае	6	18
20	в этом смысле	3	18
21	до сих пор	7	17
22	как мы видели	5	17
23	в связи с	9	17
24	в данном случае	2	15
25	друг от друга	2	14
26	в свою очередь	6	14
27	тем не менее	2	12
28	в том чтобы	3	12
29	мы не можем	3	11
30	одной стороны и	4	10
31	на самом деле	7	9
32	сама по себе	2	9
33	более или менее	7	9
34	с тем что	3	9
35	все более и	3	8
36	сам по себе	2	8
37	не могут быть	4	8
38	что и в	2	8
39	более и более	3	8
40	с тем и	2	7
41	к тому чтобы	2	7
42	ничего общего с	2	6
43	в том смысле	3	6
44	что перед нами	2	6
45	в лучшем случае	3	6
46	и не может	5	6
47	и в частности	2	6
48	в конце концов	2	5
49	в этом пункте	4	5
50	но все же	2	5
51	в то же	13	5
52	между этими двумя	2	5
53	и в этом	6	5
54	прежде всего в	5	5
55	том смысле что	2	5
56	как если бы	2	5
57	в какой мере	2	5
58	в той же	2	5
59	тем что оно	2	5
60	сами по себе	4	5
61	как мы увидим	3	5
62	как и все	2	4
63	но и в	4	4
64	по аналогии с	4	4
65	в предисловии к	3	4
66	так и в	6	4
67	в значительной степени	3	4
68	если бы оно	2	4
69	бы то ни	4	3
70	нет и не	2	3
71	связи с этим	4	3
72	как раз и	4	3
73	в применении к	4	3
74	свою очередь является	2	3
75	в настоящее время	11	3
76	мы говорим о	2	3
77	того или иного	6	3
78	до последнего времени	2	3
79	только и может	4	3
80	то же время	13	3
81	в основе этой	2	3
82	в целом ряде	2	3
83	хотя бы в	4	3
84	убедиться в этом	2	3
85	и в какой	2	2
86	в этом процессе	2	2
87	в своей книге	2	2
88	до известной степени	3	2
89	но в этом	2	2
90	сводится к тому	2	2
91	раз и навсегда	2	2
92	с его помощью	2	2
93	и в их	2	2
94	в том случае	2	2
95	в большинстве случаев	5	2
96	ни на один	2	2
97	и до конца	3	2
98	таким образом не	3	2
99	при известных условиях	2	2
100	чтобы убедиться в	2	2
101	дело идет о	3	2
