N	2gram	Bakhtin_KF	Psycholo
1	то что	7	193
2	и в	28	190
3	в том	6	163
4	что в	4	123
5	потому что	2	114
6	том что	4	113
7	может быть	45	107
8	в этом	15	100
9	как бы	9	80
10	для того	3	78
11	того чтобы	2	78
12	что он	2	76
13	не только	5	75
14	и не	28	73
15	самом деле	3	70
16	точки зрения	13	69
17	не может	29	68
18	было бы	8	56
19	если бы	8	55
20	и мы	2	54
21	то же	5	54
22	о том	3	54
23	при этом	4	52
24	как и	5	51
25	что и	7	50
26	а не	17	50
27	что это	4	49
28	только в	18	46
29	по себе	2	46
30	не в	13	45
31	в этой	2	43
32	ясно что	3	43
33	никогда не	5	42
34	и все	9	42
35	но и	9	40
36	того что	3	39
37	и это	12	37
38	и как	2	36
39	с тем	2	35
40	вовсе не	7	34
41	и его	18	34
42	все же	5	33
43	тому что	2	33
44	все это	10	32
45	в себе	21	32
46	в ней	3	31
47	мы не	3	31
48	в его	42	31
49	он не	6	31
50	для нас	4	31
51	как в	2	30
52	и для	10	29
53	с точки	10	29
54	в нем	32	29
55	и когда	2	28
56	и то	2	28
57	в основе	5	27
58	в своих	4	27
59	а в	5	27
60	и на	3	27
61	совершенно не	7	26
62	и здесь	7	25
63	жизни и	8	25
64	до конца	3	24
65	в целом	10	24
66	и совершенно	3	24
67	тем что	3	24
68	в своем	17	23
69	для этого	2	23
70	могут быть	3	23
71	один из	2	23
72	между тем	4	22
73	в своей	11	21
74	ни в	12	21
75	в котором	24	21
76	что эта	2	21
77	и только	7	21
78	она не	2	20
79	все эти	11	20
80	в то	3	20
81	тот же	3	20
82	это не	10	20
83	дело с	2	20
84	там где	5	20
85	мы имеем	5	20
86	в ее	17	19
87	в одном	5	19
88	в каком	4	18
89	на самом	3	18
90	но в	5	18
91	был бы	3	18
92	но не	12	18
93	и есть	10	18
94	в виду	3	17
95	но это	6	17
96	так и	2	16
97	та же	3	16
98	не имеет	6	16
99	сводится к	2	16
100	от того	3	16
101	и тем	3	16
102	из которых	2	16
103	к этому	2	16
104	и потому	2	15
105	еще не	5	15
106	во всех	11	15
107	для него	13	15
108	это только	2	14
109	должна быть	4	14
110	хотя бы	5	14
111	с ним	5	14
112	это и	3	14
113	прежде всего	4	14
114	это есть	2	14
115	в области	2	14
116	в жизни	2	14
117	а с	2	13
118	могло бы	4	13
119	именно в	5	13
120	отнюдь не	7	13
121	едва ли	2	13
122	со стороны	8	13
123	могла бы	4	13
124	и этот	3	12
125	что этот	3	12
126	в свою	3	12
127	ничего не	3	12
128	не менее	3	12
129	тогда когда	3	12
130	что не	3	12
131	и может	3	12
132	я не	6	12
133	как к	2	11
134	были бы	2	11
135	оба эти	2	11
136	не будет	2	11
137	этого слова	2	11
138	ли это	2	11
139	думать что	2	11
140	и других	2	11
141	его в	5	11
142	с его	2	11
143	не было	8	11
144	конечно не	7	11
145	от него	3	10
146	в другом	3	10
147	здесь мы	4	10
148	это было	2	10
149	и их	6	10
150	во всем	7	10
151	но как	5	10
152	в их	9	10
153	совсем не	2	10
154	в данном	2	10
155	должно быть	6	10
156	смысл и	6	10
157	именно на	2	10
158	бы не	3	9
159	вопрос о	2	9
160	тем самым	4	9
161	и ее	2	9
162	и та	3	9
163	но все	6	9
164	не есть	22	9
165	должен быть	7	9
166	и именно	2	9
167	к чему	3	9
168	в виде	2	9
169	в чем	4	9
170	по своему	3	9
171	в него	2	9
172	из его	3	9
173	с ее	2	9
174	его и	2	9
175	в процессе	2	8
176	гораздо более	2	8
177	мы получим	2	8
178	кажется что	2	8
179	и эта	2	8
180	и тот	3	8
181	себе и	3	8
182	для выражения	2	8
183	в сознании	2	8
184	он может	2	8
185	бы и	3	8
186	о нем	4	8
187	место в	6	8
188	содержания и	2	8
189	и отсюда	2	8
190	и конечно	2	8
191	к нему	12	8
192	жизнь и	2	8
193	этом смысле	3	8
194	не как	4	7
195	и эти	2	7
196	от себя	10	7
197	даны в	2	7
198	от этого	2	7
199	того или	3	7
200	к которой	2	7
201	дело в	2	7
202	себя и	5	7
203	отказаться от	2	7
204	что только	2	7
205	это можно	2	7
206	а как	2	7
207	и действительно	6	7
208	в качестве	2	7
209	к ним	4	7
210	времени и	4	7
211	со всеми	2	7
212	слова в	2	7
213	в каждом	3	7
214	нисколько не	4	6
215	для нее	9	6
216	отношение к	6	6
217	еще более	2	6
218	события в	3	6
219	людей и	3	6
220	его с	2	6
221	тем не	2	6
222	из него	4	6
223	в себя	8	6
224	рядом с	3	6
225	оно не	2	6
226	что за	2	6
227	мысль и	2	6
228	один и	3	6
229	не дает	3	6
230	содержание и	2	6
231	не потому	2	6
232	и ни	3	6
233	только с	3	6
234	и просто	2	6
235	и другого	3	6
236	или иного	3	6
237	независимо от	3	6
238	всех этих	3	6
239	из нее	2	6
240	одного и	2	6
241	нами в	2	6
242	что есть	2	6
243	что я	5	6
244	уже не	7	6
245	только как	4	6
246	говорить о	2	6
247	жизни но	3	6
248	человека и	3	5
249	и она	2	5
250	смысла и	2	5
251	ее от	2	5
252	все они	2	5
253	все остальное	2	5
254	и ясно	2	5
255	не следует	2	5
256	не знает	5	5
257	бы то	2	5
258	его к	2	5
259	тем как	3	5
260	одна и	2	5
261	можно ли	2	5
262	во всей	4	5
263	конечно в	2	5
264	себя в	8	5
265	дело не	2	5
266	то или	2	5
267	не значит	6	5
268	нет и	3	5
269	в смысле	6	5
270	и смысл	2	5
271	ни одна	2	5
272	быть не	2	5
273	и за	2	5
274	нигде не	3	4
275	ее и	6	4
276	всех других	2	4
277	не по	4	4
278	в ту	2	4
279	и под	2	4
280	не имеем	3	4
281	себе а	2	4
282	или как	2	4
283	его жизни	3	4
284	где она	2	4
285	имеем в	2	4
286	из себя	11	4
287	мы говорим	2	4
288	если не	2	4
289	и того	2	4
290	или иное	2	4
291	ясно и	3	4
292	но для	3	4
293	по отношению	26	4
294	в это	2	4
295	но эта	6	4
296	не остается	2	4
297	смысл в	3	4
298	себя как	2	4
299	здесь не	3	4
300	может не	2	4
301	вступить в	2	4
302	с ними	4	4
303	и смерти	2	4
304	все остальные	2	4
305	вытекает из	2	4
306	человек и	2	4
307	где он	3	4
308	отношении к	2	4
309	в мире	8	4
310	и содержания	2	4
311	в корне	3	4
312	не могу	3	4
313	же время	2	4
314	ничего общего	2	4
315	основе своей	2	4
316	не о	2	3
317	его на	2	3
318	но ведь	5	3
319	когда я	3	3
320	ни было	4	3
321	для себя	7	3
322	ни одно	5	3
323	не из	2	3
324	этот акт	6	3
325	со всем	5	3
326	положения и	3	3
327	ним и	3	3
328	бы быть	5	3
329	его как	5	3
330	если я	2	3
331	к себе	2	3
332	стал бы	2	3
333	ни к	2	3
334	быть только	8	3
335	поскольку он	3	3
336	ближе к	3	3
337	которой он	2	3
338	из самого	2	3
339	не быть	3	3
340	дело здесь	2	3
341	теории и	3	3
342	меня в	3	3
343	для меня	22	3
344	вступает в	3	3
345	места в	4	3
346	здесь нет	3	3
347	поскольку она	2	3
348	чего не	2	3
349	быть в	4	3
350	и я	6	3
351	котором я	2	3
352	на язык	3	3
353	мышления и	2	3
354	же с	2	3
355	котором мы	3	3
356	нее в	2	3
357	отношению к	22	3
358	и содержание	5	3
359	разве не	2	3
360	на нем	2	3
361	быть и	3	3
362	всем его	3	3
363	он и	2	3
364	действительной жизни	3	3
365	то ни	2	3
