N	2gram	Bakhtin_Fr	Analitik
1	не только	21	71
2	и в	68	66
3	в качестве	2	61
4	но и	17	57
5	в том	12	52
6	может быть	10	52
7	в частности	4	51
8	в этом	28	51
9	как и	17	50
10	и не	25	48
11	а не	6	42
12	том что	6	40
13	при этом	5	40
14	так и	8	35
15	то есть	31	35
16	в мире	6	31
17	своего рода	5	30
18	не может	5	29
19	как бы	7	29
20	а в	3	28
21	в его	21	27
22	и его	26	27
23	не в	2	26
24	но не	4	26
25	в себе	5	24
26	и даже	7	22
27	в этой	15	22
28	что в	14	22
29	лишь в	3	21
30	и т.п	17	20
31	о том	5	20
32	по отношению	3	19
33	но в	20	19
34	в своей	11	19
35	то же	14	19
36	в самом	6	19
37	с его	6	19
38	в то	14	18
39	в данном	5	18
40	отношению к	2	18
41	или иной	2	17
42	с другой	8	17
43	со стороны	2	17
44	такого рода	5	17
45	в целом	3	17
46	только в	9	17
47	то что	11	16
48	что и	3	16
49	в их	6	15
50	прежде всего	23	15
51	в сущности	15	15
52	уже не	2	15
53	и на	16	15
54	между тем	3	15
55	данном случае	3	14
56	отличие от	3	14
57	не менее	2	14
58	того же	4	14
59	той или	2	14
60	мы имеем	2	14
61	себя в	2	14
62	в отличие	3	14
63	далеко не	3	14
64	же время	13	14
65	в себя	2	14
66	ничего не	4	13
67	на уровне	2	13
68	точки зрения	8	13
69	в начале	5	13
70	как раз	8	13
71	этого слова	3	13
72	для него	7	13
73	а также	6	13
74	он не	11	13
75	никогда не	2	12
76	и к	4	12
77	в первой	3	12
78	еще не	3	12
79	как в	4	12
80	и сам	5	12
81	даже в	4	11
82	в свою	3	11
83	это не	5	11
84	во второй	2	11
85	нуждается в	4	11
86	по своей	4	11
87	и как	5	11
88	можно сказать	2	11
89	той же	9	11
90	в той	7	11
91	в конце	8	10
92	все же	6	10
93	в произведении	3	10
94	один из	9	10
95	было бы	4	10
96	особенно в	6	10
97	и одновременно	3	10
98	подобно тому	2	10
99	с одной	5	10
100	перед лицом	2	10
101	именно в	5	10
102	здесь не	5	10
103	отношения к	2	10
104	в своем	11	9
105	того что	3	9
106	одной стороны	4	9
107	свою очередь	2	9
108	другой стороны	5	9
109	во всех	8	9
110	тому как	2	9
111	говорит о	2	9
112	таким образом	22	9
113	вместе с	4	9
114	перед нами	4	8
115	о чем	3	8
116	роль в	7	8
117	что он	7	8
118	дело с	2	8
119	одной из	3	8
120	и все	16	8
121	одного из	3	8
122	этом отношении	4	8
123	хотя и	2	8
