N	3gram	Vygotskiy_	EvropaiC
1	в том что	24	16
2	до сих пор	6	15
3	по отношению к	9	11
4	друг с другом	6	9
5	с точки зрения	31	8
6	на самом деле	2	7
7	мы знаем что	2	7
8	для того чтобы	24	7
9	на то что	5	7
10	друг от друга	3	6
11	мы говорили выше	2	6
12	по сравнению с	20	5
13	в самом деле	4	5
14	которых мы говорили	3	4
15	тем не менее	4	4
16	тот факт что	2	4
17	с другой стороны	3	4
18	в этом случае	15	4
19	в этой области	2	4
20	о том что	4	4
21	о которых мы	3	4
22	не может быть	6	4
23	вместе с тем	6	3
24	так же как	13	3
25	в данном случае	5	3
26	в том же	3	3
27	и того же	3	3
28	одного и того	3	3
29	таким образом в	2	3
30	заключается в том	9	3
31	и то что	5	3
32	но вместе с	2	2
33	с одной стороны	7	2
34	заключает в себе	2	2
35	в том и	3	2
36	в то время	8	2
37	как и в	4	2
38	том что он	2	2
39	в то же	2	2
40	друг к другу	3	2
41	в свою очередь	3	2
42	друг на друга	2	2
