N	2gram	Propp_Isto	TeoriaLi
1	в качестве	4	33
2	не только	28	24
3	и в	43	24
4	в частности	6	23
5	состоит в	4	22
6	может быть	22	22
7	в том	13	20
8	при этом	4	20
9	тогда как	6	18
10	и не	16	17
11	а в	13	15
12	но и	24	14
13	так и	6	14
14	а не	13	14
15	в себе	2	14
16	но не	10	13
17	представляет собой	6	13
18	в этом	25	12
19	то же	11	12
20	но в	15	12
21	в его	7	12
22	том что	12	11
23	точки зрения	3	11
24	и его	10	11
25	по отношению	2	10
26	отношению к	2	10
27	как это	5	10
28	что в	29	10
29	в данном	7	9
30	не в	9	9
31	с другой	10	9
32	в то	2	9
33	только в	8	9
34	не может	8	8
35	как бы	5	8
36	в своей	4	8
37	особого рода	3	7
38	в своем	2	7
39	а также	5	7
40	мы имеем	24	7
41	себя в	2	7
42	отношение к	4	7
43	во второй	2	7
44	на смену	7	7
45	в нем	11	7
46	другой стороны	10	6
47	со стороны	3	6
48	не менее	6	6
49	еще не	15	6
50	то что	20	6
51	как и	9	6
52	в русской	5	6
53	уже не	11	6
54	данном случае	6	5
55	как в	6	5
56	как правило	3	5
57	как к	2	5
58	ни в	2	5
59	в виду	2	5
60	и тем	2	5
61	и о	2	5
62	в пределах	5	5
63	не случайно	2	5
64	между тем	2	5
65	могут быть	9	5
66	того что	8	5
67	он не	11	5
68	в себя	3	5
69	можно сказать	3	5
70	никогда не	9	4
71	сказать что	5	4
72	его в	7	4
73	это не	10	4
74	так в	8	4
75	и ее	3	4
76	в другом	11	4
77	в силу	2	4
78	этого слова	3	4
79	в этих	18	4
80	что он	17	4
81	далеко не	3	4
82	к тому	9	4
83	в свою	5	4
84	в целом	4	4
85	со своей	2	4
86	и что	6	4
87	не на	2	4
88	с ее	2	4
89	не следует	2	4
90	не знает	2	4
91	хотя и	4	4
92	но он	8	4
93	даже в	4	3
94	и то	4	3
95	перед нами	4	3
96	и потому	2	3
97	из этих	5	3
98	одной стороны	2	3
99	не все	7	3
100	и для	3	3
101	в иной	2	3
102	человека с	2	3
103	тем не	6	3
104	и как	6	3
105	если бы	7	3
106	к которому	6	3
107	роль в	2	3
108	или в	14	3
109	он должен	3	3
110	подобно тому	3	3
111	одним из	4	3
112	с этой	3	3
113	а именно	8	3
114	и вот	3	3
115	никто не	2	3
116	между собой	2	3
117	с одной	2	3
118	и др	4	3
119	не с	2	3
120	в жизни	3	3
121	их в	6	3
122	потому что	8	3
123	в сторону	3	3
124	тому как	3	3
125	говорит и	2	3
126	имеем в	6	3
127	прежде всего	3	3
128	и к	4	3
129	только не	2	3
130	из которого	3	3
131	а на	5	3
132	все эти	8	3
133	о ней	2	3
134	и по	6	3
135	связи с	9	3
136	в связи	5	3
137	таким образом	15	3
138	принадлежит к	4	3
139	например в	3	3
140	в этой	7	3
141	в одном	9	3
142	вовсе не	3	3
143	между двумя	6	3
144	но она	2	2
145	видим в	3	2
146	право на	2	2
147	так же	16	2
148	но как	2	2
149	таких случаях	2	2
150	дело не	3	2
151	не всегда	7	2
152	что она	8	2
153	говорит что	4	2
154	в глаза	2	2
155	об этом	8	2
156	и даже	4	2
157	к более	2	2
158	и здесь	8	2
159	это и	4	2
160	имеются и	2	2
161	превращается в	10	2
162	это делает	2	2
163	казалось бы	2	2
164	от своего	3	2
165	у нас	7	2
166	к своему	3	2
167	только на	2	2
168	и другие	6	2
169	у него	4	2
170	ведет к	2	2
171	в чем	4	2
172	вместе с	12	2
173	на котором	2	2
174	здесь мы	6	2
175	к нему	12	2
176	и это	5	2
177	ее в	3	2
178	могло быть	3	2
179	о том	4	2
180	не вполне	7	2
181	которая в	2	2
182	о себе	3	2
183	образом и	2	2
184	и на	7	2
185	вступает в	4	2
186	на себя	5	2
187	дома и	4	2
188	на этом	5	2
189	к чему	2	2
190	он и	4	2
191	один из	7	2
192	в них	6	2
193	по себе	3	2
194	здесь не	6	2
195	к жизни	2	2
196	что и	17	2
197	а затем	6	2
198	с ними	5	2
199	о его	2	2
200	и наоборот	2	2
201	не просто	4	2
202	и некоторые	3	2
203	все это	4	2
204	что они	14	2
205	как будто	2	2
206	в большинстве	2	2
207	этих двух	2	2
208	при котором	2	2
209	я не	3	2
210	быть и	3	2
