N	3gram	Losev_Prob	Narrotol
1	в том что	13	18
2	в данном случае	5	17
3	не только в	5	13
4	по отношению к	2	11
5	о том что	14	9
6	к тому же	5	9
7	в то же	2	8
8	той или иной	4	8
9	тем не менее	8	8
10	в этом отношении	4	8
11	не может быть	2	8
12	можно сказать что	4	6
13	с одной стороны	5	6
14	на самом деле	2	5
15	для того чтобы	3	5
16	но и в	2	5
17	в свою очередь	2	5
18	во всяком случае	6	4
19	то же самое	2	3
20	точно так же	4	3
21	того или иного	2	3
22	в связи с	11	3
23	с точки зрения	13	3
24	а также и	3	3
25	до сих пор	3	3
26	на то что	2	3
27	дело в том	4	3
28	и то что	3	3
29	в русской литературе	3	2
30	еще и потому	2	2
31	и потому что	2	2
32	в таком случае	2	2
33	но все же	2	2
34	чем иным как	3	2
35	а с другой	3	2
36	далеко не всегда	3	2
37	здесь не в	3	2
38	хотя и не	3	2
39	можно было бы	2	2
40	что иное как	3	2
41	в том смысле	2	2
42	все же не	3	2
43	и не в	2	2
44	в той или	2	2
