N	2gram	Propp_Isto	Otkroven
1	у него	4	22
2	и в	43	19
3	но и	24	13
4	и не	16	13
5	в этом	25	12
6	не только	28	11
7	человека в	2	11
8	не в	9	11
9	а не	13	11
10	может быть	22	11
11	и все	4	10
12	в нем	11	10
13	вопрос о	4	10
14	никогда не	9	9
15	потому что	8	9
16	не было	2	9
17	прежде всего	3	9
18	и он	2	8
19	в его	7	7
20	нет ничего	3	7
21	от него	3	7
22	он не	11	7
23	но он	8	7
24	как и	9	6
25	все это	4	6
26	а в	13	5
27	в том	13	5
28	о его	2	5
29	то что	20	5
30	в этой	7	5
31	отношение к	4	5
32	и его	10	4
33	что в	29	4
34	он сам	2	4
35	все эти	8	4
36	на земле	2	4
37	него и	2	4
38	т е	36	4
39	не может	8	4
40	что не	3	4
41	в себе	2	3
42	и от	3	3
43	о том	4	3
44	это не	10	3
45	к нему	12	3
46	что он	17	3
47	и вот	3	3
48	было бы	5	3
49	еще не	15	3
50	и есть	3	3
51	все что	4	3
52	в этих	18	3
53	в русской	5	3
54	когда он	2	3
55	и ее	3	3
56	никто не	2	3
57	как бы	5	3
58	хотя бы	3	3
59	могут быть	9	3
60	того что	8	3
61	как к	2	2
62	одно из	2	2
63	и то	4	2
64	сказать что	5	2
65	можно ли	3	2
66	и на	7	2
67	с тем	3	2
68	что же	2	2
69	и для	3	2
70	и там	6	2
71	не имеет	3	2
72	ничего не	12	2
73	в человеческом	2	2
74	он весь	2	2
75	и с	10	2
76	что и	17	2
77	ее в	3	2
78	и потому	2	2
79	в других	6	2
80	в своем	2	2
81	тем что	8	2
82	но в	15	2
83	том что	12	2
84	к этой	2	2
85	же можно	2	2
86	все же	13	2
87	в своей	4	2
88	он в	3	2
89	так как	13	2
90	по себе	3	2
91	что у	4	2
92	должен был	5	2
93	что они	14	2
94	так что	8	2
95	не все	7	2
96	и о	2	2
97	не есть	3	2
98	к этому	10	2
99	все еще	7	2
100	и к	4	2
101	так и	6	2
102	и очень	2	2
103	к ней	4	2
104	хотя и	4	2
105	его не	3	2
106	в другом	11	2
107	в этот	6	2
108	его в	7	2
