N	2gram	Medvedev_U	Myshleni
1	в том	2	195
2	в этом	7	167
3	то что	7	166
4	и в	14	162
5	том что	2	161
6	таким образом	2	147
7	не только	10	116
8	может быть	6	89
9	что он	2	86
10	не может	7	81
11	как и	3	79
12	и не	8	78
13	только в	2	75
14	но и	4	70
15	в его	2	67
16	было бы	3	60
17	то же	5	58
18	могли бы	2	54
19	что мы	2	53
20	в самом	2	52
21	тем что	2	48
22	мы не	2	47
23	если бы	2	46
24	но не	2	45
25	с другой	4	45
26	в области	3	38
27	не в	2	37
28	в этой	4	37
29	а не	10	36
30	в себе	2	35
31	и т.д	3	35
32	прежде всего	8	33
33	по себе	2	33
34	что и	2	32
35	же самое	2	32
36	но в	3	32
37	и то	3	31
38	все же	3	31
39	этом отношении	2	30
40	между тем	2	29
41	могут быть	2	29
42	самом деле	2	28
43	что все	2	27
44	в своей	3	27
45	в то	3	27
46	другой стороны	3	27
47	и с	2	27
48	в их	4	26
49	в частности	3	26
50	для него	3	26
51	все это	5	25
52	что она	2	25
53	это не	3	25
54	смысле этого	2	22
55	не могут	2	22
56	по существу	2	20
57	как раз	2	20
58	мы и	2	19
59	но это	2	18
60	этом смысле	2	18
61	для этого	3	17
62	сих пор	2	17
63	и для	2	17
64	и только	5	17
65	не есть	2	17
66	до сих	2	17
67	является в	2	15
68	хотя бы	5	15
69	ничего не	2	15
70	и является	2	15
71	очевидно что	3	14
72	о чем	2	14
73	с его	2	14
74	одним из	2	14
75	думается что	2	14
76	для всех	2	13
77	только к	3	12
78	на первый	2	12
79	в конце	2	11
80	нас в	2	11
81	не столько	2	11
82	вот почему	7	11
83	каждом шагу	2	10
84	у нас	3	10
85	что такое	4	10
86	если не	2	10
87	вопроса о	2	10
88	в конечном	4	10
89	на каждом	2	10
90	и у	2	10
91	в системе	2	9
92	конечном счете	4	9
93	представляется нам	2	9
94	не как	3	8
95	этой области	3	8
96	должна быть	2	7
97	всех этих	2	7
98	его и	2	7
99	это было	2	6
100	как таковой	2	6
101	бы и	2	6
102	нашему мнению	3	6
103	фактов и	2	6
104	по нашему	3	6
105	т.е в	2	5
106	все они	2	5
107	формы в	3	5
108	но даже	2	5
109	конце концов	2	5
110	как такового	3	5
111	а как	2	4
112	к области	2	4
113	бы то	3	4
114	ни было	3	4
115	на эту	2	4
116	формы и	2	4
117	превращается в	2	4
118	в некоторых	2	4
119	конечно не	4	4
120	при таком	2	3
121	тех или	2	3
122	нам представляется	2	3
123	должна была	2	3
124	к сожалению	3	3
125	не приходится	2	3
126	же не	2	3
127	или иных	2	3
128	сводится к	2	3
129	этого термина	2	3
130	то ни	3	3
131	же время	3	3
132	с проблемой	2	2
133	более чем	2	2
134	именно как	2	2
135	установку на	2	2
136	не следует	3	2
137	их и	2	2
138	перестает быть	5	2
139	художественное произведение	5	2
140	и формы	3	2
141	мы получаем	2	2
142	в сторону	2	2
143	работы по	2	2
144	и через	2	2
