N	2gram	Bakhtin_fo	RusskieA
1	и в	84	79
2	в том	16	64
3	том что	7	59
4	что в	9	57
5	не только	16	41
6	во время	7	38
7	так как	12	34
8	в этом	41	33
9	и другие	6	33
10	как бы	11	31
11	но и	14	31
12	в других	9	30
13	как и	15	28
14	может быть	18	28
15	и на	13	28
16	в этот	5	26
17	одна из	3	24
18	и т	21	23
19	о том	4	23
20	при этом	8	22
21	т д	3	21
22	это не	8	20
23	как мы	19	20
24	а в	6	20
25	из них	8	19
26	все это	10	18
27	с тем	5	17
28	потому что	11	17
29	то что	13	17
30	об этом	3	17
31	таким образом	14	17
32	вместе с	9	17
33	мы не	4	16
34	один из	5	15
35	у нас	2	14
36	мы видели	2	14
37	для нас	2	14
38	в них	11	14
39	как это	2	14
40	и не	19	14
41	и с	10	14
42	так что	4	13
43	и по	5	13
44	к этому	5	13
45	не может	8	13
46	еще не	8	13
47	как в	10	13
48	уже не	5	13
49	в которых	4	13
50	в некоторых	4	13
51	между собой	5	12
52	мы имеем	2	12
53	тем что	4	12
54	что на	3	11
55	а затем	3	11
56	мы увидим	2	11
57	в дом	2	11
58	не имеет	5	11
59	далеко не	3	11
60	его в	8	10
61	и других	5	10
62	так и	17	10
63	по существу	17	10
64	все же	12	10
65	что и	5	10
66	а также	5	10
67	в течение	2	10
68	или в	3	10
69	данном случае	2	9
70	о чем	4	9
71	том же	4	9
72	но в	16	9
73	к жизни	2	9
74	и все	10	9
75	что они	3	9
76	в честь	2	9
77	то же	18	9
78	но не	9	9
79	так же	7	8
80	после этого	2	8
81	того что	5	8
82	одно из	3	8
83	как уже	3	8
84	в данном	4	8
85	на себя	2	8
86	того чтобы	11	8
87	их в	6	8
88	же в	6	8
89	связи с	14	8
90	во всех	13	8
91	ее в	2	8
92	для того	12	8
93	в этих	6	8
94	в своем	8	7
95	мы должны	2	7
96	ничего не	9	7
97	не в	10	7
98	по этому	2	7
99	на них	2	7
100	животных и	2	7
101	было бы	2	7
102	до конца	5	7
103	из этих	5	7
104	в это	5	7
105	и как	12	7
106	это время	8	7
107	только в	12	7
108	связанные с	5	7
109	а не	7	7
110	с собой	2	6
111	в этой	3	6
112	и их	11	6
113	и у	8	6
114	друг друга	3	6
115	на этом	2	6
116	в их	9	6
117	только на	3	6
118	она не	2	6
119	к тому	6	6
120	в нем	28	6
121	так в	2	6
122	же как	2	6
123	все эти	12	6
124	связаны с	3	6
125	в качестве	6	6
126	чем в	3	6
127	но она	2	6
128	в одном	10	6
129	что здесь	2	6
130	на земле	2	6
131	в фольклоре	2	6
132	но они	3	6
133	и пр	2	6
134	и более	3	6
135	в таком	4	6
136	вопрос о	2	5
137	и потому	4	5
138	вплоть до	3	5
139	к себе	8	5
140	тогда когда	2	5
141	что он	2	5
142	прежде всего	28	5
143	и др	13	5
144	в разных	6	5
145	к ним	3	5
146	в свою	2	5
147	с этим	11	5
148	в то	13	5
149	в целом	2	5
150	для них	3	5
151	в связи	13	5
152	там где	4	5
153	не было	8	5
154	например в	7	5
155	тот же	4	5
156	в его	19	5
157	его с	2	5
158	в особенности	15	5
159	только для	2	5
160	и для	12	5
161	с другой	4	5
162	входит в	3	5
163	и к	4	5
164	отнюдь не	7	5
165	с ним	5	5
166	связь между	2	5
167	мы уже	17	5
168	в таких	2	4
169	как можно	3	4
170	которые в	2	4
171	чтобы они	4	4
172	и ее	4	4
173	в глаза	3	4
174	не был	2	4
175	влияние на	6	4
176	у них	4	4
177	всякого рода	3	4
178	здесь мы	4	4
179	его и	2	4
180	но эти	4	4
181	в основном	12	4
182	отличие от	3	4
183	в образе	8	4
184	не столько	2	4
185	могут быть	7	4
186	на землю	2	4
187	и до	7	4
188	нет но	3	4
189	не на	4	4
190	во всей	3	4
191	этого слова	2	4
192	во всяком	5	4
193	в основе	9	4
194	этого момента	2	4
195	и от	3	4
196	по своему	3	4
197	связанных с	3	4
198	к ней	2	4
199	и здесь	2	4
200	кроме того	7	4
201	та же	4	4
202	природы и	2	4
203	в отличие	3	4
204	но все	6	4
205	так называемый	2	4
206	их не	2	4
207	именно в	5	4
208	в котором	8	4
209	уже в	5	4
210	в ней	4	4
211	то время	4	4
212	по всем	3	4
213	иной характер	2	4
214	во всем	3	4
215	на этой	4	4
216	на основе	5	4
217	но он	4	4
218	никогда не	8	3
219	под землей	2	3
220	всех этих	9	3
221	ее по	3	3
222	его к	2	3
223	смерти и	2	3
224	том как	2	3
225	в одной	2	3
226	и поэтому	2	3
227	каждый из	2	3
228	в форме	5	3
229	то есть	42	3
230	есть и	4	3
231	того в	2	3
232	в виду	5	3
233	как он	4	3
234	в одно	3	3
235	они были	4	3
236	что все	4	3
237	и это	5	3
238	на другой	2	3
