N	2gram	Losev_Vlad	VeschiIm
1	не есть	4	79
2	и не	33	57
3	не только	35	48
4	то что	30	48
5	не может	12	46
6	и в	56	45
7	и есть	2	40
8	может быть	12	39
9	и т	3	39
10	т д	3	38
11	а не	5	37
12	что я	5	26
13	потому что	16	25
14	было бы	7	24
15	в себе	5	23
16	что она	2	23
17	по себе	3	23
18	только в	11	23
19	сказать что	14	22
20	и что	11	22
21	что такое	3	20
22	как бы	5	20
23	что это	2	19
24	но и	26	19
25	что же	11	19
26	все же	11	18
27	в этом	30	18
28	и это	4	17
29	прежде всего	5	17
30	так как	11	17
31	что мы	2	17
32	того что	6	16
33	таким образом	6	16
34	как раз	7	16
35	в том	26	15
36	как и	7	15
37	в ней	5	15
38	уже не	6	15
39	не в	12	14
40	и то	13	14
41	но это	6	14
42	том что	22	13
43	это и	2	13
44	и больше	3	13
45	и для	4	13
46	в самом	3	13
47	то ни	2	13
48	ничего не	4	12
49	иное как	2	12
50	совершенно не	2	12
51	что в	24	12
52	точки зрения	4	12
53	что и	6	12
54	что они	4	12
55	и как	7	12
56	не что	2	12
57	то же	10	12
58	еще не	2	12
59	что иное	2	12
60	и даже	23	12
61	о том	13	12
62	и с	27	12
63	есть нечто	2	12
64	бы то	2	12
65	еще и	10	11
66	в то	15	11
67	не менее	9	11
68	что не	3	11
69	вовсе не	8	11
70	себя в	6	11
71	тем не	8	11
72	также и	13	11
73	ни в	4	11
74	в чем	4	10
75	ясно что	2	10
76	это не	3	9
77	нисколько не	4	9
78	со стороны	5	9
79	так что	13	9
80	в своем	10	9
81	то и	3	9
82	она не	3	9
83	хотя бы	5	9
84	в результате	6	9
85	я и	2	9
86	у нас	11	9
87	на то	7	9
88	но не	5	9
89	ни с	6	9
90	но что	5	9
91	и его	12	9
92	с ним	10	9
93	в отношении	5	8
94	его в	3	8
95	и потому	8	8
96	указывает на	2	8
97	даже не	3	8
98	что он	22	8
99	но в	19	8
100	мы не	2	8
101	все это	7	8
102	можно сказать	10	8
103	мы имеем	2	8
104	если бы	2	8
105	с тем	4	8
106	в философии	2	8
107	для него	16	8
108	с другой	3	8
109	со своим	5	8
110	отнюдь не	3	8
111	от того	2	7
112	и тут	2	7
113	и тем	2	7
114	из них	3	7
115	рационализма и	2	7
116	а в	20	7
117	все эти	6	7
118	в сущности	2	7
119	е в	7	7
120	я не	8	7
121	никак не	6	7
122	тем что	2	7
123	с этой	4	7
124	без всякого	2	7
125	никогда не	15	6
126	в каком	3	6
127	для себя	6	6
128	когда мы	2	6
129	как я	2	6
130	и все	8	6
131	так или	3	6
132	больше того	2	6
133	даже больше	2	6
134	в нем	7	6
135	между ними	2	6
136	и до	4	6
137	в своей	7	6
138	как мы	17	6
139	и вообще	12	6
140	дело в	7	6
141	или иначе	3	6
142	их в	3	6
143	несмотря на	7	6
144	в той	2	6
145	жизни и	8	6
146	в одном	2	6
147	и если	8	5
148	да и	6	5
149	мы должны	3	5
150	а это	3	5
151	как к	4	5
152	и мы	6	5
153	свою очередь	2	5
154	вместе с	9	5
155	собственно говоря	4	5
156	как это	11	5
157	того же	11	5
158	даже и	12	5
159	и без	2	5
160	между прочим	18	5
161	то это	4	5
162	мы находим	2	5
163	один из	4	5
164	на себя	3	5
165	в его	18	5
166	хотя и	9	5
167	на это	2	5
168	во всех	4	5
169	в которой	8	5
170	с а	13	5
171	мысли и	5	5
172	об этом	13	5
173	и здесь	3	5
174	кроме того	12	5
175	в жизни	4	5
176	нет и	2	5
177	что у	4	5
178	что для	5	5
179	все что	2	5
180	знания и	3	5
181	в свою	3	5
182	только не	2	5
183	так же	4	4
184	и сама	2	4
185	и притом	5	4
186	к себе	2	4
187	в конце	22	4
188	отношение к	7	4
189	и у	4	4
190	я должен	2	4
191	в их	2	4
192	что вы	2	4
193	так и	11	4
194	что все	2	4
195	не мешает	2	4
196	в этой	4	4
197	более или	5	4
198	то время	6	4
199	не то	3	4
200	его на	4	4
201	того чтобы	4	4
202	то как	2	4
203	в качестве	7	4
204	не было	12	4
205	тот же	7	4
206	во всяком	8	4
207	с ними	2	4
208	и от	6	4
209	тут же	7	4
210	то в	6	4
211	с этим	3	4
212	дело не	3	4
213	и еще	3	4
214	с самим	2	4
215	к ней	7	4
216	на него	3	4
217	в особенности	4	4
218	и вот	5	4
219	по своей	4	4
220	его и	2	4
221	и о	6	4
222	но только	3	4
223	отношении к	2	4
224	время как	3	4
225	в котором	10	4
226	если это	2	4
227	никакого отношения	3	4
228	на этом	3	4
229	главным образом	5	4
230	или менее	5	4
231	еще более	3	4
232	же время	7	4
233	он не	13	4
234	и сам	7	4
235	о которой	3	4
236	ему не	2	3
237	для меня	8	3
238	а вот	3	3
239	но как	6	3
240	но даже	3	3
241	но она	4	3
242	и а	2	3
243	то мы	3	3
244	себе не	2	3
245	или о	2	3
246	в виде	4	3
247	только на	3	3
248	в частности	4	3
249	и ни	2	3
250	а с	5	3
251	по существу	4	3
252	бы на	2	3
253	к нему	6	3
254	к тому	5	3
255	с в	6	3
256	с которой	2	3
257	другой стороны	3	3
258	если не	4	3
259	же т	4	3
260	в целом	3	3
261	и во	3	3
262	в истории	4	3
263	из его	6	3
264	для тех	2	3
265	тем более	4	3
266	говорит что	4	3
267	в науке	3	3
268	но уже	3	3
269	только что	2	3
270	на меня	3	3
271	жизни в	3	3
272	кто не	2	3
273	для того	4	3
274	как в	6	3
275	ни к	2	3
276	нас в	2	3
277	не мог	10	3
278	но все	3	3
279	у него	28	3
280	не имеет	2	3
281	в своих	7	3
282	я в	4	3
283	выражение в	2	3
284	свидетельствует о	3	3
285	из этого	6	3
286	как нечто	2	3
287	отношения к	4	3
288	не к	2	3
289	с какой	2	3
290	у меня	3	3
291	этих двух	2	3
292	мы будем	4	3
293	мы уже	8	3
294	но он	7	3
295	прочим и	2	2
296	в свой	3	2
297	свое время	7	2
298	тем самым	2	2
299	а что	3	2
300	о чем	6	2
301	для нее	3	2
302	которого я	2	2
303	в полной	3	2
304	именно так	2	2
305	в это	6	2
306	то есть	5	2
307	не был	6	2
308	едва ли	3	2
309	конце концов	6	2
310	тех кто	2	2
311	но эта	2	2
312	на все	3	2
313	как он	4	2
314	но я	4	2
315	что если	3	2
316	у них	2	2
317	в свое	6	2
318	в с	7	2
319	на вопрос	2	2
320	его от	2	2
321	никак нельзя	3	2
322	даже вообще	2	2
323	совсем не	7	2
324	он говорит	2	2
325	уже в	9	2
326	не из	2	2
327	что на	2	2
328	последние годы	4	2
329	всяком случае	8	2
330	а а	7	2
331	же касается	8	2
332	не столько	4	2
333	и совершенно	2	2
334	имеет никакого	2	2
335	но тут	2	2
336	связи с	7	2
337	нужно сказать	2	2
338	в связи	9	2
339	того и	3	2
340	по вопросу	2	2
341	мы сказали	2	2
342	и можно	4	2
343	и который	2	2
344	меня не	2	2
345	но зато	2	2
