N	2gram	Bakhtin_Pr	VeschiIm
1	т е	44	81
2	не есть	4	79
3	и не	55	57
4	не только	26	48
5	то что	21	48
6	не может	26	46
7	и в	64	45
8	и есть	3	40
9	может быть	43	39
10	и т	14	39
11	т д	4	38
12	а не	29	37
13	что я	7	26
14	потому что	8	25
15	было бы	8	24
16	в себе	11	23
17	что она	7	23
18	по себе	16	23
19	только в	13	23
20	сказать что	4	22
21	и что	5	22
22	в смысле	3	22
23	и следовательно	7	20
24	что такое	2	20
25	как бы	33	20
26	и ее	5	19
27	с нею	2	19
28	что это	2	19
29	но и	26	19
30	что же	9	19
31	все же	11	18
32	в этом	33	18
33	и это	8	17
34	прежде всего	16	17
35	так как	9	17
36	того что	3	16
37	таким образом	15	16
38	как раз	9	16
39	в том	12	15
40	как и	25	15
41	в ней	2	15
42	уже не	15	15
43	не в	15	14
44	но это	6	14
45	том что	8	13
46	есть и	5	13
47	это и	5	13
48	и для	7	13
49	в самом	17	13
50	то ни	3	13
51	в себя	6	13
52	ничего не	8	12
53	совершенно не	5	12
54	что в	11	12
55	точки зрения	31	12
56	что и	7	12
57	есть то	3	12
58	и как	9	12
59	то же	18	12
60	ни было	4	12
61	еще не	10	12
62	между собою	5	12
63	и даже	5	12
64	о том	5	12
65	если мы	3	12
66	и с	9	12
67	есть нечто	2	12
68	не значит	4	12
69	бы то	3	12
70	в то	15	11
71	не менее	3	11
72	что не	3	11
73	вовсе не	12	11
74	себя в	3	11
75	тем не	2	11
76	и их	3	11
77	и пр	5	11
78	также и	3	11
79	ни в	5	11
80	и только	3	11
81	крайней мере	2	10
82	что оно	2	10
83	по крайней	2	10
84	это не	12	9
85	нисколько не	3	9
86	так что	6	9
87	в своем	12	9
88	то и	3	9
89	она не	10	9
90	бы и	6	9
91	должно быть	8	9
92	хотя бы	4	9
93	бы в	7	9
94	в результате	7	9
95	я и	2	9
96	если оно	3	9
97	у нас	3	9
98	на то	5	9
99	но не	12	9
100	и его	21	9
101	с ним	8	9
102	в отношении	5	8
103	его в	8	8
104	и потому	7	8
105	указывает на	2	8
106	и явления	2	8
107	что он	15	8
108	но в	14	8
109	в ее	2	8
110	мы не	4	8
111	себя и	5	8
112	все это	9	8
113	должна быть	8	8
114	можно сказать	2	8
115	с другими	8	8
116	отличается от	5	8
117	в свете	4	8
118	если бы	12	8
119	для него	23	8
120	с другой	7	8
121	со своим	2	8
122	не потому	2	7
123	от того	4	7
124	из них	3	7
125	самом деле	10	7
126	а в	10	7
127	все эти	13	7
128	в сущности	10	7
129	е в	3	7
130	я не	6	7
131	никак не	4	7
132	сама по	5	7
133	слова и	8	7
134	тем что	6	7
135	вообще не	2	7
136	с этой	2	7
137	ни на	3	7
138	оно не	3	7
139	никогда не	11	6
140	вопрос о	3	6
141	как же	6	6
142	она имеет	2	6
143	для себя	3	6
144	от ее	3	6
145	ведь и	4	6
146	и все	6	6
147	в нем	28	6
148	между ними	6	6
149	должны быть	3	6
150	и до	6	6
151	в своей	11	6
152	как мы	13	6
153	одна из	5	6
154	в данном	2	6
155	можно было	3	6
156	дело в	2	6
157	все равно	2	6
158	на почве	5	6
159	этот вопрос	4	6
160	их в	8	6
161	несмотря на	7	6
162	в той	5	6
163	жизни и	3	6
164	с собою	4	6
165	с точки	21	6
166	в одном	20	6
167	и если	2	5
168	да и	2	5
169	мы должны	3	5
170	как к	3	5
171	и мы	2	5
172	того же	3	5
173	на себе	3	5
174	точка зрения	13	5
175	то это	3	5
176	один из	3	5
177	мы ее	2	5
178	на себя	4	5
179	мы видим	3	5
180	в его	30	5
181	хотя и	5	5
182	быть и	2	5
183	для этого	3	5
184	е не	2	5
185	в чисто	3	5
186	во всех	4	5
187	в которой	2	5
188	мысли и	6	5
189	об этом	3	5
190	и здесь	6	5
191	кроме того	5	5
192	ее с	2	5
193	или как	8	5
194	в жизни	5	5
195	подобно тому	3	5
196	что у	2	5
197	что для	2	5
198	все что	4	5
199	как можно	2	5
200	в настоящем	2	5
201	только не	2	5
202	тому как	3	5
203	если же	7	5
