N	2gram	Propp_Russ	Sotsiolo
1	все это	12	7
2	в том	33	5
3	в этом	18	5
4	для нас	12	3
5	не только	28	3
6	в его	3	3
7	не в	2	3
8	и в	59	3
9	дело не	2	2
10	еще не	7	2
11	только в	4	2
12	что в	35	2
13	в частности	2	2
14	том что	33	2
15	было бы	3	2
16	таким образом	10	2
17	то же	6	2
18	только как	2	2
19	как будто	6	2
20	и что	8	2
21	как только	2	2
22	то что	10	2
23	как бы	18	2
24	но и	20	2
25	главным образом	5	2
26	очевидно что	2	2
27	или даже	3	2
28	далеко не	5	2
29	может быть	14	2
30	по существу	7	2
