N	3gram	Losev_Vesc	Myshleni
1	в том что	9	133
2	с точки зрения	6	89
3	для того чтобы	2	78
4	заключается в том	3	51
5	по сравнению с	7	45
6	с одной стороны	3	39
7	так же как	2	39
8	друг с другом	2	35
9	в этом отношении	2	30
10	можно было бы	3	28
11	с другой стороны	3	26
12	в собственном смысле	3	26
13	вместе с тем	3	26
14	о том что	4	25
15	на то что	7	25
16	не может быть	22	23
17	к тому что	2	22
18	в то время	4	22
19	можно сказать что	3	21
20	не только не	4	21
21	то время как	4	20
22	из того что	3	19
23	в самом деле	7	19
24	во всяком случае	2	18
25	в этом смысле	2	18
26	этой точки зрения	3	17
27	с этой точки	3	16
28	в данном случае	2	15
29	бы сказать что	2	15
30	и то что	5	15
31	мы видели что	3	14
32	в свою очередь	5	14
33	подобно тому как	5	14
34	то и другое	6	13
35	это значит что	25	13
36	тем не менее	11	12
37	одно и то	5	12
38	в том чтобы	2	12
39	и то же	5	12
40	мы не можем	3	11
41	только тогда когда	2	11
42	от того что	4	10
43	сама по себе	7	9
44	само по себе	4	9
45	более или менее	4	9
46	том что он	2	9
47	сам по себе	4	8
48	то что он	2	8
49	в первом случае	2	7
50	содержит в себе	11	7
51	о том как	4	7
52	вопрос о том	2	7
53	как раз в	2	7
54	той и другой	2	7
55	не что иное	12	6
56	что иное как	12	6
57	то что мы	3	6
58	и таким образом	2	6
59	мы находим в	2	6
60	в этом и	2	6
61	и в частности	2	6
62	только то что	3	6
63	не может не	3	5
64	в конце концов	2	5
65	в свое время	2	5
66	но все же	2	5
67	в то же	5	5
68	и в этом	2	5
69	есть прежде всего	4	5
70	сами по себе	3	5
71	не только в	5	5
72	указывает на то	3	5
73	есть не что	8	4
74	так что в	3	4
75	вбирает в себя	3	4
76	мы имеем дело	2	4
77	не потому что	5	4
78	мы видим что	2	4
79	бы то ни	12	3
80	остановиться на этом	2	3
81	то что является	4	3
82	то ни было	12	3
83	потому что они	4	3
84	того что она	2	3
85	так как мы	2	3
86	не мог бы	2	3
87	тех или иных	2	3
88	как раз и	2	3
89	она не может	3	3
90	в применении к	2	3
91	а следовательно и	2	3
92	хотя бы и	2	3
93	но то что	3	3
94	то же время	4	3
95	у нас в	2	3
96	дело в том	4	3
97	не имеет никакого	2	3
98	хотя бы в	2	3
99	то что я	2	2
100	и не только	6	2
101	то что эта	2	2
102	все же не	3	2
103	ни в каком	6	2
104	если это так	2	2
105	что оно есть	5	2
106	и с другой	2	2
107	сказать что оно	2	2
108	что только в	2	2
109	на действительность и	2	2
110	какого бы то	2	2
111	нельзя было бы	2	2
112	ту или иную	3	2
113	что мы имеем	2	2
114	в той или	2	2
115	нужно было бы	2	2
116	мы говорим что	3	2
117	в чем же	5	2
118	не только к	2	2
119	то что у	2	2
120	в одном и	2	2
121	это и значит	4	2
122	в себе в	4	2
