N	2gram	Bakhtin_fo	slovoVRo
1	и в	84	92
2	в романе	40	89
3	и т	21	82
4	т п	18	72
5	то есть	42	64
6	в нем	28	59
7	может быть	18	59
8	и его	26	59
9	и не	19	51
10	не только	16	44
11	не может	8	41
12	но и	14	39
13	до конца	5	37
14	в этом	41	36
15	а не	7	34
16	во всех	13	32
17	так и	17	30
18	точки зрения	14	30
19	могут быть	7	29
20	и др	13	29
21	в пределах	8	29
22	в роман	6	27
23	в его	19	27
24	романного жанра	2	26
25	все это	10	25
26	слова и	4	24
27	как бы	11	24
28	то же	18	23
29	и на	13	22
30	не в	10	21
31	в сущности	5	21
32	как в	10	21
33	вовсе не	20	21
34	в то	13	20
35	в процессе	4	20
36	прежде всего	28	19
37	как мы	19	19
38	или иной	4	18
39	как и	15	18
40	себя в	2	18
41	же время	13	18
42	с ним	5	18
43	все же	12	17
44	оно не	3	17
45	все эти	12	17
46	в истории	6	17
47	в основе	9	17
48	и даже	5	17
49	в большинстве	3	17
50	таким образом	14	17
51	к своему	2	16
52	отличие от	3	16
53	при этом	8	16
54	в них	11	16
55	но в	16	16
56	там где	4	15
57	той или	3	15
58	и с	10	15
59	в той	5	15
60	с точки	9	15
61	человек и	2	15
62	в отличие	3	14
63	романа и	4	14
64	рыцарского романа	2	14
65	так сказать	14	14
66	только в	12	14
67	это не	8	13
68	и следовательно	5	13
69	точка зрения	4	13
70	рядом с	4	13
71	с его	10	13
72	европейского романа	4	13
73	в особенности	15	13
74	и для	12	13
75	с другой	4	13
76	на фоне	3	13
77	никогда не	8	12
78	в отношении	5	12
79	и потому	4	12
80	отношение к	5	12
81	а в	6	12
82	или в	3	12
83	во всяком	5	12
84	словом и	2	12
85	и наконец	6	12
86	рыцарский роман	6	12
87	еще не	8	12
88	и к	4	12
89	один из	5	11
90	большинстве случаев	2	11
91	одной стороны	3	11
92	в этих	6	11
93	всех его	2	11
94	с одной	5	11
95	для него	5	11
96	все они	4	10
97	в своем	8	10
98	и их	11	10
99	в том	16	10
100	и все	10	10
101	она не	2	10
102	в себе	7	10
103	с другими	3	10
104	всех этих	9	10
105	в него	2	10
106	т д	3	10
107	лишь в	8	10
108	далеко не	3	10
109	уже не	5	10
110	его в	8	9
111	и от	3	9
112	и других	5	9
113	в основном	12	9
114	более того	4	9
115	здесь в	6	9
116	в их	9	9
117	в своей	2	9
118	сказать что	4	9
119	одна из	3	9
120	так как	12	9
121	поэтому и	4	9
122	с ее	7	9
123	героя и	7	9
124	но не	9	9
125	романа в	7	9
126	в смысле	5	9
127	на почве	2	9
128	конечно не	7	9
129	он не	6	9
130	быть и	4	9
131	не могут	4	8
132	в одной	2	8
133	человека и	15	8
