N	2gram	Potebnia_M	Dialekti
1	не есть	13	181
2	и не	34	120
3	и т	10	82
4	по себе	24	79
5	а не	38	78
6	и в	58	77
7	т д	6	75
8	точки зрения	8	72
9	может быть	47	71
10	не только	32	66
11	то что	24	59
12	и есть	4	55
13	ничего не	2	54
14	не может	30	53
15	и даже	4	47
16	так как	29	46
17	с точки	4	46
18	есть нечто	7	46
19	что это	5	46
20	потому что	89	45
21	стало быть	6	44
22	как бы	12	43
23	ни в	2	42
24	и что	13	42
25	не имеет	9	41
26	вовсе не	13	41
27	в том	38	40
28	что такое	3	39
29	в этом	18	39
30	то же	13	39
31	в себе	22	38
32	что она	3	38
33	том что	21	37
34	что он	5	37
35	прежде всего	8	37
36	это не	10	36
37	так что	23	36
38	она есть	3	35
39	что в	34	34
40	в нем	26	34
41	и все	6	33
42	того что	15	33
43	но и	26	32
44	все это	3	31
45	и как	11	30
46	сказать что	5	30
47	так и	17	29
48	было бы	21	29
49	как и	16	28
50	никогда не	7	27
51	крайней мере	6	26
52	по крайней	6	26
53	в виду	2	26
54	не в	23	26
55	сама по	4	26
56	есть только	16	25
57	есть не	7	25
58	и то	4	25
59	если бы	23	24
60	но это	7	24
61	есть всегда	2	24
62	в то	6	23
63	что оно	5	23
64	таким образом	21	23
65	но что	2	22
66	она не	3	21
67	что не	15	21
68	должна быть	4	21
69	в чем	6	21
70	допустим что	2	21
71	в каком	7	20
72	только тогда	7	20
73	что все	4	20
74	только в	36	20
75	и вообще	5	20
76	что и	16	20
77	о том	6	20
78	уже не	4	20
79	и с	3	20
80	в таком	7	20
81	и притом	6	19
82	в своем	3	19
83	что мы	11	19
84	не менее	10	19
85	и это	3	19
86	тогда когда	15	19
87	в самом	5	19
88	не существует	2	19
89	и его	7	19
90	иное как	2	18
91	не что	2	18
92	что иное	2	18
93	что же	3	18
94	с другой	13	18
95	хотя бы	4	18
96	же время	4	18
97	жизни и	3	18
98	но если	4	17
99	в сущности	2	17
100	должно быть	9	17
101	он есть	3	17
102	в своей	3	16
103	мы не	17	16
104	нет ничего	2	16
105	только не	2	16
106	сам по	5	16
107	или не	3	16
108	к нему	2	16
109	то это	8	16
110	тем не	11	16
111	само по	6	16
112	и о	3	15
113	то в	6	15
114	сознания и	2	15
115	только что	4	15
116	но только	2	15
117	все же	11	15
118	так же	7	15
119	самом деле	2	15
120	хотя и	6	15
121	на то	5	15
122	несмотря на	5	15
123	или нет	3	14
124	и потому	7	14
125	д и	2	14
126	ни с	2	14
127	таком случае	4	14
128	с ним	7	14
129	даже и	4	14
130	не было	7	14
131	и только	6	14
132	и следовательно	4	13
133	не то	3	13
134	но в	12	13
135	в ней	9	13
136	время как	2	13
137	он не	4	13
138	что именно	2	13
139	собственно говоря	2	13
140	мы находим	3	13
141	что они	6	13
142	другой стороны	7	13
143	с ее	2	13
144	субъекта и	4	13
145	в смысле	4	13
146	вопрос о	5	12
147	могут быть	17	12
148	еще не	9	12
149	все эти	3	12
150	никак не	3	12
151	и объекта	4	12
152	именно в	2	12
153	и если	6	12
154	не могут	10	12
155	но как	4	12
156	но тогда	3	12
157	а в	11	12
158	тем более	2	12
159	и может	5	12
160	с этим	11	12
161	и тогда	2	12
162	но не	19	12
163	мы должны	4	11
164	нисколько не	2	11
165	должны быть	11	11
