N	2gram	Voloshinov	UchenyiS
1	и в	13	14
2	формальный метод	2	11
3	не только	6	10
4	а не	2	10
5	и не	8	8
6	прежде всего	9	8
7	то что	6	7
8	не может	8	7
9	в этом	2	7
10	эстетического объекта	5	6
11	в искусстве	3	6
12	может быть	8	6
13	то же	4	5
14	хотя бы	5	5
15	стилистических приемов	6	5
16	все это	4	5
17	художественное произведение	2	5
18	но и	3	4
19	с другой	2	4
20	в их	3	4
21	истории литературы	2	3
22	и т.д	5	3
23	вряд ли	3	3
24	и то	3	3
25	в своей	4	3
26	все же	5	3
27	не как	3	3
28	как и	3	3
29	но в	4	3
30	к сожалению	2	3
31	было бы	4	3
32	в области	2	3
33	другой стороны	2	3
34	для него	2	3
35	в самом	2	2
36	в себе	3	2
37	материала и	3	2
38	таким образом	6	2
39	и для	3	2
40	если бы	2	2
41	между тем	2	2
42	самом деле	3	2
43	только в	6	2
44	и является	2	2
45	вопроса о	4	2
46	могут быть	2	2
47	превращается в	3	2
48	тем что	2	2
49	том что	2	2
50	а как	2	2
51	в его	7	2
52	в том	2	2
53	художественного произведения	5	2
54	не в	3	2
55	художественных произведений	2	2
56	в шкловского	2	2
57	мы не	4	2
58	не столько	3	2
