N	3gram	Trubetskoy	Vladivir
1	в том что	16	29
2	о том что	4	22
3	тем не менее	4	18
4	что же касается	2	14
5	и то что	3	14
6	в то время	2	13
7	во всяком случае	2	12
8	в связи с	3	12
9	более или менее	8	11
10	в конце концов	4	11
11	к тому же	5	11
12	в то же	2	10
13	с точки зрения	8	10
14	не может быть	4	10
15	вместе с тем	3	10
16	то же время	2	9
17	на то что	7	8
18	том что он	2	6
19	в данном случае	3	6
20	в настоящее время	3	6
21	с другой стороны	4	6
22	так или иначе	5	6
23	бы то ни	3	5
24	и в том	2	5
25	в том же	3	4
26	заключается в том	3	4
27	с одной стороны	2	4
28	для того чтобы	7	4
29	в том случае	4	3
30	ничего общего с	2	3
31	только то что	2	3
32	в самом деле	5	3
33	ко всему этому	2	3
34	что несмотря на	2	3
35	а с другой	2	3
36	мы знаем что	7	3
37	у него с	2	3
38	в свою очередь	2	3
39	но вместе с	2	2
40	сих пор не	5	2
41	может быть и	4	2
42	но и его	2	2
43	том случае если	4	2
44	так же как	3	2
45	в том и	2	2
46	то что это	2	2
47	до сих пор	15	2
48	не может не	3	2
49	совершенно так же	4	2
50	а следовательно и	2	2
51	при таких условиях	2	2
52	то что у	2	2
53	в этой области	4	2
54	в этом случае	4	2
55	то ни было	3	2
56	и без того	4	2
57	нечего и говорить	3	2
58	в вопросе о	2	2
