N	3gram	Vygotskiy_	Stilisti
1	для того чтобы	41	7
2	в зависимости от	7	7
3	и то же	4	5
4	с точки зрения	5	5
5	одно и то	3	5
6	мы никогда не	5	5
7	заключает в себе	6	4
8	с самого начала	5	4
9	то же самое	8	4
10	одной и той	4	4
11	той или иной	2	4
12	и той же	4	4
13	то что мы	2	4
14	в этом случае	2	3
15	в конце концов	6	3
16	на самом деле	8	3
17	как бы в	3	3
18	не только в	5	3
19	вместе с тем	4	2
20	все то что	6	2
21	мы увидим что	7	2
22	что иное как	2	2
23	зависимости от того	4	2
24	и как бы	4	2
25	и тем же	3	2
26	в самом деле	8	2
27	в этом отношении	3	2
28	к тому что	8	2
29	можно сказать что	3	2
30	та же самая	2	2
31	по отношению к	2	2
32	о том что	15	2
33	мы видим что	5	2
34	не что иное	2	2
35	не может быть	4	2
36	равно как и	2	2
