N	2gram	Medvedev_F	Sotsiolo
1	истории литературы	18	10
2	все это	11	7
3	в том	17	5
4	в этом	39	5
5	социологический метод	5	4
6	развития литературы	2	4
7	метод в	8	4
8	не только	14	3
9	и только	5	3
10	в его	30	3
11	но ведь	4	3
12	не в	16	3
13	и в	54	3
14	социологического метода	7	3
15	о литературе	9	3
16	литературы и	6	2
17	это и	7	2
18	должна быть	11	2
19	отношению к	4	2
20	по отношению	4	2
21	еще не	6	2
22	только в	6	2
23	в литературоведении	4	2
24	что в	10	2
25	в частности	4	2
26	том что	3	2
27	было бы	10	2
28	таким образом	28	2
29	в смысле	2	2
30	то же	16	2
31	только как	3	2
32	и что	2	2
33	конце концов	2	2
34	к которому	2	2
35	нужно было	2	2
36	то что	14	2
37	и заключается	2	2
38	как бы	10	2
39	но и	18	2
40	главным образом	5	2
41	историка литературы	4	2
42	исторической жизни	2	2
43	очевидно что	2	2
44	в конце	2	2
45	за пределы	2	2
46	или даже	3	2
47	далеко не	2	2
48	может быть	30	2
49	по существу	8	2
50	метод и	3	2
51	в результате	8	2
