N	2gram	Tiupa_Anal	Narrotol
1	не только	30	62
2	и не	33	50
3	при этом	20	47
4	но и	29	45
5	а не	25	38
6	в качестве	38	35
7	в частности	32	31
8	может быть	33	30
9	и в	30	30
10	в том	36	29
11	своего рода	12	28
12	том что	21	28
13	тогда как	30	28
14	в этом	31	28
15	а в	11	27
16	такого рода	6	26
17	состоит в	16	25
18	представляет собой	23	25
19	только в	8	25
20	в данном	6	24
21	как и	23	24
22	не в	17	23
23	то что	11	23
24	то есть	19	22
25	в тексте	26	22
26	не может	26	20
27	в рассказе	2	18
28	данном случае	3	17
29	в себе	17	17
30	так и	16	17
31	а также	8	17
32	со стороны	5	16
33	в его	15	16
34	но в	11	15
35	можно сказать	6	15
36	иначе говоря	17	15
37	к тому	12	15
38	и т.п	13	15
39	и его	9	14
40	в своем	2	13
41	в своей	7	13
42	то же	12	13
43	времени и	7	13
44	у него	5	13
45	о том	11	13
46	уже не	6	13
47	картины мира	2	12
48	все же	4	12
49	прежде всего	8	12
50	как в	3	12
51	на протяжении	2	12
52	как бы	15	12
53	сводится к	6	12
54	тем самым	9	11
55	по отношению	10	11
56	и тем	4	11
57	героя в	2	11
58	отличие от	8	11
59	в нем	3	11
60	в этой	12	11
61	если бы	6	11
62	отношению к	9	11
63	в отличие	8	11
64	в мире	14	11
65	хотя и	4	11
66	никогда не	4	10
67	всего лишь	11	10
68	в то	10	10
69	и т.д	4	10
70	ничего не	10	10
71	как это	5	10
72	один из	4	10
73	точки зрения	10	10
74	того что	5	10
75	как правило	7	10
76	не является	3	10
77	и все	5	10
78	но не	13	10
79	коммуникативного события	15	10
80	тому же	6	10
81	между тем	7	10
82	с его	3	10
83	во времени	6	9
84	в соответствии	2	9
85	еще не	5	9
86	что он	3	9
87	коммуникативное событие	6	9
88	что в	7	9
89	отнюдь не	22	9
90	не сводится	2	9
91	в рамках	5	9
92	тем не	3	9
93	той или	8	9
94	для него	5	9
95	далеко не	6	9
96	столь же	7	9
97	я в	5	9
98	потому что	3	9
99	с ним	6	9
100	как раз	5	9
101	или иной	8	8
102	о чем	3	8
103	самом деле	3	8
104	но при	2	8
105	не менее	5	8
106	того чтобы	3	8
107	мы имеем	9	8
108	мира в	2	8
109	этом отношении	5	8
110	по мысли	3	8
111	в литературе	4	8
112	и для	3	8
113	в самом	12	8
114	и к	5	8
115	соответствии с	3	8
116	внимание на	3	8
117	в той	8	8
118	же время	7	8
119	в таком	5	8
120	он не	4	8
121	не мог	3	8
122	это не	7	7
123	встречи с	3	7
124	вслед за	3	7
125	при всей	4	7
126	в конце	4	7
127	едва ли	4	7
128	в принципе	8	7
129	в чем	2	7
130	одного из	4	7
131	на себя	5	7
132	в целом	9	7
133	в ее	2	7
134	человеческого я	3	7
135	имеет место	6	7
136	и состоит	5	7
137	в речи	3	7
138	в силу	4	7
139	также и	3	7
140	с другой	7	7
141	в котором	5	7
142	и на	10	7
143	или в	2	7
144	одной стороны	6	6
145	вплоть до	2	6
146	о нем	4	6
147	в состав	3	6
148	в сознании	6	6
149	и пространстве	5	6
150	ответ на	3	6
151	однако в	4	6
152	в известном	2	6
153	между двумя	7	6
154	что и	5	6
155	представляют собой	4	6
156	главного героя	3	6
157	сказать что	2	6
158	никак не	2	6
159	известном смысле	2	6
160	то в	2	6
161	то и	2	6
162	из этих	2	6
163	здесь не	2	6
164	в результате	3	6
165	уже говорилось	5	6
166	на него	3	6
167	с одной	7	6
168	в нашем	3	6
169	на то	2	6
170	в конечном	6	6
171	к его	3	6
172	все что	3	6
173	повествования в	2	6
174	присутствия в	4	6
175	в случае	7	6
176	таким образом	5	6
177	имеем дело	7	6
178	о жизни	3	5
179	на самом	2	5
180	для нее	2	5
181	такова что	2	5
182	в другом	4	5
183	не всегда	4	5
184	а именно	3	5
185	или напротив	3	5
186	художественного письма	2	5
187	дело с	5	5
188	и о	3	5
189	к нему	4	5
190	может служить	3	5
191	высказывания в	4	5
192	свидетельствует о	4	5
193	место в	3	5
194	являет собой	4	5
195	между собой	2	5
196	не столько	5	5
197	исходя из	5	5
198	было бы	4	5
199	я не	2	5
200	да и	2	5
201	и то	4	5
202	по поводу	4	5
203	или не	2	5
204	читателя в	3	5
205	с ними	2	5
206	в начале	3	5
207	тем более	2	5
208	в равной	4	5
209	себя в	8	5
210	с ее	2	5
211	и даже	10	5
212	в центре	3	5
213	стало быть	2	5
214	подобно тому	5	5
215	для того	4	5
216	вследствие этого	5	5
217	в пределах	11	5
218	в какой	3	5
219	не случайно	11	5
220	за пределами	3	5
221	именно в	6	5
222	человек в	3	5
223	если не	2	5
224	еще в	4	5
225	из них	2	5
226	тому как	5	5
227	в одном	3	5
228	и того	5	5
229	и сам	4	5
230	как будто	6	5
231	даже в	5	4
232	не о	3	4
233	в ответ	2	4
234	роль в	3	4
235	в виду	2	4
236	в ходе	5	4
237	как он	4	4
238	в области	4	4
239	только на	3	4
240	в аспекте	4	4
241	не являются	2	4
242	другого сознания	3	4
243	тому что	2	4
244	мы узнаем	2	4
245	а то	3	4
246	ему в	3	4
247	жизненной позиции	5	4
248	что на	3	4
249	не будет	3	4
250	что касается	4	4
251	не все	3	4
252	о своей	2	4
253	и по	2	4
254	равной степени	2	4
255	в первом	3	4
256	который в	3	4
257	как мы	3	4
258	в основе	6	4
259	в поле	4	4
260	хотя бы	4	4
261	могла бы	3	4
262	к этому	2	4
263	конечном счете	5	4
264	и адресата	2	4
265	и как	6	4
266	повествования и	3	4
267	в эпизоде	5	4
268	ведет к	3	4
269	не с	8	4
270	с позиции	2	4
271	внутренней речи	9	4
272	для себя	3	4
273	строго говоря	3	4
274	не вполне	2	4
275	и с	2	4
276	по себе	6	4
277	самого рассказывания	4	4
278	несмотря на	5	4
279	по своей	6	4
280	не говорит	2	4
281	или даже	3	4
282	в себя	8	4
283	не к	3	4
284	встрече с	4	4
285	в обоих	3	4
286	текста в	18	4
287	вместе с	6	4
288	ни о	3	3
289	и потому	2	3
290	сознания в	4	3
291	в ситуации	3	3
292	различного рода	3	3
293	при встрече	4	3
294	каждый из	3	3
295	как к	2	3
296	должен быть	6	3
297	внутреннего зрения	9	3
298	с этой	2	3
299	события в	2	3
300	а как	4	3
301	как известно	4	3
302	текста и	10	3
303	и составляет	2	3
304	в романе	2	3
305	в кадры	2	3
306	не знает	4	3
307	а с	3	3
308	одно из	2	3
309	одной из	2	3
310	как уже	5	3
311	чем и	3	3
312	речь повествователя	2	3
313	по природе	4	3
314	самим собой	3	3
315	обращает на	3	3
316	же не	3	3
317	что не	3	3
318	очевидным образом	2	3
319	все эти	3	3
320	той же	4	3
321	и самого	3	3
322	связи с	2	3
323	и тогда	3	3
324	в связи	2	3
325	времени в	4	3
326	и т	3	3
327	для обозначения	2	3
328	речь идет	2	3
329	особенно в	9	3
330	о его	5	3
331	или иного	3	3
332	произведения как	8	3
333	первом случае	2	3
334	того или	3	3
335	речь самого	2	3
336	текста как	2	3
337	в первой	2	3
338	бы быть	3	3
339	и представляет	4	3
340	появляется в	2	3
341	дело не	5	3
342	в которой	3	3
343	от которого	4	3
344	героя к	2	3
345	дискурса как	2	3
346	во второй	3	3
347	природе своей	3	3
348	лишь в	12	3
349	бы не	3	3
350	в противовес	3	3
351	в культуре	3	3
352	в этих	3	3
353	все равно	2	3
354	перед лицом	6	3
355	со своей	2	3
356	не должен	2	3
357	восходит к	2	3
358	это была	2	3
359	в роли	4	3
