N	2gram	Potebnia_M	Tragedij
1	и в	58	18
2	в этом	18	9
3	не только	32	8
4	и не	34	7
5	и на	8	7
6	как бы	12	7
7	и с	3	7
8	может быть	47	7
9	же время	4	6
10	что он	5	6
11	но в	12	6
12	и его	7	6
13	у него	3	6
14	несмотря на	5	5
15	что это	5	5
16	все же	11	5
17	это не	10	5
18	то же	13	5
19	как и	16	5
20	так и	17	5
21	не может	30	5
22	в то	6	5
23	что в	34	4
24	еще не	9	4
25	в целом	3	4
26	но и	26	4
27	прежде всего	8	4
28	том что	21	4
29	в этой	3	4
30	и что	13	4
31	так же	7	4
32	и все	6	4
33	все это	3	4
34	в нем	26	4
35	что я	2	4
36	то что	24	4
37	но это	7	4
38	и даже	4	4
39	в себе	22	4
40	один из	2	3
41	что за	3	3
42	и как	11	3
43	в мире	3	3
44	уже в	5	3
45	тем самым	6	3
46	к нему	2	3
47	в своем	3	3
48	при этом	17	3
49	в его	7	3
50	что с	3	3
51	все эти	3	3
52	мог бы	5	3
53	с ее	2	3
54	как будто	2	3
55	никто не	3	3
56	должно быть	9	3
57	как в	18	3
58	для него	13	3
59	то есть	69	3
60	с ним	7	3
61	никогда не	7	2
62	в самом	5	2
63	и то	4	2
64	но все	4	2
65	по поводу	7	2
66	с тем	9	2
67	боли и	2	2
68	одна из	4	2
69	точно так	18	2
70	друг друга	6	2
71	тем что	15	2
72	в душе	28	2
73	вопрос о	5	2
74	в одном	13	2
75	его в	3	2
76	не имеет	9	2
77	ничего не	2	2
78	то и	15	2
79	не могут	10	2
80	в ее	2	2
81	что все	4	2
82	вряд ли	2	2
83	к тому	5	2
84	а как	3	2
85	о том	6	2
86	о его	2	2
87	что и	16	2
88	ни в	2	2
89	не в	23	2
90	столь же	6	2
91	потому что	89	2
92	вместе со	3	2
93	между этими	2	2
94	одном из	3	2
95	только о	2	2
96	в таком	7	2
97	так что	23	2
98	он не	4	2
99	ничем не	2	2
100	под влиянием	10	2
101	в первом	5	2
102	уже не	4	2
103	что она	3	2
104	по мнению	4	2
105	и это	3	2
106	если б	7	2
107	не так	6	2
108	из своих	2	2
109	в том	38	2
110	в глазах	4	2
111	но при	3	2
112	не мог	3	2
113	с его	3	2
