N	2gram	Voloshinov	VelikijI
1	и не	10	20
2	и в	12	16
3	так как	9	9
4	то что	5	9
5	еще не	3	8
6	и потому	2	7
7	а не	5	7
8	не есть	2	6
9	как бы	13	5
10	но и	3	5
11	все это	3	5
12	того что	3	5
13	и все	2	4
14	как и	5	4
15	в котором	3	4
16	в нем	6	4
17	в ней	6	4
18	что не	4	4
19	что мы	5	4
20	в его	2	4
21	в этом	4	4
22	так и	4	4
23	никогда не	5	3
24	в жизни	5	3
25	что в	2	3
26	в том	6	3
27	и для	3	3
28	но в	5	3
29	ни в	3	3
30	нет ничего	2	3
31	но это	2	3
32	оно не	2	3
33	хотя бы	5	3
34	в своей	3	3
35	нас и	2	3
36	в них	3	3
37	жизни и	4	3
38	как не	2	3
39	что и	2	3
40	и что	2	3
41	не в	4	3
42	все эти	3	3
43	в этих	2	3
44	должна быть	5	3
45	в чем	2	3
46	с его	2	3
47	и то	2	2
48	да и	3	2
49	не так	2	2
50	но не	2	2
51	ее и	3	2
52	это не	2	2
53	не только	4	2
54	том что	5	2
55	его к	2	2
56	но мы	2	2
57	а к	2	2
58	есть уже	2	2
59	уже не	4	2
60	могут быть	2	2
61	не к	3	2
62	значения и	2	2
63	мы не	3	2
64	конечно не	3	2
65	только в	6	2
66	в форме	2	2
67	для нас	7	2
68	в себя	2	2
69	прежде всего	8	2
70	с ним	3	2
71	между тем	3	2
72	для него	3	2
