N	3gram	Vinokur_St	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	2	7
3	с точки зрения	10	6
4	во всяком случае	8	6
5	для того чтобы	13	5
6	по крайней мере	2	5
7	до сих пор	12	5
8	в том числе	3	5
9	более или менее	2	5
10	но все же	3	4
11	к тому же	2	4
12	о том что	19	4
13	том числе и	2	4
14	в конце концов	2	3
15	так же как	5	3
16	точно так же	2	3
17	так или иначе	3	3
18	всяком случае не	2	3
19	тем не менее	4	3
20	в том что	29	3
21	но все это	2	2
22	и в этом	4	2
23	бы то ни	2	2
24	ничего общего с	3	2
25	на то что	5	2
26	то или иное	3	2
27	то что он	3	2
28	в то же	5	2
29	может быть и	2	2
30	то же время	5	2
31	с самого начала	3	2
32	в этом отношении	13	2
