N	2gram	Savitsky_E	Literetu
1	а не	2	50
2	и не	14	47
3	не только	18	46
4	и в	37	44
5	может быть	6	43
6	но и	14	41
7	в том	11	39
8	в этом	12	38
9	том что	6	32
10	в частности	5	30
11	то что	6	29
12	в мире	2	28
13	в качестве	14	27
14	то же	15	26
15	как и	7	23
16	в то	16	23
17	не в	5	22
18	так и	10	22
19	того что	7	22
20	не может	9	22
21	же время	14	21
22	в себе	9	20
23	прежде всего	9	19
24	как бы	6	18
25	то есть	6	17
26	точки зрения	23	17
27	в его	2	17
28	с другой	7	17
29	в этой	2	16
30	тем самым	5	15
31	со стороны	5	15
32	только в	9	15
33	и даже	6	14
34	в своем	14	13
35	как это	4	13
36	с одной	8	13
37	но не	5	13
38	всего лишь	3	12
39	в данном	3	12
40	в своей	8	12
41	а также	7	12
42	о том	3	12
43	одной стороны	8	12
44	никогда не	3	11
45	данном случае	2	11
46	как в	3	11
47	а в	2	11
48	столь же	5	11
49	вместе с	2	11
50	даже в	4	10
51	этом отношении	3	10
52	в области	11	10
53	что в	21	10
54	отнюдь не	9	10
55	в ее	8	10
56	жизни в	3	10
57	из них	3	10
58	и на	6	10
59	потому что	3	10
60	жизни и	2	10
61	к тому	8	9
62	же в	2	9
63	с этой	6	9
64	представляет собой	3	9
65	но в	14	8
66	того же	3	8
67	на себя	3	8
68	не говоря	2	8
69	говоря уже	2	8
70	и как	2	8
71	мира в	4	8
72	а именно	2	8
73	тем что	3	8
74	в своих	2	8
75	с точки	17	8
76	из того	2	7
77	в их	11	7
78	по своей	2	7
79	и тем	3	7
80	и других	2	7
81	другой стороны	2	7
82	и для	3	7
83	по преимуществу	2	7
84	именно в	4	7
85	в самом	4	7
86	и с	2	7
87	в одном	2	7
88	в случае	2	7
89	он не	2	7
90	в сфере	3	7
91	культуры в	4	6
92	было бы	8	6
93	и то	2	6
94	то в	4	6
95	во всех	6	6
96	и наконец	2	6
97	в культуре	3	6
98	далеко не	2	6
99	в ней	4	6
100	и только	3	6
101	как на	3	6
102	как будто	2	6
103	все более	9	5
104	или иной	4	5
105	идет о	3	5
106	вслед за	6	5
107	так как	7	5
108	одном из	2	5
109	он сам	2	5
110	всего в	2	5
111	во втором	2	5
112	между тем	8	5
113	несмотря на	4	5
114	этой точки	5	5
115	что и	3	5
116	место в	3	5
117	хотя бы	15	5
118	в россии	5	5
119	мы не	4	5
120	ни было	4	5
121	в силу	2	5
122	и если	2	5
123	и к	3	5
124	не к	2	5
125	но с	2	5
126	в свою	3	4
127	очевидно что	3	4
128	для нас	4	4
129	не является	3	4
130	как совокупность	4	4
131	и прежде	3	4
132	с тем	3	4
133	и все	2	4
134	могут быть	2	4
135	духовной жизни	2	4
136	в них	3	4
137	во всей	2	4
138	хотя и	2	4
139	как мы	5	4
140	во всяком	3	4
141	бы то	4	4
142	и выше	7	4
143	одной из	5	4
144	во второй	3	4
145	для того	6	4
146	такой же	2	4
147	в пределах	25	4
148	можно сказать	4	4
149	на то	6	4
150	ко всему	2	4
151	в сторону	2	4
152	более чем	2	4
153	вовсе не	6	4
154	и что	2	4
155	то ни	4	4
156	таким образом	2	4
157	вопрос о	4	3
158	и потому	5	3
159	так же	9	3
160	но как	2	3
161	по себе	4	3
162	в отношении	32	3
163	есть не	2	3
164	но по	2	3
165	себе в	3	3
166	стороны и	6	3
167	той или	4	3
168	что же	2	3
169	там где	3	3
170	же как	5	3
171	того чтобы	6	3
172	не на	4	3
173	в истории	2	3
174	свою очередь	2	3
175	должна быть	2	3
176	и еще	2	3
177	ее в	3	3
178	если в	2	3
179	культуры но	2	3
180	и от	3	3
181	во многих	4	3
182	ту или	3	3
183	можно было	3	3
184	бы и	3	3
185	дело в	3	3
186	если бы	2	3
187	также и	7	3
188	большей части	2	3
189	в этих	2	3
190	себе не	3	3
191	отношении к	15	3
192	в какой	2	3
193	не имеет	4	3
194	или иную	3	3
195	когда он	3	3
196	не есть	2	3
197	всяком случае	3	3
198	и того	2	3
199	мира и	3	3
200	начиная с	2	2
201	россии как	3	2
202	в будущем	3	2
203	как было	3	2
204	свой народ	3	2
205	и притом	4	2
206	нас к	2	2
207	на долю	3	2
208	поскольку речь	2	2
209	культурной традиции	2	2
210	существования в	3	2
211	для понимания	2	2
212	к нему	2	2
213	она не	2	2
214	в общем	3	2
215	что на	2	2
216	тогда когда	2	2
217	в полной	4	2
218	в сферу	2	2
219	для них	2	2
220	и некоторые	3	2
221	и по	5	2
222	и более	2	2
223	уже и	3	2
224	сказать что	4	2
225	кажется что	2	2
226	и мы	3	2
227	бы в	2	2
228	как нам	5	2
229	с другими	2	2
230	в результате	3	2
231	время в	3	2
232	тем более	4	2
233	наш путь	2	2
234	жизни мира	2	2
235	в значительной	2	2
236	не более	3	2
237	иначе говоря	2	2
238	второй половине	2	2
239	что к	2	2
240	не означает	2	2
241	но даже	4	2
242	например с	2	2
243	к той	2	2
244	культуры и	2	2
245	есть в	2	2
246	в котором	2	2
247	народ и	3	2
248	еще более	2	2
249	поскольку он	2	2
250	культуры как	2	2
251	в большинстве	2	2
252	не можем	2	2
253	мог бы	2	2
254	которое в	2	2
255	в той	5	2
256	и никакое	2	2
257	и теперь	2	2
258	но еще	2	2
259	в психологии	3	2
260	в таком	3	2
261	его собственная	2	2
262	на основе	2	2
